Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,WRT312CZJ***,310,13.8,No,22.463768115942027,3,13.8,310.0,WRT312CZJ...
3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,WRT312CZJ***,394,13.8,No,28.550724637681157,3I,13.8,394.0,WRT312CZJ...
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR832,322,3.9,Yes,82.56410256410257,12,3.9,322.0,RFR832
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR832-D-BLACK,312,3.9,Yes,80.0,12,3.9,312.0,RFR832-D-BLACK
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR832-D-WHITE,312,3.9,Yes,80.0,12,3.9,312.0,RFR832-D-WHITE
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR834,322,3.9,Yes,82.56410256410257,12,3.9,322.0,RFR834
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR834-B-COM,312,3.9,Yes,80.0,12,3.9,312.0,RFR834-B-COM
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR834-C,312,3.9,Yes,80.0,12,3.9,312.0,RFR834-C
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR835,323,3.9,Yes,82.82051282051282,12,3.9,323.0,RFR835
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR835-B,323,3.9,Yes,82.82051282051282,12,3.9,323.0,RFR835-B
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR835-C-BLACK,312,3.9,Yes,80.0,12,3.9,312.0,RFR835-C-BLACK
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR835-C-WHITE,304,3.2,Yes,95.0,12,3.2,304.0,RFR835-C-WHITE
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR835-G-BLACK,322,3.8,Yes,84.73684210526316,12,3.8,322.0,RFR835-G-BLACK
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR836,323,3.9,Yes,82.82051282051282,12,3.9,323.0,RFR836
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR839-B,322,3.9,Yes,82.56410256410257,12,3.9,322.0,RFR839-B
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR870,322,3.9,Yes,82.56410256410257,12,3.9,322.0,RFR870
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR870,312,3.9,Yes,80.0,12,3.9,312.0,RFR870
12 - Compact Refrigerator-Freezer - partial automatic defrost,RFR870-B,322,3.8,Yes,84.73684210526316,12,3.8,322.0,RFR870-B
13A - Compact All-Refrigerators - automatic defrost,RCR1727,245,1.7,Yes,144.11764705882354,13A,1.7,245.0,RCR1727
13A - Compact All-Refrigerators - automatic defrost,RCR3327,258,3.3,Yes,78.18181818181819,13A,3.3,258.0,RCR3327
5-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BRB106003**,399,11.4,No,35.0,5-BI,11.4,399.0,BRB106003..
5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,RB10FSR4E**,390,14.2,No,27.464788732394368,5,14.2,390.0,RB10FSR4E..
5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,RB12A3006**,403,14.9,No,27.04697986577181,5,14.9,403.0,RB12A3006..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF18A5101**,540,21.9,No,24.657534246575345,5I,21.9,540.0,RF18A5101..
5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RF20A5101**,560,24.5,No,22.857142857142858,5I,24.5,560.0,RF20A5101..
13A - Compact All-Refrigerators - automatic defrost,T24UR915LS,274,5.2,Yes,52.69230769230769,13A,5.2,274.0,T24UR915LS
13A - Compact All-Refrigerators - automatic defrost,T24UR915RS,274,5.2,Yes,52.69230769230769,13A,5.2,274.0,T24UR915RS
13A - Compact All-Refrigerators - automatic defrost,T24UR920DS,274,5.0,Yes,54.8,13A,5.0,274.0,T24UR920DS
13A - Compact All-Refrigerators - automatic defrost,T24UR920LS,274,5.1,Yes,53.72549019607843,13A,5.1,274.0,T24UR920LS
13A - Compact All-Refrigerators - automatic defrost,T24UR920RS,274,5.1,Yes,53.72549019607843,13A,5.1,274.0,T24UR920RS
13A - Compact All-Refrigerators - automatic defrost,T24UR925DS,269,4.4,Yes,61.13636363636363,13A,4.4,269.0,T24UR925DS
13A - Compact All-Refrigerators - automatic defrost,T24UR925LS,274,5.2,Yes,52.69230769230769,13A,5.2,274.0,T24UR925LS
13A - Compact All-Refrigerators - automatic defrost,T24UR925RS,274,5.2,Yes,52.69230769230769,13A,5.2,274.0,T24UR925RS
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,T30IB900SP,498,19.4,No,25.670103092783506,5I-BI,19.4,498.0,T30IB900SP
