Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
MDTF18WHSR*,317013049,362.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.156398104265403,doe,21.1,362.0,317013049,False
MDTF18WHR,317013047,398.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.86255924170616,doe,21.1,398.0,317013047,False
MDTF18WHRPRO,316817166,398.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.86255924170616,doe,21.1,398.0,316817166,False
BCD-543WPAZR/HC,F_36FFS_,573.0,25.6,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,22.3828125,doe,25.6,573.0,F_36FFS_,False
BCD-560WPZ/HC1(H),HRQ215N6B*D,640.0,27.4,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.357664233576642,doe,27.4,640.0,HRQ215N6B.D,False
BD-590WY/HC1(H),FV21D6A*D,549.0,37.2,(9.) Upright freezers with automatic defrost without an automatic icemaker,14.75806451612903,doe,37.2,549.0,FV21D6A.D,False
BD-590WY/HC1(H),HUF210N6A*D,549.0,37.2,(9.) Upright freezers with automatic defrost without an automatic icemaker,14.75806451612903,doe,37.2,549.0,HUF210N6A.D,False
4w3ig12-42,WRT311FZD*,520.0,25.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,20.717131474103585,doe,25.1,520.0,WRT311FZD.,False
6w3in80-30,WRT518SZKV***,484.0,20.7,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,23.381642512077295,doe,20.7,484.0,WRT518SZKV...,False
4w3n40-25,WRT104TFD*0*,373.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,21.560693641618496,doe,17.3,373.0,WRT104TFD.0.,False
4w3in40-25,WRT104TFD*0*,457.0,17.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,26.416184971098264,doe,17.3,457.0,WRT104TFD.0.,False
4w3in40-25,IK4TXWFD*0*,457.0,17.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,26.416184971098264,doe,17.3,457.0,IK4TXWFD.0.,False
4w3in40-25,ART104TFD*0*,457.0,17.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,26.416184971098264,doe,17.3,457.0,ART104TFD.0.,False
4w3ig80-52,WRT318FZD***,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,WRT318FZD...,False
4w3ig80-52,MRT118FFF***,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,MRT118FFF...,False
4w3ig80-52,ART318FFD*,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,ART318FFD.,False
4w3g80-52,WRT108FZD*0*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183,doe,22.0,411.0,WRT108FZD.0.,False
4w3g80-52,ART318FFD*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183,doe,22.0,411.0,ART318FFD.,False
HUF13LTRWW,HUF13LTRWW,424.0,22.8,(9.) Upright freezers with automatic defrost without an automatic icemaker,18.596491228070175,doe,22.8,424.0,HUF13LTRWW,False
4w5ig01-22,MFW2055DR*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366,doe,24.5,618.0,MFW2055DR.0.,False
4w5ig01-22,MFF2055FR***,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366,doe,24.5,618.0,MFF2055FR...,False
4w5ig01-22,MFF2055DR*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366,doe,24.5,618.0,MFF2055DR.0.,False
4w5ig01-22,KRFF300E****,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366,doe,24.5,618.0,KRFF300E....,False
BD-390WY2NF1/HC1,BD-390WY2NF1/HC1,430.0,23.9,(9.) Upright freezers with automatic defrost without an automatic icemaker,17.99163179916318,doe,23.9,430.0,BD-390WY2NF1/HC1,False
BD-390WY2NF1/HC1,FV14D6AWD,430.0,23.9,(9.) Upright freezers with automatic defrost without an automatic icemaker,17.99163179916318,doe,23.9,430.0,FV14D6AWD,False
RB44N6ASE,FFBF192SS**,406.0,15.2,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,26.710526315789476,doe,15.2,406.0,FFBF192SS..,False
RB44N6ASE,FFBF192SSB**,406.0,15.2,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,26.710526315789476,doe,15.2,406.0,FFBF192SSB..,False
4w5ij22-14,KRFC302E****,633.0,26.2,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.16030534351145,doe,26.2,633.0,KRFC302E....,False
4w5ij22-14,JFC2290*,633.0,26.2,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.16030534351145,doe,26.2,633.0,JFC2290.,False
4w5ag20-08,MFI2269FR***,717.0,26.1,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,27.47126436781609,doe,26.1,717.0,MFI2269FR...,False
4w5ag20-08,MFI2269****,717.0,26.1,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,27.47126436781609,doe,26.1,717.0,MFI2269....,False
4w5ag20-08,7924*,717.0,26.1,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,27.47126436781609,doe,26.1,717.0,7924.,False
4w5iz00-19,IX6HHEXDS*,563.0,24.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.16872427983539,doe,24.3,563.0,IX6HHEXDS.,False
7W7P10-21,WRS321SDH*0*,659.0,26.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,24.867924528301888,doe,26.5,659.0,WRS321SDH.0.,False
7w7P41-20,ASI2575G**0*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285,doe,31.5,702.0,ASI2575G..0.,False
7w7P41-20,WRS315SD**0*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285,doe,31.5,702.0,WRS315SD..0.,False
HRM145N6A*D,HRM145N6A*D,483.0,18.8,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,25.691489361702125,doe,18.8,483.0,HRM145N6A.D,False
DEC1850FI/*,DEC1850FI/L,497.0,15.4,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,32.27272727272727,doe,15.4,497.0,DEC1850FI/L,False
DEC1850FI/*,DEC1850FI/R,497.0,15.4,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,32.27272727272727,doe,15.4,497.0,DEC1850FI/R,False
DEC3050R**/*,DEC3050R/L,332.0,17.5,(3A-BI.) Built-in All-refrigerators - automatic defrost,18.97142857142857,doe,17.5,332.0,DEC3050R/L,False
DEC3050R**/*,DEC3050R/R,332.0,17.5,(3A-BI.) Built-in All-refrigerators - automatic defrost,18.97142857142857,doe,17.5,332.0,DEC3050R/R,False
DEC3650R**/*,DEC3650R/L,362.0,21.7,(3A-BI.) Built-in All-refrigerators - automatic defrost,16.682027649769587,doe,21.7,362.0,DEC3650R/L,False
DEC3650R**/*,DEC3650R/R,362.0,21.7,(3A-BI.) Built-in All-refrigerators - automatic defrost,16.682027649769587,doe,21.7,362.0,DEC3650R/R,False
4w9j81-15,WZF79R18D*,496.0,31.2,(9.) Upright freezers with automatic defrost without an automatic icemaker,15.897435897435898,doe,31.2,496.0,WZF79R18D.,False
4w9j81-15,WZF34X18D*,496.0,31.2,(9.) Upright freezers with automatic defrost without an automatic icemaker,15.897435897435898,doe,31.2,496.0,WZF34X18D.,False
4w3ig80-53,WRT318FZD***,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,WRT318FZD...,False
4w3ig80-53,WRT108FZD*0*,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,WRT108FZD.0.,False
4w3ig80-53,ART318FFD*,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,ART318FFD.,False
4w3ig80-53,ART308FFD*,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5,doe,22.0,495.0,ART308FFD.,False
4w3g80-53,WRT108FFD***,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183,doe,22.0,411.0,WRT108FFD...,False
4w3g80-53,ART308FFD*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183,doe,22.0,411.0,ART308FFD.,False
