Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
9 - Upright freezers with automatic defrost without an automatic ice maker,PFV1405XW,396,24.6,No,16.097560975609756,9,24.6,396.0,PFV1405XW
9 - Upright freezers with automatic defrost without an automatic ice maker,PFV1406XS,396,24.6,No,16.097560975609756,9,24.6,396.0,PFV1406XS
9 - Upright freezers with automatic defrost without an automatic ice maker,RZ11M7074**,361,20.1,No,17.960199004975124,9,20.1,361.0,RZ11M7074..
9 - Upright freezers with automatic defrost without an automatic ice maker,RZ11T7474**,361,20.1,No,17.960199004975124,9,20.1,361.0,RZ11T7474..
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,SKSCF1801*,480,16.9,No,28.40236686390533,9I-BI,16.9,480.0,SKSCF1801.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,SKSCF2401*,500,24.4,No,20.491803278688526,9I-BI,24.4,500.0,SKSCF2401.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,SKSCF3001*,550,31.3,No,17.57188498402556,9I-BI,31.3,550.0,SKSCF3001.
9 - Upright freezers with automatic defrost without an automatic ice maker,DSD-507WMU,394,24.2,No,16.280991735537192,9,24.2,394.0,DSD-507WMU
9 - Upright freezers with automatic defrost without an automatic ice maker,DSD-507WMU(E),394,24.3,No,16.213991769547324,9,24.3,394.0,DSD-507WMU(E)
9 - Upright freezers with automatic defrost without an automatic ice maker,DSD-772WMU*,492,36.9,No,13.333333333333334,9,36.9,492.0,DSD-772WMU.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,CL3650F/S/*/*,640,36.2,No,17.67955801104972,9I-BI,36.2,640.0,CL3650F/S/./.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,DEC2450FI/*,512,21.8,No,23.48623853211009,9I-BI,21.8,512.0,DEC2450FI/.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,DEC3050FI/*,561,27.3,No,20.549450549450547,9I-BI,27.3,561.0,DEC3050FI/.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,DEC3650FI/*,621,34.1,No,18.211143695014663,9I-BI,34.1,621.0,DEC3650FI/.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,IC-36FI,631,35.2,No,17.926136363636363,9I-BI,35.2,631.0,IC-36FI
10 - Chest freezers and all other freezers except compact freezers,FC88D6CWE,198,15.4,No,12.857142857142858,10,15.4,198.0,FC88D6CWE
9 - Upright freezers with automatic defrost without an automatic ice maker,FV14C6AWE,437,29.9,No,14.615384615384617,9,29.9,437.0,FV14C6AWE
9 - Upright freezers with automatic defrost without an automatic ice maker,FV21C6AWE,494,37.2,No,13.279569892473118,9,37.2,494.0,FV21C6AWE
9 - Upright freezers with automatic defrost without an automatic ice maker,FV21D6A*E,494,37.2,No,13.279569892473118,9,37.2,494.0,FV21D6A.E
9 - Upright freezers with automatic defrost without an automatic ice maker,FV21D6C*E,494,37.2,No,13.279569892473118,9,37.2,494.0,FV21D6C.E
9 - Upright freezers with automatic defrost without an automatic ice maker,HFU140N6CWE,391,23.9,No,16.359832635983263,9,23.9,391.0,HFU140N6CWE
9 - Upright freezers with automatic defrost without an automatic ice maker,HFU170N6CWE,437,29.9,No,14.615384615384617,9,29.9,437.0,HFU170N6CWE
9 - Upright freezers with automatic defrost without an automatic ice maker,HFU210N6CVE,494,37.2,No,13.279569892473118,9,37.2,494.0,HFU210N6CVE
9 - Upright freezers with automatic defrost without an automatic ice maker,HFU210N6CWE,494,37.2,No,13.279569892473118,9,37.2,494.0,HFU210N6CWE
9 - Upright freezers with automatic defrost without an automatic ice maker,HUF210N6A*E,494,37.2,No,13.279569892473118,9,37.2,494.0,HUF210N6A.E
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ14******,391,24.3,No,16.090534979423868,9,24.3,391.0,NS-UZ14......
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ14SS0,394,24.3,No,16.213991769547324,9,24.3,394.0,NS-UZ14SS0
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ14SS0*,394,24.3,No,16.213991769547324,9,24.3,394.0,NS-UZ14SS0.
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ14SS0-C*,394,24.3,No,16.213991769547324,9,24.3,394.0,NS-UZ14SS0-C.
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ14WH0,394,24.3,No,16.213991769547324,9,24.3,394.0,NS-UZ14WH0
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ14WH0*,394,24.3,No,16.213991769547324,9,24.3,394.0,NS-UZ14WH0.
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ14WH0-C*,394,24.3,No,16.213991769547324,9,24.3,394.0,NS-UZ14WH0-C.
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ14XSS8,394,24.3,No,16.213991769547324,9,24.3,394.0,NS-UZ14XSS8
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ14XWH7,391,24.3,No,16.090534979423868,9,24.3,391.0,NS-UZ14XWH7
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ14XWH7-C,391,24.3,No,16.090534979423868,9,24.3,391.0,NS-UZ14XWH7-C
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ17***,438,29.9,No,14.648829431438127,9,29.9,438.0,NS-UZ17...
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ17******,438,29.9,No,14.648829431438127,9,29.9,438.0,NS-UZ17......
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ17SS0,438,29.9,No,14.648829431438127,9,29.9,438.0,NS-UZ17SS0
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ17SS0*,438,29.9,No,14.648829431438127,9,29.9,438.0,NS-UZ17SS0.
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ17SS0-C*,438,29.9,No,14.648829431438127,9,29.9,438.0,NS-UZ17SS0-C.
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ17WH0,438,29.9,No,14.648829431438127,9,29.9,438.0,NS-UZ17WH0
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ17WH0*,438,29.9,No,14.648829431438127,9,29.9,438.0,NS-UZ17WH0.
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ17WH0-C*,438,29.9,No,14.648829431438127,9,29.9,438.0,NS-UZ17WH0-C.
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ17XWH7,438,29.9,No,14.648829431438127,9,29.9,438.0,NS-UZ17XWH7
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ17XWH7-C,438,29.9,No,14.648829431438127,9,29.9,438.0,NS-UZ17XWH7-C
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ21***,492,37.0,No,13.297297297297296,9,37.0,492.0,NS-UZ21...
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ21WH0,492,37.0,No,13.297297297297296,9,37.0,492.0,NS-UZ21WH0
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ21WH0*,492,36.9,No,13.333333333333334,9,36.9,492.0,NS-UZ21WH0.
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ21WH0-C*,492,36.9,No,13.333333333333334,9,36.9,492.0,NS-UZ21WH0-C.
9 - Upright freezers with automatic defrost without an automatic ice maker,NS-UZ21XWH7,492,37.0,No,13.297297297297296,9,37.0,492.0,NS-UZ21XWH7
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,ALOVE18FLC0*,459,15.8,No,29.050632911392405,9I-BI,15.8,459.0,ALOVE18FLC0.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,ALOVE24FLC0*,523,23.0,No,22.73913043478261,9I-BI,23.0,523.0,ALOVE24FLC0.
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,JBZF*18IGX**,459,15.8,No,29.050632911392405,9I-BI,15.8,459.0,JBZF.18IGX..
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,JBZF*24IGX**,523,23.0,No,22.73913043478261,9I-BI,23.0,523.0,JBZF.24IGX..
9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,JBZF*30IGX**,588,30.3,No,19.405940594059405,9I-BI,30.3,588.0,JBZF.30IGX..
9 - Upright freezers with automatic defrost without an automatic ice maker,111.22202910,492,36.9,No,13.333333333333334,9,36.9,492.0,111.22202910
9 - Upright freezers with automatic defrost without an automatic ice maker,111.22202910,492,37.0,No,13.297297297297296,9,37.0,492.0,111.22202910
9 - Upright freezers with automatic defrost without an automatic ice maker,K*FU021A**#,489,36.7,No,13.32425068119891,9,36.7,489.0,K.FU021A...
9 - Upright freezers with automatic defrost without an automatic ice maker,KMR11MS2EA16C,249,19.6,No,12.704081632653061,9,19.6,249.0,KMR11MS2EA16C
9 - Upright freezers with automatic defrost without an automatic ice maker,KM-RUF-21S,492,37.0,No,13.297297297297296,9,37.0,492.0,KM-RUF-21S
