Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
HX-90BR,HX-90BR,225.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,72.58064516129032,doe,3.1,225.0,HX-90BR,False
WX-160OR,WX-160OR,235.0,5.3,(13A.) Compact all-refrigerators - automatic defrost,44.339622641509436,doe,5.3,235.0,WX-160OR,False
HX-160DDR,HX-160DDR,265.0,4.7,(13A.) Compact all-refrigerators - automatic defrost,56.38297872340425,doe,4.7,265.0,HX-160DDR,False
EFR376,EFR376-B-RED-COM,193.0,3.2,(11A.) Compact all-refrigerators - manual defrost,60.3125,doe,3.2,193.0,EFR376-B-RED-COM,False
WS-47R,QHE02GGMBBB,208.0,1.7,(11A.) Compact all-refrigerators - manual defrost,122.3529411764706,doe,1.7,208.0,QHE02GGMBBB,False
DF1-11.2,HC33SW20RB,243.0,3.3,(11A.) Compact all-refrigerators - manual defrost,73.63636363636364,doe,3.3,243.0,HC33SW20RB,False
BC-128-E,HC46SF10SV,253.0,4.5,(11A.) Compact all-refrigerators - manual defrost,56.22222222222222,doe,4.5,253.0,HC46SF10SV,False
FC50D6EWD,FC50D6EWD,218.0,8.9,(18.) Compact chest freezers,24.49438202247191,doe,8.9,218.0,FC50D6EWD,False
FC70D6EWD,FC70D6EWD,250.0,12.3,(18.) Compact chest freezers,20.32520325203252,doe,12.3,250.0,FC70D6EWD,False
RS-09DR1SS,RR27D6ABE,214.0,2.5,(11A.) Compact all-refrigerators - manual defrost,85.6,doe,2.5,214.0,RR27D6ABE,False
RS-09DR1SS,RR27D6ASE,214.0,2.5,(11A.) Compact all-refrigerators - manual defrost,85.6,doe,2.5,214.0,RR27D6ASE,False
RT33D6AAE,RT32D6ABE,322.0,3.9,(12.) Compact refrigerator-freezers - partial automatic defrost,82.56410256410257,doe,3.9,322.0,RT32D6ABE,False
RT33D6AAE,RT32D6ASE,322.0,3.9,(12.) Compact refrigerator-freezers - partial automatic defrost,82.56410256410257,doe,3.9,322.0,RT32D6ASE,False
BE1-316,CF11B0W,246.0,19.4,(10.) Chest freezers and all other freezers except compact freezers,12.680412371134022,doe,19.4,246.0,CF11B0W,False
DBC045L1SS,DBC045L1SS,299.0,4.5,(13A.) Compact all-refrigerators - automatic defrost,66.44444444444444,doe,4.5,299.0,DBC045L1SS,False
DBC434A1*,DBC434A1BSSDD,297.0,4.4,(13A.) Compact all-refrigerators - automatic defrost,67.5,doe,4.4,297.0,DBC434A1BSSDD,False
DKC054A9SLDB,DKC054A9SLDB,307.0,5.4,(13A.) Compact all-refrigerators - automatic defrost,56.85185185185185,doe,5.4,307.0,DKC054A9SLDB,False
DKC054A1BSLDB,DKC054A1BSLDB,307.0,5.4,(13A.) Compact all-refrigerators - automatic defrost,56.85185185185185,doe,5.4,307.0,DKC054A1BSLDB,False
DH016A1*,DH016A1W,272.0,1.6,(13A.) Compact all-refrigerators - automatic defrost,170.0,doe,1.6,272.0,DH016A1W,False
DCR032C1*,DCR032C1BSLDD,218.0,3.2,(11A.) Compact all-refrigerators - manual defrost,68.125,doe,3.2,218.0,DCR032C1BSLDD,False
