Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume
UF16W,UF16W***,461.0,27.1,(9.) Upright freezers with automatic defrost without an automatic icemaker,17.011070110701105
UF19W,UF19W***,499.0,31.5,(9.) Upright freezers with automatic defrost without an automatic icemaker,15.841269841269842
UF21W,UF21W***,543.0,36.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,14.836065573770492
K70520NLU,FFBF287SS*IM***,525.0,20.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,26.25
BD-140W/HC,SPFF51OS***,390.0,8.3,(17.) Compact upright freezers with automatic defrost,46.98795180722891
BC-140WS/HC,SPR627OS***,250.0,4.6,(13A.) Compact all-refrigerators - automatic defrost,54.34782608695652
URBCD210CM,CP972SS***,375.0,8.2,(12.) Compact refrigerator-freezers - partial automatic defrost,45.73170731707317
HZF3362E,FFBF249*SS*,380.0,13.1,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,29.00763358778626
CTR19B,CTR19BIM **,483.0,22.2,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,21.756756756756758
CTR19SS,CTR19SSIM**,483.0,22.2,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,21.756756756756758
CTR19W,CTR19WIM**,483.0,22.2,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,21.756756756756758
CTR22B,CTR22BIM**,521.0,25.2,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,20.674603174603174
CTR22W,CTR21**,437.0,25.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.341269841269842
CTR22W,BKRF21W**,437.0,25.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.341269841269842
CTR22SS,BKRF21SS**,437.0,25.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.341269841269842
ADRD15,ADRD15**,256.0,2.8,(13A.) Compact all-refrigerators - automatic defrost,91.42857142857143
ADRD15OS,ADRD15OS**,256.0,2.8,(13A.) Compact all-refrigerators - automatic defrost,91.42857142857143
BC-95WS-6,CL15ROS***,255.0,3.0,(13A.) Compact all-refrigerators - automatic defrost,85.0
FF642D,CL2R24*,275.0,3.4,(13A.) Compact all-refrigerators - automatic defrost,80.88235294117648
HTS1561X2,CT663B*,365.0,5.5,(12.) Compact refrigerator-freezers - partial automatic defrost,66.36363636363636
SC-80WSB/HC,CL181BV***,255.0,2.9,(13A.) Compact all-refrigerators - automatic defrost,87.93103448275862
JC145WS/HC,ACAR58***,250.0,4.8,(13A.) Compact all-refrigerators - automatic defrost,52.083333333333336
JC145WS,CLR56GADA***,270.0,5.0,(13A.) Compact all-refrigerators - automatic defrost,54.0
JC-80WS/HC,SCR1831***,255.0,2.9,(13A.) Compact all-refrigerators - automatic defrost,87.93103448275862
JC-80WS/HC,CLRG181***,255.0,2.9,(13A.) Compact all-refrigerators - automatic defrost,87.93103448275862
BC-140W,CL69ROSW***,250.0,4.6,(13A.) Compact all-refrigerators - automatic defrost,54.34782608695652
BC-68WS/HC,ALR15B***,240.0,2.2,(13A.) Compact all-refrigerators - automatic defrost,109.09090909090908
SC-68W,CL156BV***,280.0,2.8,(13A.) Compact all-refrigerators - automatic defrost,100.0
WCH09W,WCH09W**,219.0,15.8,(10.) Chest freezers and all other freezers except compact freezers,13.860759493670885
BCD160WD/HC,CL2RF34***,440.0,7.2,(14.) Compact refrigerator-freezers - automatic defrost with side-mounted freezer,61.11111111111111
N23R2,FF1427BK**,361.0,15.9,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,22.70440251572327
N23R3,FF1427SS**,361.0,15.9,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,22.70440251572327
FF1072B,FF1072B*IM***,413.0,11.9,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,34.705882352941174
FF1427W,FF1427W*IM**,445.0,15.9,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,27.9874213836478
FF923PL,FF923PL*IM**,400.0,10.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,38.83495145631068
FF922W,FF922W*IM**,400.0,10.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,38.83495145631068
BCD-420WY/HC,FFBF279SS**,427.0,17.8,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,23.98876404494382
FF1073SS,FF1073SS*IM***,413.0,11.9,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,34.705882352941174
LBC152,LBC152***,280.0,2.9,(13A.) Compact all-refrigerators - automatic defrost,96.55172413793103
BAR53G,BAR53G***,295.0,4.2,(13A.) Compact all-refrigerators - automatic defrost,70.23809523809524
BV246G,BV246G***,295.0,4.2,(13A.) Compact all-refrigerators - automatic defrost,70.23809523809524
AL246G,AL246G***,295.0,4.2,(13A.) Compact all-refrigerators - automatic defrost,70.23809523809524
SCR2466BADA,SCR2466BADA***,295.0,4.2,(13A.) Compact all-refrigerators - automatic defrost,70.23809523809524
ALFD362Z,ALFD362Z***,504.0,7.6,(14.) Compact refrigerator-freezers - automatic defrost with side-mounted freezer,66.31578947368422
CLRFD36ADA,CLRFD36ADA***,504.0,7.6,(14.) Compact refrigerator-freezers - automatic defrost with side-mounted freezer,66.31578947368422
ALR545,ALR545***,250.0,4.2,(13A.) Compact all-refrigerators - automatic defrost,59.52380952380952
CLAR5ADA,CLAR5ADA***,250.0,4.2,(13A.) Compact all-refrigerators - automatic defrost,59.52380952380952
CLAR5,CLAR5***,250.0,4.2,(13A.) Compact all-refrigerators - automatic defrost,59.52380952380952
SBC15NK,SBC15NK***,280.0,2.9,(13A.) Compact all-refrigerators - automatic defrost,96.55172413793103
FFRF36,FFRF36***,504.0,7.6,(14.) Compact refrigerator-freezers - automatic defrost with side-mounted freezer,66.31578947368422
SCR1931,SCR1931***,285.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,91.93548387096774
BAR191S,BAR191S**,285.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,91.93548387096774
BC193S,BC193S***,285.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,91.93548387096774
ADA2DOS,ADA2DOS**,272.0,4.8,(13A.) Compact all-refrigerators - automatic defrost,56.66666666666667
AL55,AL55***,250.0,4.2,(13A.) Compact all-refrigerators - automatic defrost,59.52380952380952
BAR197,BAR197**,259.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,83.54838709677419
BCR199,BCR199***,259.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,83.54838709677419
BCR19S,BCR19S***,259.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,83.54838709677419
SPR628B,LAOUTDOOR24RE**,250.0,4.6,(13A.) Compact all-refrigerators - automatic defrost,54.34782608695652
CP34W,CP34W**,322.0,3.9,(12.) Compact refrigerator-freezers - partial automatic defrost,82.56410256410257
ALR46W,ALR46W***,251.0,3.5,(13A.) Compact all-refrigerators - automatic defrost,71.71428571428571
ALFZ36,ALFZ36***,266.0,4.7,(16.) Compact upright freezers with manual defrost,56.59574468085106
ALRF48,ALRF48***,259.0,2.9,(11.) Compact refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,89.3103448275862
MRT180D1ARSW,CTR18W***,362.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.156398104265403
FFAR23L,FFAR23L***,265.0,1.7,(13A.) Compact all-refrigerators - automatic defrost,155.88235294117646
ALFZ37B,ALFZ37B***,266.0,4.7,(16.) Compact upright freezers with manual defrost,56.59574468085106
ADA65S,ADA65S2***,365.0,5.5,(12.) Compact refrigerator-freezers - partial automatic defrost,66.36363636363636
SBC15,SBC15***,280.0,2.9,(13A.) Compact all-refrigerators - automatic defrost,96.55172413793103
HD-366FWEN2,FF1085SS*,296.0,11.9,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,24.873949579831933
SPRF6D,SPRF6D****,380.0,5.1,(15.) Compact refrigerator-freezers - automatic defrost with bottom-mounted freezer,74.50980392156863
SPRF6D7,SPRF6D7***,380.0,5.1,(15.) Compact refrigerator-freezers - automatic defrost with bottom-mounted freezer,74.50980392156863
ADA65S,ADA65S**,365.0,5.5,(12.) Compact refrigerator-freezers - partial automatic defrost,66.36363636363636
FFBF279SSB,FFBF279SSB**,448.0,17.8,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,25.168539325842694
DF2-16,CP72W***,327.0,5.4,(12.) Compact refrigerator-freezers - partial automatic defrost,60.55555555555555
DF2-16,LC72W***,327.0,5.4,(12.) Compact refrigerator-freezers - partial automatic defrost,60.55555555555555
DF2-16,ARF725W***,327.0,5.4,(12.) Compact refrigerator-freezers - partial automatic defrost,60.55555555555555
DF2-16,CP73PL***,327.0,5.4,(12.) Compact refrigerator-freezers - partial automatic defrost,60.55555555555555
DF2-16,LC73S***,327.0,5.4,(12.) Compact refrigerator-freezers - partial automatic defrost,60.55555555555555
FC2-26,FF83PL***,436.0,8.5,(13.) Compact refrigerator-freezers - automatic defrost with top-mounted freezer,51.294117647058826
FF1118W,FF1118W*IM***,381.0,12.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.487603305785125
FC2-26,FFRF76PL***,436.0,8.5,(13.) Compact refrigerator-freezers - automatic defrost with top-mounted freezer,51.294117647058826
SCR1932B,SCR1932B***,285.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,91.93548387096774
FFBF279SSB,FFBF279SSB*IM**,537.0,17.8,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,30.168539325842694
FFBF249SSB,FFBF249SSB*,399.0,13.1,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,30.458015267175572
PR1081,FF1119B***,297.0,12.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,24.545454545454547
FF1159SS,BKRF1159SS***,297.0,12.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,24.545454545454547
FF1427W,BKRF14W***,361.0,15.9,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,22.70440251572327
FF1119B,FF1119B*IM***,381.0,12.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,31.487603305785125
LF104PL,LF104PL***,331.0,12.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,27.355371900826448
FFRF105W,FFRF105W***,331.0,12.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,27.355371900826448
FFRF106PL,FFRF106PL***,331.0,12.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,27.355371900826448
FF71ES,FF71ESLLF2***,346.0,5.8,(13.) Compact refrigerator-freezers - automatic defrost with top-mounted freezer,59.6551724137931
SBC682,SBC682***,305.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,54.464285714285715
WBC3F,WBC3F***,305.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,54.464285714285715
SBC683OS,SBC683OS***,305.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,54.464285714285715
LBC24OS,LBC24OS***,305.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,54.464285714285715
BC74OS,BC74OS***,305.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,54.464285714285715
BCD-409WY/HC1(H),FDRD152PL**,483.0,18.8,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,25.691489361702125
BCD-409WY/HC1(H),LRFD15**,483.0,18.8,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,25.691489361702125
BCD-409WY/HC1(H),SFDRF15**,483.0,18.8,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,25.691489361702125
FF1091WIM,FF1091WIM**,410.0,11.7,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,35.042735042735046
LRF129SIM,LRF129SIM**,428.0,14.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,30.571428571428573
LRF103SIM,LRF103SIM**,410.0,11.7,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,35.042735042735046
ARHD22,ARHD22***,265.0,1.7,(13A.) Compact all-refrigerators - automatic defrost,155.88235294117646
BC-140W,CL67ROSBCSS***,250.0,4.6,(13A.) Compact all-refrigerators - automatic defrost,54.34782608695652
JC-70WS/HC,CL15RC***,245.0,2.5,(13A.) Compact all-refrigerators - automatic defrost,98.0
BC-140W,SPR628BCSS***,250.0,4.6,(13A.) Compact all-refrigerators - automatic defrost,54.34782608695652
SPR488BOS,SWBV481BOS***,285.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,91.93548387096774
SPR488BOS,SWBV481BOS24***,285.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,91.93548387096774
D70420NLU,FF1512SS*IM***,400.0,14.7,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,27.2108843537415
BC-140WS-6,FF64B***,250.0,4.6,(13A.) Compact all-refrigerators - automatic defrost,54.34782608695652
FF948,FF948SS*IM*,400.0,10.4,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,38.46153846153846
HD-368RWEN,FFBF100W*,370.0,12.5,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,29.6
HZF3762E,FFBF181*ES*,390.0,14.3,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,27.27272727272727
K60365NU,FFBF246SS*IM***,479.0,14.0,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,34.214285714285715
K70520NU,FFBF281W*IM***,529.0,20.7,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.555555555555557
K70520NU2,FFBF286SS***,445.0,20.7,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,21.497584541062803
HS-199BN(SNZ),BK49BS,270.0,4.9,(13A.) Compact all-refrigerators - automatic defrost,55.10204081632653
HS-131CN,ICFMD35WH6A,193.0,6.2,(18.) Compact chest freezers,31.129032258064516
HS-131CN,ICFMD35WH,193.0,6.2,(18.) Compact chest freezers,31.129032258064516
HS-125SEN,CF-BR01,288.0,3.2,(13A.) Compact all-refrigerators - automatic defrost,90.0
HC-827WEN(SNZ),COS-FDR225RHSS,588.0,27.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.381818181818183
HC-828WEN(SNZ),COS-FDR225RHSS-G,588.0,27.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.381818181818183
HC-827WEN(SNZ),DM-827WMU,588.0,27.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.381818181818183
HC-827WEN(SNZ),SJG2351FS,588.0,27.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.381818181818183
HS-125SEN,H115BCS,288.0,3.2,(13A.) Compact all-refrigerators - automatic defrost,90.0
HS-60SEN,H48BCS,272.0,1.5,(13A.) Compact all-refrigerators - automatic defrost,181.33333333333334
HS-131CN,H35CFW,193.0,6.2,(18.) Compact chest freezers,31.129032258064516
HS-52FN(S2NZ),H11MFB,215.0,1.9,(16.) Compact upright freezers with manual defrost,113.15789473684211
HS-52FN(S2NZ),H11MFW,215.0,1.9,(16.) Compact upright freezers with manual defrost,113.15789473684211
HS-384CN(NZ2),HS-384CLK,238.0,18.0,(10.) Chest freezers and all other freezers except compact freezers,13.222222222222221
HS-259CN(SNZK),MDRC258FZA01PRR,225.0,12.3,(18.) Compact chest freezers,18.29268292682927
HS-186CN(NZK),HS-186CN(NZ),218.0,8.8,(18.) Compact chest freezers,24.77272727272727
HC-957WEN,MDRS969FGF04PRR,715.0,33.6,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,21.279761904761905
STMR183**#*,STMR183**#*,370.0,22.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,16.666666666666668
EC18WIM,EC18WIM,399.0,22.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.054298642533936
VFUD15***,VFUD15***,461.0,27.1,(9.) Upright freezers with automatic defrost without an automatic icemaker,17.011070110701105
VFUD18***,VFUD18***,499.0,31.5,(9.) Upright freezers with automatic defrost without an automatic icemaker,15.841269841269842
MDQBC68JPS0B,MELFDR23D-***,643.0,27.4,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.467153284671536
DU20F E,LFFH20F3QW*,480.0,35.6,(9.) Upright freezers with automatic defrost without an automatic icemaker,13.48314606741573
DU19RAD,FPRU19F8RFH,331.0,18.6,(3A.) All-refrigerators - automatic defrost,17.79569892473118
DU19R,FPRU19F8RFG,331.0,18.6,(3A.) All-refrigerators - automatic defrost,17.79569892473118
DU19R,FPRU19F8RFC,331.0,18.6,(3A.) All-refrigerators - automatic defrost,17.79569892473118
DU19R,FPRU19F8RFB,331.0,18.6,(3A.) All-refrigerators - automatic defrost,17.79569892473118
DU19R,FPRU19F8RFA,331.0,18.6,(3A.) All-refrigerators - automatic defrost,17.79569892473118
DU21F E AD Conv,FGVU21F8QF*,484.0,36.1,(9.) Upright freezers with automatic defrost without an automatic icemaker,13.407202216066482
DU19R,FGRU19F6QFB,331.0,18.6,(3A.) All-refrigerators - automatic defrost,17.79569892473118
DU19R,FGRU19F6QFA,331.0,18.6,(3A.) All-refrigerators - automatic defrost,17.79569892473118
DU19F AD IM,FGFU19F6QF*,593.0,32.7,(9I.) Upright freezers with automatic defrost with an automatic icemaker,18.134556574923547
DU21,FFFU21M1QW*,397.0,36.9,(8.) Upright freezers with manual defrost,10.75880758807588
FFHN2740PS,FFHN2740P*,482.0,31.4,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,15.35031847133758
FPHG2399PF,FGHG2366PF,466.0,26.8,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,17.388059701492537
FGHS2655PF,FGHS2631P*,582.0,31.9,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,18.244514106583072
FFHS2322MS0,FFHS2322M**A,672.0,28.1,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,23.91459074733096
FFHS2622MWF,FFHS2622M**A,709.0,32.4,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,21.88271604938272
FGHC2355PF7,EI23CS35K**A,673.0,28.2,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,23.865248226950357
ENG23I80QS,EI23BC80K**A,642.0,27.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.516483516483515
ENGB2777RF0A,FPBS2777R*,784.0,33.4,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,23.47305389221557
FGHS2655PF2,FGHS2631P**A,647.0,32.4,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,19.969135802469136
FXHI2000QB0,FFHT2131Q*,386.0,24.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,15.88477366255144
FFTR2021QSI,FFTR2021Q*,514.0,24.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,21.152263374485596
FGHC2355PF7,EW23CS75Q*,673.0,28.2,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,23.865248226950357
MDQ3BC80RS0,EI23BC82S*,643.0,27.4,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.467153284671536
MCTR2000QW0,FFTR2021Q**A,430.0,24.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.695473251028805
MCTR2000QW0i,FFTR2021Q**A,514.0,24.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,21.152263374485596
FXHT1600QB0I,FFHT1621T*,432.0,19.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.617801047120416
MCTR1810SW0i,FFTR1814T*,488.0,21.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,23.127962085308056
FFHT1814QW0,FFHT1821T*,363.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.20379146919431
FFHT1814QW0I,FFHT1821T*,447.0,21.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,21.184834123222746
FFHT1814QW0,FFHT1814T*,363.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.20379146919431
FFHT1814QW0I,FFHT1814T*,447.0,21.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,21.184834123222746
LFHB2751TF0,LFHB2751T*,715.0,33.5,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,21.34328358208955
FFHN2750TS0,FFHN2750T*,642.0,34.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,18.71720116618076
LFHD2251TF0,LFHD2251T*,660.0,26.9,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.53531598513011
LFHD2251TF0,FFHD2250T*,660.0,26.9,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.53531598513011
MDQBC78IPS0B,E23BC79SP*,722.0,26.7,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,27.04119850187266
MDQBC68JPS0B,E23BC69SP*,643.0,27.4,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.467153284671536
MDQBC68JPS0B,RVRF3361S*,643.0,27.4,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.467153284671536
LAVS2612TP0,LFSS2612T*,709.0,32.4,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,21.88271604938272
LAVS2612TP0,FFSS2615T*,709.0,32.4,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,21.88271604938272
MCTR1832SP0,LFTR1832T*,404.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,19.14691943127962
MCTR1832SP0I,LFTR1832T*,488.0,21.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,23.127962085308056
MCHT1832SP0,FFHT1832T*,363.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.20379146919431
MCHT1832SP0I,FFHT1832T*,447.0,21.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,21.184834123222746
MCTR1832SP0I,FGTR1837T*,488.0,21.1,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,23.127962085308056
MCHT1842SP0,FGHT1842T*,363.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.20379146919431
FGSS2635TP0,FGSS2635T*,709.0,32.4,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,21.88271604938272
FGSC2335TF0,FGSC2335T*,672.0,28.1,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,23.91459074733096
MAVK2355TF0,LGHK2336T*,613.0,28.1,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,21.814946619217082
LAVX2636TF0,LGHX2636T*,646.0,32.4,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,19.938271604938272
LFHD2251TF0,LGHD2369T*,660.0,26.9,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.53531598513011
FFHN2750TS0,FGHN2868T*,642.0,34.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,18.71720116618076
FFHT1814QW0,FPHT1897T*,363.0,21.1,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.20379146919431
MCTR2000QW0i,CRTE206T*,514.0,24.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,21.152263374485596
WAVC2323TS0,FFSC2323T*,673.0,28.2,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,23.865248226950357
FFHI2032TP0,FFHT2032T*,386.0,24.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,15.88477366255144
FFHI2032TP0I,FFHT2032T*,470.0,24.3,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,19.34156378600823
WAVC2323TS0,LFSC2324V*,673.0,28.2,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,23.865248226950357
EBRE1835VWi,FFHI1835V*,453.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,20.59090909090909
EBRE1814VW,FFHT1814V*,369.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,16.772727272727273
EBRE1814VWi,FFHT1814V*,453.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,20.59090909090909
ENGB2277RF0A,FPBC2278U*,723.0,26.8,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,26.977611940298505
ENGB2777RF0A,FPBS2778U*,784.0,33.4,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,23.47305389221557
ENGN2277RF0A,FPBG2278U*,644.0,27.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.418181818181818
FPSC2277RF,FPSC2278U*,673.0,28.2,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,23.865248226950357
