Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume
BCD-95ANB,EFR840-B-BLACK-6COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BCD-95ANB,EFR840-C-RED-COM,350.0,3.8,(12.) Compact refrigerator-freezers - partial automatic defrost,92.10526315789474
BC-98CNB,MAR35SS,260.0,3.6,(13A.) Compact all-refrigerators - automatic defrost,72.22222222222221
BC-428AN,MAR149SS,275.0,15.1,(3A.) All-refrigerators - automatic defrost,18.211920529801326
BC-428AN,MAR149W,275.0,15.1,(3A.) All-refrigerators - automatic defrost,18.211920529801326
C75,C75,184.0,2.4,(11A.) Compact all-refrigerators - manual defrost,76.66666666666667
AG42,AG42,188.0,1.5,(11A.) Compact all-refrigerators - manual defrost,125.33333333333333
AL42,AL42,188.0,1.5,(11A.) Compact all-refrigerators - manual defrost,125.33333333333333
7W7P11-07,ASI2175G**0*,660.0,26.6,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,24.81203007518797
7w7p40-19,WRS325SDH*0*,702.0,31.5,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.285714285714285
HS772FWENW,HS772FWENW,492.0,37.0,(9.) Upright freezers with automatic defrost without an automatic icemaker,13.297297297297296
JC-133ENY-C-62H,CCB138GB,298.0,4.3,(13A.) Compact all-refrigerators - automatic defrost,69.30232558139535
JC-50NY-C-62H,CCB51GB,274.0,1.7,(13A.) Compact all-refrigerators - automatic defrost,161.1764705882353
CR65,CR65,192.0,2.2,(11A.) Compact all-refrigerators - manual defrost,87.27272727272727
RS2474B,RS2474BRU1,382.0,13.8,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,27.681159420289852
BCD-586WI,HRB208N6BSE,395.0,26.1,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,15.134099616858236
3.2MF4R,3.2MF4R,258.0,3.2,(13A.) Compact all-refrigerators - automatic defrost,80.625
IRF32BK,IRF32BK,218.0,3.2,(11A.) Compact all-refrigerators - manual defrost,68.125
HS-109FN(S2NZ),ARU030S1ARSS,240.0,5.3,(16.) Compact upright freezers with manual defrost,45.28301886792453
CTR22**#,CTR22**#,437.0,25.2,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,17.341269841269842
CCRR4LB,"CCRR4LW, CCRR4LR",324.0,4.3,(12.) Compact refrigerator-freezers - partial automatic defrost,75.34883720930233
BCRR4ALB,"BCRR4ALR, BCRR4ALW",227.0,4.4,(11A.) Compact all-refrigerators - manual defrost,51.590909090909086
CCRR4ALB,"CCRR4ALW, CCRR4ALR",227.0,4.4,(11A.) Compact all-refrigerators - manual defrost,51.590909090909086
LC87D6EWD,FC87D6EWD,218.0,15.3,(10.) Chest freezers and all other freezers except compact freezers,14.248366013071895
4w3ig80-50,WRT318FZD***,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5
4w3ig80-50,MRT118FFF***,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5
4w3ig80-50,ART318FFD*,495.0,22.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,22.5
4w3g80-50,WRT108FZD*0*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183
4w3g80-50,WRT108FFD***,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183
4w3g80-50,ART308FFD*,411.0,22.0,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,18.681818181818183
4w3n41-11,WRT134TFD*0*,336.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,19.421965317919074
4w3n41-11,IRT134FD*0*,336.0,17.3,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,19.421965317919074
4w5ig00-09,WRFA60SFH*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366
4w5ig00-09,WRF560SFY*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366
4w5g00-09,WRFA60SFH*0*,534.0,24.5,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,21.79591836734694
4w5g00-09,MFB2055FR***,534.0,24.5,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,21.79591836734694
4w5g00-09,MFB2055DR*0*,534.0,24.5,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,21.79591836734694
4w5ig01-21,WRF560SMH*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366
4w5ig01-21,WRF560SEY*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366
4w5ig01-21,KRFF300E****,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366
4w5ig01-21,IX5BBEXD*0*,618.0,24.5,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,25.224489795918366
4w3in10-14,WRT541SZD*0*,483.0,26.0,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,18.576923076923077
