Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Arctic King,(16.) Compact upright freezers with manual defrost,HS-109FN(SNZ),ARU030S1ARWW,5.3,240.0,3.0,No,No,https://maiimg.com/dec/d55456421949@pdf,ARU030S1ARWW
Arctic King,(11A.) Compact all-refrigerators - manual defrost,HS-57LN(S5NZ),AFRM016AEB,1.6,207.0,1.6,No,No,https://maiimg.com/dec/d53510419676@pdf,AFRM016AEB
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-663FWEN,FFHT1824U*,21.1,362.0,18.0,No,No,https://energyguide.electrolux-na.com/,FFHT1824U.
NEWAIR,(11A.) Compact all-refrigerators - manual defrost,HS-121LN(S4NZ),NRF033GA00,3.3,220.0,3.3,No,No,https://maiimg.com/dec/d51878019106@pdf,NRF033GA00
Liebherr,(5-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,ICNS 51030,ICN 51030,10.7,300.0,8.9,No,No,https://home.liebherr.com/external/products/products-assets/1d0921f7-7874-49da-b156-80e05af9502e/EG_ICN%205103%20137%2020_CA.pdf,ICN 51030
Liebherr,(5-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,ICNS 51030,ICNS 51030,10.7,300.0,8.9,No,No,https://home.liebherr.com/external/products/products-assets/1d0921f7-7874-49da-b156-80e05af9502e/EG_ICN%205103%20137%2020_CA.pdf,ICNS 51030
Liebherr,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,ICN-IM 51130,ICNh-IM 51130,10.9,475.0,9.0,No,No,https://home.liebherr.com/external/products/products-assets/a2829ac0-e612-4846-a983-ba81e3d1a816/EG_ICN%205113%20137%2020_CA.pdf,ICNh-IM 51130
Liebherr,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,MCB 36,MCB 3651,18.1,535.0,11.6,No,No,https://home.liebherr.com/external/products/products-assets/2b4a27d7-249e-4670-adf5-9f79e8636ba2/EG_ECBN%209671%20137%2020_CA.pdf,MCB 3651
Liebherr,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,MCB 30,MCB 3050,14.5,510.0,9.4,No,No,https://home.liebherr.com/external/products/products-assets/93e88f83-6098-4b09-9bfd-6a98b90a19b0/EG_ECBN%209471%20137%2020_CA.pdf,MCB 3050
Liebherr,(13A.) Compact all-refrigerators - automatic defrost,UR500,UR500,4.8,208.0,4.8,No,No,https://home.liebherr.com/external/products/products-assets/565599/Energy%20Guide.pdf,UR500
Liebherr,(13A.) Compact all-refrigerators - automatic defrost,UPR513,UPR513,4.4,205.0,4.4,No,No,https://home.liebherr.com/external/products/products-assets/565602/Energy%20Guide.pdf,UPR513
Liebherr,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,MF3051,MF3051,26.8,528.0,15.2,No,No,https://home.liebherr.com/external/products/products-assets/1388084/eng-7085-734-00-mf-3051.pdf,MF3051
Liebherr,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,MF2451,MF2451,20.2,438.0,11.5,No,No,https://home.liebherr.com/external/products/products-assets/556956/Energy%20Guide.pdf,MF2451
Sub-Zero,(3A-BI.) Built-in All-refrigerators - automatic defrost,IC-24R,IC-24R,12.9,298.0,12.9,No,No,https://haven.subzero.com/AssetLink/hy0see5fh3u6tc0455p80657t12mtwhp.pdf,IC-24R
Sub-Zero,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,IC-36FI,IC-36FI,35.2,631.0,20.0,No,No,https://haven.subzero.com/AssetLink/r1lxy8y2yq8wx856ka5q436h1dy1rbl2.pdf,IC-36FI
Sub-Zero,(3A-BI.) Built-in All-refrigerators - automatic defrost,IC-36R**,IC-36R,21.4,360.0,21.4,No,No,https://haven.subzero.com/AssetLink/ifv6ptpx80i000k4msrjofde5f44w364.pdf,IC-36R
Sub-Zero,(17.) Compact upright freezers with automatic defrost,ID-24F,ID-24F,6.8,377.0,3.8,No,No,https://haven.subzero.com/AssetLink/hu3xlknh1qq3l6pnu53858soq7mi3y72.pdf,ID-24F
Sub-Zero,(17.) Compact upright freezers with automatic defrost,ID-24FI,ID-24FI,6.8,377.0,3.8,No,No,https://haven.subzero.com/AssetLink/34k0x7600012iedt4l11461dfc2g8fe7.pdf,ID-24FI
Sub-Zero,(13A.) Compact all-refrigerators - automatic defrost,ID-24R*,ID-24R,4.0,213.0,4.0,No,No,https://haven.subzero.com/AssetLink/obuoi4mlnu1edkx87p33mda7276lm3hr.pdf,ID-24R
Sub-Zero,(13A.) Compact all-refrigerators - automatic defrost,ID-27R,ID-27R,4.6,217.0,4.6,No,No,https://haven.subzero.com/AssetLink/a8a1u3spj6614310yubxl4fbvhk0fmal.pdf,ID-27R
Sub-Zero,(17.) Compact upright freezers with automatic defrost,ID-30FI,ID-30FI,9.0,356.0,5.1,No,No,https://haven.subzero.com/AssetLink/l71cg27e3nerm2r457r7ra778gf6s83y.pdf,ID-30FI
Sub-Zero,(13A.) Compact all-refrigerators - automatic defrost,ID-30R,ID-30R,5.3,221.0,5.3,No,No,https://haven.subzero.com/AssetLink/q20jb1168cnn3abs38xk6tb5062a565w.pdf,ID-30R
Sub-Zero,(3A-BI.) Built-in All-refrigerators - automatic defrost,IT-30R**,IT-30R,16.5,324.0,16.5,No,No,https://haven.subzero.com/AssetLink/ku27200814v63qe0q6nux0hu1qt4a0hq.pdf,IT-30R
Sub-Zero,(3A-BI.) Built-in All-refrigerators - automatic defrost,IT-36R**,IT-36R,20.5,353.0,20.5,No,No,https://haven.subzero.com/AssetLink/p4vl10w4y16h0h7x7nv47t8x3x4ln687.pdf,IT-36R
Insignia,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,MRT180D1ARSW,NS-RTM18****,21.1,362.0,18.0,No,No,https://www.bestbuy.com/,NS-RTM18....
Insignia,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-423FWEN(SZ),NS-RTM12SS7L*,13.9,311.0,11.5,No,No,https://www.bestbuy.com/,NS-RTM12SS7L.
INSIGNIA,(9.) Upright freezers with automatic defrost without an automatic icemaker,MRU170D2ARSV,NS-UZ17SS0-C*,29.9,438.0,17.0,No,No,https://www.bestbuy.com/,NS-UZ17SS0-C.
INSIGNIA,(9.) Upright freezers with automatic defrost without an automatic icemaker,MRU170D2ARSV,NS-UZ17WH0-C*,29.9,438.0,17.0,No,No,https://www.bestbuy.com/,NS-UZ17WH0-C.
INSIGNIA,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,MRT180D1ARSW,NS-RTM18BKR8*,21.1,362.0,18.0,No,No,https://www.bestbuy.com/,NS-RTM18BKR8.
INSIGNIA,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,MRT180D1ARSW,NS-RTM18SS7*,21.1,362.0,18.0,No,No,https://www.bestbuy.com/,NS-RTM18SS7.
Insignia,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,HD-676RWEN1,NS-RBM18WH0-C,23.0,466.0,18.7,No,No,https://www.bestbuy.com/,NS-RBM18WH0-C
Insignia,(9.) Upright freezers with automatic defrost without an automatic icemaker,HS-507FWEN,NS-UZ14***,24.3,394.0,13.8,No,No,https://www.bestbuy.com/,NS-UZ14...
Insignia,(13A.) Compact all-refrigerators - automatic defrost,WS-47L,NS-CF17******,1.7,245.0,1.7,No,No,https://www.bestbuy.com/,NS-CF17......
Insignia,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-663FWEN,NS-RTM18WH7-C,21.2,362.0,18.0,No,No,https://www.bestbuy.com/,NS-RTM18WH7-C
INSIGNIA,(13A.) Compact all-refrigerators - automatic defrost,WS-93L,NS-CF33BK8,3.3,258.0,3.3,No,No,https://www.bestbuy.com/,NS-CF33BK8
INSIGNIA,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,NS-RTM12SS7,NS-RTM12SS7,13.9,311.0,12.0,No,No,https://www.bestbuy.com/,NS-RTM12SS7
INSIGNIA,(12.) Compact refrigerator-freezers - partial automatic defrost,WD-89F,NS-CF30SS9,3.7,321.0,3.0,No,No,https://www.bestbuy.com/,NS-CF30SS9
INSIGNIA,(13A.) Compact all-refrigerators - automatic defrost,WS-47L,NS-CF17BK9,1.7,245.0,1.7,No,No,https://www.bestbuy.com/,NS-CF17BK9
INSIGNIA,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,NS-RTM18BKR8,NS-RTM18BKR8,21.0,362.0,18.0,No,No,https://www.bestbuy.com/,NS-RTM18BKR8
INSIGNIA,(11A.) Compact all-refrigerators - manual defrost,NS-CF26BL7,NS-CF26BL7,2.6,215.0,2.6,No,No,https://www.bestbuy.com/,NS-CF26BL7
Insignia,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,NS-RTM21SS7,NS-RTM21SS7,25.6,396.0,21.0,No,No,https://www.bestbuy.com/,NS-RTM21SS7
Insignia,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,NS-RTM18WH7,NS-RTM18WH7,21.1,362.0,18.0,No,No,https://www.bestbuy.com/,NS-RTM18WH7
Insignia,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,HD-410RWEN(UR-BCD315WX-SQ),NS-RBM11SS2,13.9,395.0,11.5,No,No,https://www.bestbuy.com/,NS-RBM11SS2
Insignia,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,HD-410RWEN(UR-BCD315WX-SQ),NS-RBM11WH2,13.9,395.0,11.5,No,No,https://www.bestbuy.com/,NS-RBM11WH2
Insignia,(9.) Upright freezers with automatic defrost without an automatic icemaker,HS-507FWEN,NS-UZ14WH0,24.3,394.0,13.8,No,No,https://www.bestbuy.com/,NS-UZ14WH0
Insignia,(9.) Upright freezers with automatic defrost without an automatic icemaker,HS-507FWEN,NS-UZ14SS0,24.3,394.0,13.8,No,No,https://www.bestbuy.com/,NS-UZ14SS0
Insignia,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-668FWEN(UR-BCD512WE-SQ(B),NS-RTM18BK2L,22.0,369.0,18.1,No,No,https://www.bestbuy.com/,NS-RTM18BK2L
Insignia,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-668FWEN(UR-BCD512WE-SQ(B),NS-RTM18SS2L,22.0,369.0,18.1,No,No,https://www.bestbuy.com/,NS-RTM18SS2L
Insignia,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-668FWEN(UR-BCD512WE-SQ(B),NS-RTM18BK2,22.0,369.0,18.1,No,No,https://www.bestbuy.com/,NS-RTM18BK2
Insignia,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-668FWEN(UR-BCD512WE-SQ(B),NS-RTM18SS2,22.0,369.0,18.1,No,No,https://www.bestbuy.com/,NS-RTM18SS2
Insignia,(2.) Refrigerator-freezers - partial automatic defrost,NS-RTM10BK2-C,NS-RTM10BK2-C,12.2,283.0,10.1,No,No,https://www.bestbuy.com/,NS-RTM10BK2-C
Insignia,(2.) Refrigerator-freezers - partial automatic defrost,NS-RTM10WH2-C,NS-RTM10WH2-C,12.2,283.0,10.1,No,No,https://www.bestbuy.com/,NS-RTM10WH2-C
Insignia,(11A.) Compact all-refrigerators - manual defrost,HS-164LN(S2NZ),NS-CF44GD2,4.4,228.0,4.4,No,No,https://www.bestbuy.com/,NS-CF44GD2
INSIGNIA,(11A.) Compact all-refrigerators - manual defrost,BC-70C-E,NS-CFR25C2,2.6,215.0,2.6,No,No,https://www.bestbuy.com/,NS-CFR25C2
INSIGNIA,(11A.) Compact all-refrigerators - manual defrost,BC-70C-E,NS-CFR25BB2,2.6,215.0,2.6,No,No,https://www.bestbuy.com/,NS-CFR25BB2
Insignia,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-774FWEN,NS-RTM21SS7-B,25.6,396.0,21.0,No,No,https://www.bestbuy.com/,NS-RTM21SS7-B
Insignia,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-117MU,NS-CFBM41******,4.9,325.0,4.1,No,No,https://www.bestbuy.com/,NS-CFBM41......
Insignia,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-117MU,NS-CFBM41SS1,4.9,325.0,4.1,No,No,https://www.bestbuy.com/,NS-CFBM41SS1
Insignia,(11A.) Compact all-refrigerators - manual defrost,BC-125BU,NS-CFL45GP1,4.4,228.0,4.4,No,No,https://www.bestbuy.com/,NS-CFL45GP1
Whirlpool,(11A.) Compact all-refrigerators - manual defrost,WHR43S1E,WHR43S1E,4.3,228.0,4.3,No,No,https://www.galanzamericas.com/us/card/energy_label_WHR43S1E_BC-127B-62H_EStar.pdf,WHR43S1E
Whirlpool,(11A.) Compact all-refrigerators - manual defrost,WHR35S1E,WHR35S1E,3.5,220.0,3.5,No,No,https://www.galanzamericas.com/us/card/energy_label_WHR35S1E_BC-103D-A62H_EStar.pdf,WHR35S1E
Whirlpool,(12.) Compact refrigerator-freezers - partial automatic defrost,WHR46TS1E,WHR46TS1E,5.6,325.0,4.6,No,No,https://www.galanzamericas.com/us/card/energy_label_WHR46TS1E_BCD-133V-C62H_Estar.pdf,WHR46TS1E
Galanz,(9.) Upright freezers with automatic defrost without an automatic icemaker,GLF11URDG16,GLF11URDG16,19.4,354.0,11.0,No,No,https://www.galanz.com/us/card/energy_label_GLF11URDG16_BD-305WEF-D-62H_Estar.pdf,GLF11URDG16
Galanz,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,GLR10TRDEFR,GLR10TRDEFR,11.7,292.0,10.0,No,No,https://www.galanz.com/us/card/energy_label_GLR10TRDEFR_BCD-280WEVF-62H_Estar.pdf,GLR10TRDEFR
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,GLR31TBEER,GLR31TBEER,3.8,320.0,3.1,No,No,https://www.galanz.com/us/card/energy_label_GLR31TBEER_BCD-88VF-62H_Estar.pdf,GLR31TBEER
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,GLR31TBKER,GLR31TBKER,3.8,357.0,3.1,No,No,https://www.galanz.com/us/card/energy_label_GLR31TBKER_BCD-88VF-62H_Estar.pdf,GLR31TBKER
Amana,(11A.) Compact all-refrigerators - manual defrost,AMAR27S1E,AMAR27S1E,2.7,214.0,2.7,No,No,https://www.galanzamericas.com/us/card/energy_label_AMAR27S1E_BC-75A-A62H_EStar.pdf,AMAR27S1E
Summit,(17.) Compact upright freezers with automatic defrost,BD-100CT,ADFD2D24,6.2,355.0,3.5,No,No,By annual report date,ADFD2D24
Perlick,(13A.) Compact all-refrigerators - automatic defrost,HP15R*4E,HP15R*4E-**-*****,2.8,256.0,2.8,No,No,https://www.perlick.com/residential/resources/use-and-care/energy-guides/,HP15R.4E-..-.....
Perlick,(13A.) Compact all-refrigerators - automatic defrost,HH24R*4C,HH24R*4C-**-*****,3.2,259.0,3.2,No,No,https://www.perlick.com/residential/resources/use-and-care/energy-guides/,HH24R.4C-..-.....
Kalamazoo Outdoor Gourmet,(13A.) Compact all-refrigerators - automatic defrost,HK24RS4E,HK24RS4E-**-*****,5.1,266.0,5.1,No,No,https://www.perlick.com/residential/resources/use-and-care/energy-guides/,HK24RS4E-..-.....
Perlick,(13A.) Compact all-refrigerators - automatic defrost,HP24T*4C,HP24T*4C-**-*****,5.2,276.0,5.2,No,No,https://www.perlick.com/residential/resources/use-and-care/energy-guides/,HP24T.4C-..-.....
Perlick,(13A.) Compact all-refrigerators - automatic defrost,HP24B*4C,HP24B*4C-**-*****,5.2,276.0,5.2,No,No,https://www.perlick.com/residential/resources/use-and-care/energy-guides/,HP24B.4C-..-.....
Kalamazoo Outdoor Gourmet,(13A.) Compact all-refrigerators - automatic defrost,HK24T*4C,HK24T*4C-**-*****,5.2,276.0,5.2,No,No,https://www.perlick.com/residential/resources/use-and-care/energy-guides/,HK24T.4C-..-.....
Kalamazoo Outdoor Gourmet,(13A.) Compact all-refrigerators - automatic defrost,HK24B*4C,HK24B*4C-**-*****,5.2,276.0,5.2,No,No,https://www.perlick.com/residential/resources/use-and-care/energy-guides/,HK24B.4C-..-.....
Perlick,(13A.) Compact all-refrigerators - automatic defrost,HC24T*4C,HC24T*4C-**-*****,5.2,276.0,5.2,No,No,https://www.perlick.com/residential/resources/use-and-care/energy-guides/,HC24T.4C-..-.....
Perlick,(13A.) Compact all-refrigerators - automatic defrost,HC24R*4C,HC24R*4C-**-*****,5.2,276.0,5.2,No,No,https://www.perlick.com/residential/resources/use-and-care/energy-guides/,HC24R.4C-..-.....
Perlick,(13A.) Compact all-refrigerators - automatic defrost,HA24R*4E,HA24R*4E-**-*****,4.7,254.0,4.7,No,No,https://www.perlick.com/residential/resources/use-and-care/energy-guides/,HA24R.4E-..-.....
AVANTI,(11A.) Compact all-refrigerators - manual defrost,BC-126,RM46J3S,4.6,229.0,4.6,No,No,https://www.avantiproducts.com,RM46J3S
AVANTI,(11A.) Compact all-refrigerators - manual defrost,BC-126,RM46J1B,4.6,229.0,4.6,No,No,https://www.avantiproducts.com,RM46J1B
AVANTI,(13A.) Compact all-refrigerators - automatic defrost,OR525U5D,OR525U5D,4.8,265.0,4.8,No,No,https://www.avantiproducts.com,OR525U5D
AVANTI,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FF14V0W,FF14V0W,17.0,332.0,14.4,No,No,https://www.avantiproducts.com,FF14V0W
AVANTI,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BCD-523W,FFFDD18L3S,22.7,390.0,17.9,No,No,https://www.avantiproducts.com,FFFDD18L3S
AVANTI,(12.) Compact refrigerator-freezers - partial automatic defrost,DF2-285,RA733B3S,8.3,344.0,7.3,No,No,HTTPS://WWW.AVANTIPRODUCTS.COM,RA733B3S
AVANTI,(12.) Compact refrigerator-freezers - partial automatic defrost,DF2-285,RA731B1B,8.3,344.0,7.3,No,No,HTTPS://WWW.AVANTIPRODUCTS.COM,RA731B1B
AVANTI,(13A.) Compact all-refrigerators - automatic defrost,BC-90OD-DC,OR1533U3S,3.1,225.0,3.1,No,No,https://www.avantiproducts.com,OR1533U3S
AVANTI,(12.) Compact refrigerator-freezers - partial automatic defrost,WK-156,RMS551SS,7.0,330.0,5.5,No,No,https://www.avantiproducts.com,RMS551SS
Avanti,(11A.) Compact all-refrigerators - manual defrost,DF1-15,RM4436SS,4.4,228.0,4.4,No,No,https://www.avantiproducts.com,RM4436SS
Avanti,(11A.) Compact all-refrigerators - manual defrost,DF1-15,RM4416B,4.4,228.0,4.4,No,No,https://www.avantiproducts.com,RM4416B
Avanti,(11A.) Compact all-refrigerators - manual defrost,DF1-11.2,RM3306W,3.3,220.0,3.3,No,No,https://www.avantiproducts.com,RM3306W
AVANTI,(11A.) Compact all-refrigerators - manual defrost,RM24T1B,RM24T1B,2.4,200.0,2.4,No,No,https://www.avantiproducts.com,RM24T1B
Avanti,(12.) Compact refrigerator-freezers - partial automatic defrost,DF2-28,RA7326BT,8.3,345.0,7.4,No,No,https://www.avantiproducts.com,RA7326BT
Avanti,(12.) Compact refrigerator-freezers - partial automatic defrost,DF2-160,RA45B3S,5.4,327.0,4.5,No,No,https://www.avantiproducts.com,RA45B3S
AVANTI,(12.) Compact refrigerator-freezers - partial automatic defrost,DF2-11,RA31B0W,3.7,320.0,3.1,No,No,https://www.avantiproducts.com,RA31B0W
AVANTI,(13A.) Compact all-refrigerators - automatic defrost,AR52T3SB,AR52T3SB,5.2,258.0,5.2,No,No,https://www.avantiproducts.com,AR52T3SB
Avanti,(13A.) Compact all-refrigerators - automatic defrost,DL1.15.3,AR4456SS,4.4,269.0,4.4,No,No,https://www.avantiproducts.com,AR4456SS
Avanti,(13A.) Compact all-refrigerators - automatic defrost,DL1.15.3,AR4446B,4.4,269.0,4.4,No,No,https://www.avantiproducts.com,AR4446B
Fisher & Paykel,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RS2474B,RS2474BRU1,13.8,382.0,10.6,No,No,https://www.fisherpaykel.com/us/cooling/,RS2474BRU1
Fisher & Paykel,(5-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,RB2470BRV1,RB2470BRV1,9.6,380.0,8.0,No,No,https://www.fisherpaykel.com/us/cooling/,RB2470BRV1
Fisher & Paykel,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RS2484W,RS2484W****,15.2,439.0,12.1,No,No,https://www.fisherpaykel.com/us/cooling/,RS2484W....
Fisher & Paykel,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RS3084W,RS3084W****,20.0,478.0,15.9,No,No,https://www.fisherpaykel.com/us/cooling/,RS3084W....
Fisher & Paykel,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,RF170B,RF170B*****,21.4,454.0,17.5,No,No,https://www.fisherpaykel.com/us/cooling/,RF170B.....
Fisher & Paykel,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,RF201A,RF201A*****,24.2,448.0,20.1,No,No,https://www.fisherpaykel.com/us/cooling/,RF201A.....
Fisher & Paykel,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,RF135B,RF135B******,16.5,411.0,13.5,No,No,https://www.fisherpaykel.com/us/cooling/,RF135B......
SUMMIT,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,CTR22W,CTR21**,25.2,437.0,20.8,No,No,https://eguides.fsiworldwide.com/label/514.pdf,CTR21..
Homecraft,(13A.) Compact all-refrigerators - automatic defrost,HS-199BN(SNZ),BK49BS,4.9,270.0,4.9,No,No,https://products.ecomedes.com/products/homecraft/BK49BS,BK49BS
COSMO,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,HC-827WEN(SNZ),COS-FDR225RHSS,27.5,588.0,22.5,No,No,https://www.amazon.com/Cosmo-FDR225RHSS-Refrigerator-Efficient-Automatic/dp/B07RNNXZZV,COS-FDR225RHSS
COSMO,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,HC-828WEN(SNZ),COS-FDR225RHSS-G,27.5,588.0,22.5,No,No,https://www.amazon.com/COS-FDR225RHSS-G-Refrigerator-Efficient-Automatic-Capacity-Stainless/dp/B098TY7HT5,COS-FDR225RHSS-G
SMAD,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,HC-827WEN(SNZ),DM-827WMU,27.5,588.0,22.5,No,No,https://www.amazon.com/dp/B08FSGFDLH?ref=myi_title_dp&th=1,DM-827WMU
SHARP,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,HC-827WEN(SNZ),SJG2351FS,27.5,588.0,22.5,No,No,https://www.lowes.com/pd/Sharp-SJG2351FS-15-9-cu-ft-4-Door-Built-in-French-Door-Refrigerator-with-Ice-Maker-Stainless-steel-ENERGY-STAR/5001556369,SJG2351FS
Honeywell,(16.) Compact upright freezers with manual defrost,HS-52FN(S2NZ),H11MFB,1.9,215.0,1.1,No,No,https://www.amazon.com/Honeywell-Countertop-Reversible-Removable-Apartment/dp/B09S1BGYTZ?th=1,H11MFB
Honeywell,(16.) Compact upright freezers with manual defrost,HS-52FN(S2NZ),H11MFW,1.9,215.0,1.1,No,No,https://www.amazon.com/Honeywell-Countertop-Reversible-Removable-Apartment/dp/B09S1BGYTZ?th=1,H11MFW
Seasons,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,STMR183**#*,STMR183**#*,22.2,370.0,18.3,No,No,By annual report date,STMR183....
Gallery,(9.) Upright freezers with automatic defrost without an automatic icemaker,DU21F E AD Conv,FGVU21F8QF*,36.1,484.0,20.5,No,No,https://energyguide.electrolux-na.com,FGVU21F8QF.
Frigidaire,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FFHN2740PS,FFHN2740P*,31.4,482.0,26.5,No,No,https://energyguide.electrolux-na.com/,FFHN2740P.
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,FXHI2000QB0,FFHT2131Q*,24.3,386.0,20.5,No,No,https://energyguide.electrolux-na.com/,FFHT2131Q.
Frigidaire,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,FXHT1600QB0I,FFHT1621T*,19.1,432.0,16.3,No,No,https://energyguide.electrolux-na.com/,FFHT1621T.
Frigidaire,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,LFHB2751TF0,LFHB2751T*,33.5,715.0,26.8,No,No,https://energyguide.electrolux-na.com/,LFHB2751T.
Frigidaire,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,FFHN2750TS0,FFHN2750T*,34.3,642.0,27.6,No,No,https://energyguide.electrolux-na.com/,FFHN2750T.
Frigidaire,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,LFHD2251TF0,LFHD2251T*,26.9,660.0,21.7,No,No,https://energyguide.electrolux-na.com/,LFHD2251T.
Frigidaire,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,LFHD2251TF0,FFHD2250T*,26.9,660.0,21.7,No,No,https://energyguide.electrolux-na.com/,FFHD2250T.
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,MCHT1832SP0,FFHT1832T*,21.1,363.0,18.0,No,No,https://energyguide.electrolux-na.com/,FFHT1832T.
Frigidaire,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,MCHT1832SP0I,FFHT1832T*,21.1,447.0,18.0,No,No,https://energyguide.electrolux-na.com/,FFHT1832T.
Frigidaire,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,MCHT1842SP0,FGHT1842T*,21.1,363.0,18.0,No,No,https://energyguide.electrolux-na.com/,FGHT1842T.
Frigidaire,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,MAVK2355TF0,LGHK2336T*,28.1,613.0,22.0,No,No,https://energyguide.electrolux-na.com/,LGHK2336T.
Frigidaire,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,LAVX2636TF0,LGHX2636T*,32.4,646.0,25.5,No,No,https://energyguide.electrolux-na.com/,LGHX2636T.
