ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2374640,Kenmore,111.29142120,",111.2914####,; ,111.2914#,; ,2914#,",,Top Load,,None,Residential,4.5,,270.0,,2.3,1.29,127,3.6,8.4,4779,,,,,,,,,No,NA,NA,,Yes,ES_1108205_WTD8BBTWEE_03012021104622_3826562,02/25/2021,03/04/2021,United States,ES_15649_111.29142120_02252021170741_4655878,No
2393593,Kenmore,111.2915####; 111.2915#; 2915#,,,Top Load,,Agitator,Residential,4.4,28.40,27.0,45.80,2.44,1.29,103,3.6,8.4,4673,,,,,,,,NA,No,,,,No,,02/24/2022,02/10/2022,United States,ES_15649_111.2915####_03042022081442_618402,No
2355252,Kenmore,2165*20*,,883049582412,Top Load,,"Delayed Start,Clean Washer With Affresh, Cold Clean, Express",Residential,5.2,,27.0,,2.06,1.29,260,4.3,8.4,6609,,,,,,,,,No,,,,Yes,ES_15649_6165*20*_02202020201902_9942650,04/01/2020,01/13/2020,United States,ES_15649_2165*20*_01132020175939_8379193,No
2310410,Kenmore,2613*41*,,883049334691,Top Load,,Pre Wash##Deep Fill##Two Rinses##Fabric Softener##Steam,Residential,4.8,,27.0,,2.06,1.29,169,4.3,8.4,6076,,,,,,,,,No,,,,No,,03/23/2015,02/08/2018,"United States, Canada",ES_15649_2613*41*_02092018170246_5766555,No
2310389,Kenmore,2713*41*,,883049334707,Top Load,,Pre Wash##Deep Fill##Two Rinses##Fabric Softener##Steam,Residential,4.8,,27.0,,2.06,1.29,169,4.3,8.4,6076,,,,,,,,,No,,,,No,,03/23/2015,02/08/2018,"United States, Canada",ES_15649_2713*41*_02092018170338_5818057,No
2310394,Kenmore,2813*41*,,883049334714,Top Load,,"Pre Wash, Deep Fill, Timed Oxi, Fabric Softener, Stain Boost",Residential,5.3,,27.0,,2.06,1.29,195,4.3,8.4,6698,,,,,,,,,No,,,,No,,02/23/2015,02/08/2018,"United States, Canada",ES_15649_2813*41*_02092018170446_5886893,No
2394992,Almison,ASFW22**A5A,",,** can be replaced by RD, BE, S1, S2, S3, S4, S5, S6, RD, BE, WE or BK, GN or others 2 letters denotes products with different painted color.",,Front Load,,None,Residential,2.2,,23.4,,2.07,1.84,70,4.2,4.7,2726,,,,,,,,,No,,,,,,04/13/2022,04/22/2022,"United States, Canada",ES_1108549_ASFW22**A5A_042220220128180_8271827,No
2309302,Amana,NFW5800D**,,883049332208,Front Load,,"Pre Soak, Eco Boost, Stain Treat, Fan Fresh",Residential,4.2,,27.0,,2.76,1.84,109,3.2,4.7,3936,,,,,,,,,No,,,,No,,04/15/2015,01/17/2018,"United States, Canada",ES_22856_NFW5800D*+_04252016201435_5275579,No
2331773,Amana,NFW5800H**,,883049453552,Front Load,,"Anti-Wrinkle,Sanitize Option,Clean Washer with Affresh",Residential,4.3,,27.0,,2.76,1.84,123,3.2,4.7,4097,,,,,,,,None,No,,,,Yes,ES_22856_NGD5800H**_07022019213222_3142480,12/03/2018,08/24/2018,"United States, Canada",ES_15649_NFW5800H**_10142018185145_3105252,No
2309900,Asko,W2084.W.U,,578206,Front Load,,"Delayed Start,Hand Wash Cycle,Anti-Wrinkle,Gentle Cycle,Heavy-duty construction, Large-capacity stainless steel drum, ActivedrumTM technology##Quattro SuspensionTM technology, Spin speed up to 1400 rpm, Steel SealTM technology, LCD display, Quiet operation 51dB (A) wash/75 dB (A) spin, Auto program, Remaining time and program end indicator, Stacked or side by side installation",Residential,2,,23.4,,2.31,1.84,75,2.9,4.7,1728,,,,,,,,,No,,,,Yes,ES_1123023_T208H.W.U_08032017015947_70148998,01/01/2018,02/02/2018,"United States, Canada",ES_1123023_W2084.W.U_02022018102131_70173114,No
