Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16E2BI1AG3,MEDB765F**,7.4,240.0,,Yes,3.73,No,No
Kenmore,Vented Gas,A14CCL1AI4,7913*41*,8.8,,20148.0,Yes,3.3,No,No
Kenmore,Vented Gas,A14CCL1AI5,7813*41*,8.8,,20217.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L15MCA1AC3,8143*51*,3.3,240.0,,Yes,3.27,No,No
Whirlpool,Vented Gas,A18YAC1AH0,WGTLV27H**,5.9,,15947.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A18YAC1AH1,WGTLV27H**,5.9,,16043.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L18LCB1AA0,8144*71*,3.4,120.0,,Yes,3.61,No,No
Crosley,Vented Gas,L17QEG1AJ1,CGD7006G**,7.0,,22062.0,Yes,3.3,No,No
Kenmore,Vented Gas,L16QCG1AJ1,7523*61*,7.0,,22083.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L13QAG1AJ2,WGD49STB**,7.0,,21893.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L13MCA1AC0,8875*79+,3.3,240.0,,Yes,3.27,No,No
Whirlpool,Vented Gas,A14AAH1AI1,WGD97HEDB**,7.3,,19548.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L13QCG1AG1,6210*31+,7.0,240.0,,Yes,3.73,No,No
