Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QCG1AG5,6234*51+,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QCG1AG6,6233*51+,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG7,6012*51+,6.5,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG8,6022*51+,6.5,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG9,6022*51+,6.5,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG10,6022*51+,6.5,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG12,6022*51+,6.5,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG12,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG13,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG15,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Amana,Vented Gas,L15RDF1AJ6,NGD4655E**,6.5,,21937.0,Yes,3.3,No,No
Amana,Vented Gas,L15RDF1AJ9,NGD4655E**,6.5,,21783.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15WAD1AG2,WED4985E**,6.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG2,WED4616F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG3,WED4616F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG4,WED4916F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG6,WED4916F**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG0,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG2,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Kenmore,Vented Gas,L15QCG1AJ4,7233*51*,7.0,,22007.0,Yes,3.3,No,No
Kenmore,Vented Gas,L15QCG1AJ5,7234*51*,7.0,,22109.0,Yes,3.3,No,No
Kenmore,Vented Gas,L15QCG1AJ6,7234*51*,7.0,,22309.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16E2BI1AG1,MEDB765F**,7.4,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16E2BI1AG4,MEDB765F**,7.4,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L15QBG1AJ4,MGDC215E**,7.0,,21946.0,Yes,3.3,No,No
Maytag,Vented Gas,L15QBG1AJ5,MGDC215E**,7.0,,22185.0,Yes,3.3,No,No
Maytag,Vented Gas,L15QBG1AJ5,MGDC415E**,7.0,,22185.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15KAC1AH3,WGT4027E**,5.9,,15262.0,Yes,3.3,No,No
Kenmore,Vented Gas,A14CCL1AI4,7813*41*,8.8,,20148.0,Yes,3.3,No,No
Kenmore,Vented Gas,A14CCL1AI5,7913*41*,8.8,,20217.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A15KAC1AE3,WET4027E**,5.9,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DBG1AG3,MEDB755D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A17E3BI1AG0,MEDP575G**,7.4,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,A17E3BI1AI0,MGDP575G**,7.4,,19962.0,Yes,3.3,No,No
Kenmore,Vented Gas,A17E2CI1AI0,7037*71*,7.4,,20217.0,Yes,3.3,No,No
Amana,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L16NDA1AA1,NEC3120F**,3.3,120.0,,Yes,3.61,No,No
Whirlpool,Vented Gas,L13QAG1AJ3,WGD49STB**,7.0,,22276.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L04NCA1AA1,8472*40*,3.3,120.0,,Yes,3.61,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A15EBI1AG0,MEDP475E**,7.0,240.0,,Yes,3.73,No,No
Kenmore,Vented Gas,L13RCF1AJ0,7140*31+,6.5,,21559.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A14AAH1AI1,WGD83HEDC**,7.3,,19416.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L13QAG1AJ1,WGD4850B**,7.0,,21712.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L13RCF1AG1,6192*31+,6.5,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L16ODA1AC0,NEC3240F**,3.3,240.0,,Yes,3.27,No,No
Whirlpool,Vented Gas,L15WAD1AJ1,WGD4985E**,6.0,,21759.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L07OJM1AL0,WED7500V**,3.7,240.0,,No,3.29,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG18,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG7,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG8,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG18,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG1,WED5100H**,7.4,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG19,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L15QAG1AJ11,WGD4810E**,7.0,,22098.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ11,WGD4915E**,7.0,,22098.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18KAC1AE5,WET4027H**,5.9,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,A20E3BI1AI0,MGDP576K**,7.4,,20207.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L18QAG1AJ4,WGD4950H**,7.0,,22362.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG17,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG17,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG6,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG7,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG15,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L18QBG1AJ5,MGDC465H**,7.0,,22512.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L18MAB1AC3,WET4024H**,3.4,240.0,,Yes,3.27,No,No
Maytag,Vented Gas,L14CBL1AJ7,MGDB835D**,8.8,,20187.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DAG1AG8,WED7000D**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DAG1AG8,WED7300D**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18YAC1AE2,WETLV27H**,5.9,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DAG1AG7,WED7300D**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L15QAG1AJ10,WGD4810E**,7.0,,21417.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ10,WGD4815E**,7.0,,21417.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG13,6012*51+,6.5,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG13,6022*51+,6.5,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L16DBG1AJ1,MGDB766F**,7.0,,21863.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG20,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG20,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG17,MEDC555D**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QBG1AG17,MEDX655D**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15WAD1AG4,WED4985E**,6.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG21,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG21,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG10,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Roper,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16RGF1AG13,RED4516F**,6.5,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,A18BBI1AI1,MGD6230RH**,7.4,,20379.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18YAC1AE3,WETLV27H**,5.9,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L13QAG1AG9,WED49STB**,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QCG1AG8,6513*41+,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L15QAG1AJ12,WGD4810E**,7.0,,22316.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ12,WGD4915E**,7.0,,22316.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG14,6022*51+,6.5,240.0,,Yes,3.73,No,No
Amana,Vented Gas,L15RDF1AJ13,NGD4655E**,6.5,,22104.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG22,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG12,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L20Q2BG1AG2,MED6200K**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG4,MED6230H**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,A18BAI1AI2,WGD5100H**,7.4,,20238.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG8,WED4616F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG23,WED4815E**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG12,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG23,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L18QBG1AJ9,MGDC465H**,7.0,,22118.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG5,MED6230H**,7.4,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QCG1AG9,6513*41+,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15WAD1AG5,WED4985E**,6.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L18QAG1AJ7,WGD4850H**,7.0,,22412.0,Yes,3.3,No,No
Maytag,Vented Gas,A18BBI1AI2,MGD6230H**,7.4,,20276.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ13,WGD4815E**,7.0,,22406.0,Yes,3.3,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG15,6022*51+,6.5,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,A18BAI1AI3,WGD6120H**,7.4,,20096.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L20Q2BG1AG3,MED6200K**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L13QAG1AJ5,WGD49STB**,7.0,,22429.0,Yes,3.3,No,No
Kenmore,Vented Gas,L14QCG1AJ7,7513*41+,7.0,,22347.0,Yes,3.3,No,No
Kenmore,Vented Gas,L15QCG1AJ7,7234*51*,7.0,,22193.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L21Q2AG1AG0,WED5010L**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L21Q2AG1AJ0,WGD5050L**,7.0,,21956.0,Yes,3.3,No,No
Maytag,Vented Gas,L20Q2BG1AJ0,MGD6200K**,7.0,,21479.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG6,MED6230H**,7.4,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,A18BBI1AI3,MGD6230H**,7.4,,20319.0,Yes,3.3,No,No
Maytag,Vented Gas,A18BBI1AI3,MGD6230RH**,7.4,,20319.0,Yes,3.3,No,No
Amana,Vented Gas,L15RDF1AJ15,NGD4655E**,6.5,,22317.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L18QAG1AJ8,WGD4950H**,7.0,,22144.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L18QAG1AJ8,WGD4850H**,7.0,,22144.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG9,WED4616F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG9,WED4916F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG7,WED6120H**,7.4,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG7,MED6230H**,7.4,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG8,MED6230H**,7.4,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG8,MED6230RH**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG26,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L15QAG1AJ15,WGD4810E**,7.0,,22329.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L15QAG1AJ15,WGD4815E**,7.0,,22329.0,Yes,3.3,No,No
Amana,Vented Gas,L15RDF1AJ16,NGD4655E**,6.5,,22055.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18KAC1AE9,WET4027H**,5.9,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG10,WED4616F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L18MAB1AC8,WET4024H**,3.4,240.0,,Yes,3.27,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L22T2AG1AG0,WED500RL**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L22Q2BG1AJ0,MGD4500M**,7.0,,21738.0,Yes,3.3,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L17QEG1AG0,CED7011L**,7.0,240.0,,Yes,3.73,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L17QEG1AG2,CED7011L**,7.0,240.0,,Yes,3.73,No,No
Crosley,Vented Gas,L17QEG1AJ0,CGD7011L**,7.0,,21563.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L22UBG1AG0,MEDP586K**,7.4,240.0,,Yes,3.73,No,No
LG,Vented Gas,DLGY1202*,DLGY1202*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX8001*,DLGX9001*,9.0,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX7701*E,DLGX7711*E,9.0,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX5681*,DLGX5681*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX4071*,DLGX4071*,7.4,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX3361*,DLGX3361*,7.4,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX3071*,DLGX3071*,7.3,,20000.0,Yes,3.31,No,No
LG,Vented Gas,DLGX2551*,DLGX2551*,7.3,,20000.0,Yes,3.31,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",8198#,8196#,9.0,240.0,,Yes,3.74,No,No
Kenmore,Vented Gas,9128#31#,9128#,7.3,,20000.0,Yes,3.31,No,No
Kenmore,Vented Gas,9107#21#,9107#,9.0,,20000.0,Yes,3.31,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",8107#21#,8107#,9.0,240.0,,Yes,3.74,No,No
LG,"Ventless Electric, Combination Washer-Dryer",WM3998H*A,WM3998H*A,4.5,120.0,,Yes,2.09,No,No
LG,"Ventless Electric, Combination Washer-Dryer",WM3555H*A,WM3555H*A,2.4,120.0,,Yes,2.09,No,No
LG,"Ventless Electric, Combination Washer-Dryer",WM3488H*,WM3499H*A,2.3,120.0,,Yes,2.09,No,No
LG SIGNATURE,"Ventless Electric, Combination Washer-Dryer",LUWM101H*A,LUWM101H*A,2.8,120.0,,Yes,4.3,No,No
LG,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",DLEC855*,DLEC888*,4.2,240.0,,Yes,2.56,No,No
LG,Vented Gas,DLGX8001*,DLGX9501*,9.0,,20000.0,Yes,3.31,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX8000*,DLEX9500*,9.0,240.0,,Yes,3.74,No,No
LG,"Ventless Electric, Combination Washer-Dryer",WM3488H*,WM3488H*,2.3,120.0,,Yes,2.09,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX8100*,DLEX8100*,9.0,240.0,,Yes,3.74,No,No
LG,Vented Gas,DLG2241*,DLG2241*,7.3,,20000.0,Yes,3.31,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEY1201*,DLEY1201*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX7700*E,DLEX9000*E,9.0,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX7700*E,DLEX9000*,9.0,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX8500*,DLEX8500*,9.0,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX7700*E,DLEX7710*E,9.0,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX7700*E,DLEX7700*E,9.0,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX6001*,DLEX6001*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX5680*,DLEX5680*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX5175*,DLEX5175*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3550*,DLEX3550*,7.4,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3470*,DLEX3470*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX2655*,DLEX2655*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX2450*,DLEX2450*,7.3,240.0,,Yes,3.74,No,No
LG,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",DLEC855*,DLEC855*,4.2,240.0,,Yes,2.56,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE5002*,DLE5002*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE4870*,DLE4870*,7.3,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE4801*,DLE4801*,7.1,240.0,,Yes,3.74,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE3050*,DLE3050*,7.3,240.0,,Yes,3.74,No,No
MAGIC CLEAN,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",MCLD24WI,MCLD24WI,2.4,120.0,,Yes,3.69,No,No
Avanti,Vented Gas,MDV160-VG042/F01-US13,SGD67D0WG,6.7,,16000.0,Yes,3.48,No,No
AVANTI,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",D110J2P-IS,D110J2P-IS,2.4,120.0,,Yes,3.69,No,No
MAGIC CHEF,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",MCSDRY15W,301134985,1.4,120.0,,Yes,3.64,No,No
Frigidaire,Vented Gas,MDD160-VG012/F0110E-US13,FFRG4120***,6.7,,16000.0,Yes,3.3,No,No
Frigidaire,"Vented Electric, Standard (4.4 ft3 or greater capacity)",FLCE7523***,FLCE7523***,5.5,240.0,,Yes,3.73,No,No
MAGIC CHEF,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",GYJ40-58,MCSDRY1S,2.3,120.0,,Yes,3.62,No,No
MAGIC CHEF,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",GYJ28-88,MCSDRY15W,1.4,120.0,,Yes,3.64,No,No
MAGIC CHEF,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",GYJ60-78C3-E,MCSDRY35W,3.4,120.0,,Yes,3.61,No,No
MAGIC CHEF,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",GYJ28-88-E,MCSDRY15SE,1.4,120.0,,Yes,3.66,No,No
