Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AHC10LYQ2,AHWH10BC**,10100.0,860.0,11.4,No,No,By annual report date
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEC10AYL2,AEC10AYL2,10200.0,860.0,11.4,No,No,By annual report date
ProAire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1PRNC12000,1PRNC12000,12000.0,1040.0,11.4,No,No,https://perfectaire.us/resource_category/specs/.
ProAire,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",1PRMC5000,1PRMC5000,5100.0,460.0,11.0,No,No,https://perfectaire.us/resource_category/specs/.
Denali Aire,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",2DANC24K,2DANC24K,23500.0,2380.0,9.8,No,No,https://perfectaire.us/resource_category/specs/.
Denali Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",2DANC12K,2DANC12K,12000.0,1040.0,11.4,No,No,https://perfectaire.us/resource_category/specs/.
Denali Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",2DANC8K,2DANC8K,8000.0,700.0,11.4,No,No,https://perfectaire.us/resource_category/specs/.
Denali Aire,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",2DANC6K,2DANC6K,6000.0,540.0,11.0,No,No,https://perfectaire.us/resource_category/specs/.
TCL,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",KC-15/YXRD(E1/6)(000742),H5W23M,5000.0,460.0,11.0,No,No,By annual report date
TCL,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KC-23/YXRD(E1/6)(000727),H8W24W,8000.0,740.0,10.9,No,No,By annual report date
TCL,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KC-35/YXRD(E1/6)(001432),H12W24W,12000.0,990.0,10.9,No,No,By annual report date
TCL,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",KC-44/YXRD(E1/6)(01071),H15W25W-CA,15000.0,1270.0,11.8,No,No,By annual report date
TCL,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",TTW-08CRA1/J6U(ES),8T3E1-CA,8000.0,710.0,10.6,No,No,By annual report date
TCL,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",TTW-12CRA1/J6U(ES),12T3E1-CA,12000.0,1140.0,10.5,No,No,By annual report date
TCL,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWAC-10CRA1/L0U(ES),10W3E1-A,10000.0,830.0,12.0,No,No,By annual report date
TCL,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWAC-12CRA1/L0U(ES),12W3E1,12000.0,970.0,12.0,No,No,By annual report date
TCL,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",TWC-06CRA1/L1U(ES),6W9E1,6000.0,500.0,12.1,No,No,By annual report date
TCL,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",TWC-06CRD1/L1U(ES),6W3ER1-A,6000.0,490.0,12.1,No,No,By annual report date
