ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2389298,Coast air,CEW121CS,,0847283031846,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,750,No,,,,,,,,,11/13/2021,12/10/2021,"United States, Canada",ES_1138537_CEW121CS_12142021120410_80107683,No,CEW121CS
2408952,Coast air,CEW141DS,,0847283035455,,,,,14000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),11.3,6,929,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,02/21/2023,02/24/2023,"United States, Canada",ES_17771_CEW141DS_02222023181846_9132043,No,CEW141DS
2334318,Coast air,CEW151BS,,,,,,,15100,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.8,10,960,No,,,,,,,,,03/01/2019,03/07/2019,"United States, Canada",ES_0017771_CEW151BS_02282019105905_70217291,No,CEW151BS
2370428,Coast air,CEW183CS,,0847283029386,,,,,18000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,,,11.8,10,1144,No,,,,,,,,,11/30/2020,11/30/2020,"United States, Canada",ES_17771_CEW183CS_12022020052303_80062597,No,CEW183CS
2370429,Coast air,CEW243CS,,0847283029393,,,,,25000,,Window,,,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",No,No,,,10.3,10,1820,No,,,,,,,,,11/30/2020,11/30/2020,"United States, Canada",ES_17771_CEW243CS_12022020052303_80062597,No,CEW243CS
2507738,Comfort Aire,BG-101R01,,,,,,,10000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",No,No,,,10.6,10,708,No,,,,,,,,,05/25/2023,05/25/2023,"United States, Canada",ES_0017771_BG-101R01_05312023113407_80167537,No,BG-101R01
2507739,Comfort Aire,BG-103R01,,,,,,,10500,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",No,No,,,10.6,10,743,No,,,,,,,,,05/25/2023,05/25/2023,"United States, Canada",ES_0017771_BG-103R01_05312023113407_80167537,No,BG-103R01
2507740,Comfort Aire,BG-121R01,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",No,No,,,10.5,11,857,No,,,,,,,,,05/25/2023,05/25/2023,"United States, Canada",ES_0017771_BG-121R01_05312023113407_80167537,No,BG-121R01
2507741,Comfort Aire,BG-123R01,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",No,No,,,10.5,11,857,No,,,,,,,,,05/25/2023,05/25/2023,"United States, Canada",ES_0017771_BG-123R01_05312023113407_80167537,No,BG-123R01
2507737,Comfort Aire,BG-81R01,,,,,,,8300,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",No,No,,,10.6,10,587,No,,,,,,,,,05/25/2023,05/25/2023,"United States, Canada",ES_0017771_BG-81R01_05312023113407_80167537,No,BG-81R01
