ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2388394,LG,LRTNC0915*,,195174028360,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,65.6,21.9,9.0,10.5,286,318.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,No,,,11/20/2021,11/12/2021,"United States, Canada",ES_1118034_LRTNC0915*_11222021081547_5550001_,Yes,LRTNC0915.
2393186,LG,LRYKC2606*,,195174034828,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,Yes,70.3,35.8,25.5,32.1,699,772.0,11.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,,03/01/2022,02/22/2022,"United States, Canada",ES_1118034_LRYKC2606*_02222022043103_80117377,No,LRYKC2606.
2443182,LG,LRYXC2606*,,195174037690,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,Yes,70.3,35.8,25.5,32.1,699,772.0,11.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,Yes,03/10/2023,03/10/2023,"United States, Canada",ES_1118034_LRYXC2606*4_03102023103557_80162243,No,LRYXC2606.
2329142,LG,LSBNC1021*,,772454070570,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,No,69.9,21.8,9.5,11.3,369,527.0,36.0,,,No,,,,,11/16/2018,10/31/2018,"United States, Canada",ES_1118034_LSBNC1021*_11012018111405_70204294,Yes,LSBNC1021.
2248563,LG,LSSB2692**,,48231787482,Side-by-Side,7-BI -Built-in refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,Yes,Yes,Yes,No,83.5,42.0,25.6,32.7,762,838.0,10.0,,,No,,,,,11/20/2015,09/28/2015,"United States, Canada",ES_1118034_LSSB2692**_09282015052445_70048277,No,LSSB2692..
2294733,LG,LSXC22396*,,48231788786;48231794084,Side-by-Side,7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.3,35.9,21.7,27.3,638,666.0,5.0,,,Yes,Wi-Fi,Yes,ThinQ,Yes,04/25/2017,04/20/2017,"United States, Canada",ES_1118034_LSXC22396*_04212017014450_70133934,No,LSXC22396.
2291973,LG,LSXC22426*,,48231788816,Side-by-Side,7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.3,35.9,21.9,27.5,639,668.0,5.0,,,Yes,Wi-Fi,Yes,ThinQ,Yes,03/10/2017,02/25/2017,"United States, Canada",ES_1118034_LSXC22426*_03062017025432_70125387,No,LSXC22426.
2290079,LG,LSXS26396*,,48231788779,Side-by-Side,7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.3,35.9,26.1,33.1,684,715.0,5.0,,,Yes,Wi-Fi,Yes,ThinQ,Yes,02/10/2017,02/02/2017,"United States, Canada",ES_1118034_LSXS26396*_02062017122426_70120455,No,LSXS26396.
2508435,LG,LT11C2000*,,195174065129,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,64.6,23.6,11.1,13.2,291,340.0,14.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,06/15/2023,05/12/2023,"United States, Canada",ES_1118034_LT11C2000*_06192023112949_80169250,Yes,LT11C2000.
2346451,LG,LTCS20020*,,195174001448;195174004548;195174027837;48231805179;48231805186,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.1,29.9,20.2,24.4,387,431.0,10.0,,,No,,No,,,09/13/2019,09/12/2019,"United States, Canada",ES_1118034_LTCS20020*_09142019112234_80017793,Yes,LTCS20020.
2353362,LG,LTCS20030*,,195174025529;48231807227,Top Freezer,3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,Automatic,No,No,No,Yes,No,66.1,29.9,20.2,24.4,471,515.0,10.0,,,No,,,,,01/13/2020,01/09/2020,"United States, Canada",ES_1118034_LTCS20030*_01142020020513_80030723,Yes,LTCS20030.
2284444,LG,LTNS20220*,,772454068522;772454068539;772454070211,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.1,29.9,20.2,24.4,387,431.0,10.0,,,No,,,,,11/30/2016,11/18/2016,"United States, Canada",ES_1118034_LTNS20220*_11182016035515_70109213,Yes,LTNS20220.
2408984,LG,SRFB27*#,,195174054215,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,Yes,70.3,35.8,26.5,33.1,632,694.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,Yes,02/14/2023,02/15/2023,"United States, Canada",ES_1118034_SRFB27*#4_02272023111041_80159403,No,SRFB27..
2350382,LG,SRFVC2406*,,048231807012,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.3,35.8,23.5,29.7,717,750.0,5.0,,,Yes,Wi-Fi,Yes,ThinQ,Yes,11/25/2019,11/20/2019,"United States, Canada",ES_1118034_SRFVC2406*_11262019015458_80025822,No,SRFVC2406.
2382930,LG,SRFVC2416*,,195174024485,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.3,35.8,23.5,29.7,717,750.0,5.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,Yes,08/13/2021,08/05/2021,"United States, Canada",ES_1118034_SRFVC2416*_08062021012428_80094034,No,SRFVC2416.
2382929,LG,SRSXB2622*,,195174024478,Side-by-Side,7-BI -Built-in refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,Yes,Yes,Yes,No,83.5,42.0,25.6,32.7,762,838.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,08/13/2021,08/05/2021,"United States, Canada",ES_1118034_SRSXB2622*_08062021012428_80094034,No,SRSXB2622.
2268375,LG SIGNATURE,LUPXS3186*,,048231787635,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.3,35.9,30.8,39.9,807,844.0,5.0,,,Yes,Wi-Fi,Yes,ThinQ,Yes,07/25/2016,06/17/2016,"United States, Canada",ES_1118034_LUPXS3186*_05312016073726_70080358,No,LUPXS3186.
2350384,LG SIGNATURE,URNTC2306*,,048231805919,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,Yes,70.3,35.8,22.8,29.3,714,746.0,5.0,,,Yes,Wi-Fi,Yes,ThinQ,Yes,12/02/2019,11/20/2019,"United States, Canada",ES_1118034_URNTC2306*_11262019015458_80025822,No,URNTC2306.
2350383,LG SIGNATURE,URNTS3106*,,048231805902,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,70.3,35.9,30.8,39.9,807,844.0,5.0,,,Yes,Wi-Fi,Yes,ThinQ,Yes,12/02/2019,11/20/2019,"United States, Canada",ES_1118034_URNTS3106*_11262019015458_80025822,No,URNTS3106.
2375482,KitchenAid,KUDR204KSB**,,833049593067,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,35.0,24.0,4.4,4.4,269,300.0,10.0,,,No,,,,,04/01/2021,03/26/2021,"United States, Canada",ES_0022856_KUDR204KSB**_03262021032925_80076968,No,KUDR204KSB..
2372248,KitchenAid,KUR*114KPA**,,833049593043;833049593050,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,34.4,23.9,5.0,5.0,274,305.0,10.0,,,No,,,,,02/01/2021,01/15/2021,"United States, Canada",ES_0022856_KUR*114KPA**_01192021042642_80069587,No,KUR.114KPA..
2372247,KitchenAid,KUR*114KSB**,,833049593029;833049593036,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,34.4,23.9,5.0,5.0,274,305.0,10.0,,,No,,,,,02/01/2021,01/15/2021,"United States, Canada",ES_0022856_KUR*114KSB**_01192021042642_80069587,No,KUR.114KSB..
2372249,KitchenAid,KUR*214KSB**,,833049593005;833049593012,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,34.4,23.9,5.2,5.2,274,307.0,11.0,,,No,,,,,02/01/2021,01/15/2021,"United States, Canada",ES_0022856_KUR*214KSB**_01192021042642_80069587,No,KUR.214KSB..
2372250,KitchenAid,KUR*314KBS**,,833049592985;833049592992,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,34.4,23.9,5.2,5.2,274,307.0,11.0,,,No,,,,,02/01/2021,01/15/2021,"United States, Canada",ES_0022856_KUR*314KBS**_01192021042642_80069587,No,KUR.314KBS..
2372251,KitchenAid,KUR*314KSS**,,833049592961;833049592978,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,34.4,23.9,5.2,5.2,274,307.0,11.0,,,No,,,,,02/01/2021,01/15/2021,"United States, Canada",ES_0022856_KUR*314KSS**_01192021042642_80069587,No,KUR.314KSS..
2405193,KOOLMORE,RERFDSS-22C,,,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,No,69.9,35.8,22.5,27.5,588,644.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,11/29/2022,12/01/2022,"United States, Canada",ES_1147715_RERFDSS-22C_120120220825878_5704835,No,RERFDSS-22C
2301244,LG,LBNC10551*,,48231794640;48231794657,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,68.4,23.5,10.1,13.0,385,432.0,11.0,,,No,,No,,,07/30/2017,07/17/2017,"United States, Canada",ES_1118034_LBNC10551*_08022017024746_70150191,No,LBNC10551.
2337501,LG,LBNC12231*,,772454071317;772454071324,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67.8,27.6,11.9,14.7,402,447.0,10.0,,,No,,,,,04/30/2019,04/30/2019,"United States, Canada",ES_1118034_LBNC12231*_04302019115050_80002579,No,LBNC12231.
2337502,LG,LBNC12241*,,772454071638,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67.8,27.6,11.9,14.7,402,447.0,10.0,,,No,,,,,04/30/2019,04/30/2019,"United States, Canada",ES_1118034_LBNC12241*_04302019115050_80002579,No,LBNC12241.
2347081,LG,LBNC12251*,,772454072932,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67.8,27.6,11.9,14.7,357,447.0,20.0,,,No,,,,,09/24/2019,05/01/2019,"United States, Canada",ES_1118034_LBNC12251*_09242019054003_80018773,No,LBNC12251.
2332509,LG,LBNC15231*,,772454071300;772454071607,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67.8,27.6,14.7,18.2,425,478.0,11.0,,,No,,,,,01/15/2019,01/15/2019,"United States, Canada",ES_1118034_LBNC15231*_01302019125547_70212703,No,LBNC15231.
2347082,LG,LBNC15241*,,772454072925,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67.8,27.6,14.7,18.2,382,478.0,20.0,,,No,,,,,09/24/2019,01/15/2019,"United States, Canada",ES_1118034_LBNC15241*_09242019054003_80018773,No,LBNC15241.
2366393,LG,LBNC15251*,,195174002582,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,67.8,27.6,14.7,18.3,425,479.0,11.0,,,No,,,,,09/25/2020,09/25/2020,"United States, Canada",ES_1118034_LBNC15251*_09282020041127_80057092,No,LBNC15251.
2407772,LG,LCFC26XS*,,195174058893,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,Yes,70.3,35.8,25.5,32.1,699,772.0,11.0,R-600a,R-600a (GWP:3 | Lower GWP),Yes,Wi-Fi,Yes,ThinQ,Yes,02/03/2023,01/23/2023,"United States, Canada",ES_1118034_LCFC26XS*_02012023102503_80156747,No,LCFC26XS.
2408964,LG,LCFS22EX*,,195174059234,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,No,69.0,30.0,21.8,27.3,587,643.0,10.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,No,,,02/10/2023,02/02/2023,"United States, Canada",ES_1118034_LCFS22EX*4_02242023124801_80158258,No,LCFS22EX.
2249831,LG,LDCS24223*,,48231787444;48231787451;48231787468;48231807043,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,No,70.0,32.8,24.1,30.0,608,667.0,10.0,,,No,,,,,10/09/2015,10/07/2015,"United States, Canada",ES_1118034_LDCS24223*_10092015113356_70049387,No,LDCS24223.
2203489,LG,LFC22770**,,48231784818;48231784894;48231784900,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,No,No,Yes,No,68.5,29.8,21.8,27.3,587,643.0,10.0,,,No,,,,,01/28/2014,01/28/2014,"United States, Canada",ES_1118034_LFC22770**_01282014023917_2697957,No,LFC22770..
