ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2472822,Elisii,DECVC210S,",,Tested model BD/BC-590WP2NA1/HC1(E)",686136119153,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,21.2,37.2,494,549,10,,,No,12/14/2022,05/08/2023,"United States, Canada",ES_1142511_DECVC210S_050820230033897_6555675,No
2472821,Elisii,DECVC210W,",,Tested model BD/BC-590WP2NA1/HC1(E)",686136119115,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,21.2,37.2,494,549,10,,,No,12/14/2022,05/08/2023,"United States, Canada",ES_1142511_DECVC210W_050820230033342_4657593,No
2334684,ELLIPSE,ECVC138W,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.8,24.3,394,438,10,,,No,03/10/2019,03/13/2019,Canada,ES_1125680_ECVC138W_03132019074643_3203437,No
2348588,ELLIPSE,ECVC210**,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,21,36.9,492,546,10,,,No,10/18/2019,10/12/2019,Canada,ES_1125680_ECVC210**_10162019124700_80021299,No
2303490,ELLIPSE,EDV166W,",EDV166S,",,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,17,29.6,438,483,9,,,No,09/05/2017,09/08/2017,Canada,ES_1125680_EDV166W_09122017091145_7505892,No
2300585,EPIC,ECF35W-1,,,Compact,18 - Compact chest freezers,Manual,Yes,No,No,No,3.5,6.2,172,194,11,,,No,07/14/2017,07/13/2017,Canada,ES_1137295_ECF35W-1_07262017114225_9345740,No
2375418,EPIC,ECF36W-1,,,Compact,18 - Compact chest freezers,Manual,Yes,No,No,No,3.4,6,167,192,13,,,No,03/16/2021,03/16/2021,Canada,ES_1137295_ECF36W-1_031620210049251_1564230,No
2301187,EPIC,ECF50W,,,Compact,18 - Compact chest freezers,Manual,Yes,No,No,No,5.1,9,196,220,11,,,No,07/14/2017,07/13/2017,Canada,ES_1137295_ECF50W_07262017115313_9993178,No
2375421,EPIC,ECF50W-1,,,Compact,18 - Compact chest freezers,Manual,Yes,No,No,No,4.9,8.6,184,216,15,,,No,03/16/2021,03/16/2021,Canada,ES_1137295_ECF50W-1_031620210150408_8154794,No
2300588,EPIC,ECF70W,,,Compact,18 - Compact chest freezers,Manual,Yes,No,No,No,7,12.3,224,251,11,,,No,07/14/2017,07/13/2017,Canada,ES_1137295_ECF70W_07262017114956_9796507,No
2453053,EPIC,ECF70W-1,,809854000330,Compact,18 - Compact chest freezers,Manual,Yes,No,No,No,7.2,12.7,229,254,10,,,No,03/28/2023,04/07/2023,Canada,ES_1137295_ECF70W-1_040720230256453_8946524,No
2375422,EPIC,ECF72W-1,,,Compact,18 - Compact chest freezers,Manual,Yes,No,No,No,7.2,12.7,215,254,15,,,No,03/16/2021,03/16/2021,Canada,ES_1137295_ECF72W-1_031620210159942_7253811,No
2275448,EuroDesign,EDV064S,,,Compact,16 - Compact upright freezers with manual defrost,Manual,Yes,No,No,No,6.3,11.1,289,322,10,,,No,08/15/2016,08/16/2016,Canada,ES_1125680_EDV064S_08172016035134_5894744,No
2216934,Fisher & Paykel,RB36S,,,Compact,17 - Compact upright freezers with automatic defrost,Automatic,Yes,No,No,No,3.7,6.5,300,418,28,,,No,08/14/2014,07/14/2014,"United States, Canada",ES_31708_RB36S_08012014195535_2935368,Yes
2320354,Fisher & Paykel,RS18F,,,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,7.8,13.7,415,480,15,,,No,07/01/2018,05/23/2018,"United States, Canada",ES_31708_RS1884FLJ1_05232018153043_9443195,No
2320365,Fisher & Paykel,RS24F,,,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,11.9,20.9,440,551,22,,,No,07/01/2018,05/23/2018,"United States, Canada",ES_31708_RS2484FRJ1_05232018154722_0442046,No
2320386,Fisher & Paykel,RS30F,,,Upright Freezer,9I-BI - Built-In upright freezers with automatic defrost with an automatic icemaker,Automatic,No,Yes,Yes,Yes,15.6,27.5,491,616,22,,,No,07/01/2018,05/23/2018,"United States, Canada",ES_31708_RS3084FLJ1_05232018173646_7006338,No
2328923,Forno,FFFFD1933-28LS,,686136919609,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.8,24.3,394,438,10,,,No,11/01/2018,04/26/2023,"United States, Canada",ES_1142511_FFFFD1933-28LS_11022018032544_9144285,No
2328924,Forno,FFFFD1933-28RS,,686136919364,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.8,24.3,394,438,10,,,No,11/01/2018,04/26/2023,"United States, Canada",ES_1142511_FFFFD1933-28RS_11022018032500_9100517,No
2372696,FORTE,F14UFES****,",,* can be A-Z, a-z, 0-9, - or blank.",,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.4,23.6,386,432,11,,,No,01/15/2021,01/20/2021,"United States, Canada",ES_1145965_F14UFES****_011420212141629_4382771,No
2372698,FORTE,F14UFESSS,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.4,23.6,386,432,11,,,No,01/15/2021,01/20/2021,"United States, Canada",ES_1145965_F14UFESSS_01142021214152_5565831,No
2372697,FORTE,F14UFESWW,,,Upright Freezer,9 - Upright freezers with automatic defrost without an automatic ice maker,Automatic,No,No,No,No,13.4,23.6,386,432,11,,,No,01/15/2021,01/20/2021,"United States, Canada",ES_1145965_F14UFESWW_011420212141467_8008174,No
