ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2289162,Samsung,RF23M8070**,,,Bottom Freezer,5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,Yes,70.0,35.8,22.6,27.6,633,731.0,15.0,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,03/06/2017,01/18/2017,"United States, Canada",ES_1023593_RF23M8070**_01232017013945_70117271,No,RF23M8070..
2382194,Thomson,TFR441-B-BLACK,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.0,20.0,4.6,4.6,204,255.0,20.0,"Other,R600a/0.705 (oz)",R-600a (GWP:3 | Lower GWP),No,,No,,,07/06/2021,07/18/2021,United States,ES_1120898_TFR441-B-BLACK_07192021105202_1911824,Yes,TFR441-B-BLACK
2382192,Thomson,TFR441-BLACK,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.0,20.0,4.6,4.6,204,255.0,20.0,"Other,R600a/0.705 (oz)",R-600a (GWP:3 | Lower GWP),No,,No,,,07/06/2021,07/18/2021,United States,ES_1120898_TFR441-BLACK_07192021105202_7412520,Yes,TFR441-BLACK
2382195,Thomson,TFR441-B-WHITE,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.0,20.0,4.6,4.6,204,255.0,20.0,"Other,R600a/0.705 (oz)",R-600a (GWP:3 | Lower GWP),No,,No,,,07/06/2021,07/18/2021,United States,ES_1120898_TFR441-B-WHITE_07192021105202_3424278,Yes,TFR441-B-WHITE
2382193,Thomson,TFR441-WHITE,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.0,20.0,4.6,4.6,204,255.0,20.0,"Other,R600a/0.705 (oz)",R-600a (GWP:3 | Lower GWP),No,,No,,,07/06/2021,07/18/2021,United States,ES_1120898_TFR441-WHITE_07192021105202_6250785,Yes,TFR441-WHITE
2237727,True Refrigeration,TUR-15-R-SS-B,",TUR-15-L-OP-B,; ,TUR-15-L-SS-B,; ,TUR-15-R-OP-B,; TUR-15-R-SS-B,TUR-15-R-SS-B,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,35.0,15.0,3.1,3.1,259,288.0,10.0,,,No,,,,,01/30/2015,03/30/2015,"United States, Canada",ES_3320_TUR-15-R-SS-B_04202015181921_3961925,No,TUR-15-R-SS-B
2237726,True Refrigeration,TUR-24-D-SS-B,",TUR-24-D-OP-B,; TUR-24-D-SS-B,TUR-24-D-SS-B,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,35.0,24.0,5.4,5.4,278,309.0,10.0,,,No,,,,,12/16/2014,03/30/2015,"United States, Canada",ES_3320_TUR-24-D-SS-B_04202015180138_2898652,No,TUR-24-D-SS-B
2237725,True Refrigeration,TUR-24-R-SS-B,",TUR-24-L-OP-B,; ,TUR-24-L-SS-B,; ,TUR-24-R-OP-B,; TUR-24-R-SS-B,TUR-24-R-SS-B,",,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,35.0,24.0,5.6,5.6,280,311.0,10.0,,,No,,,,,10/07/2014,03/30/2015,"United States, Canada",ES_3320_TUR-24-R-SS-B_03302015200201_5721412,No,TUR-24-R-SS-B
2403150,XO,XOU15BCGBSL,,814830013990,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,34.1,15.0,3.3,3.3,259,290.0,11.0,,,No,,,,,10/20/2022,10/09/2022,"United States, Canada",ES_1147599_XOU15BCGBSL_10172022113747_80142904,No,XOU15BCGBSL
2403151,XO,XOU15BCGBSR,,814830014003,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,No,34.1,15.0,3.3,3.3,259,290.0,11.0,,,No,,,,,10/20/2022,10/09/2022,"United States, Canada",ES_1147599_XOU15BCGBSR_10172022113747_80142904,No,XOU15BCGBSR
