ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2397418,LG,WM6700H*A,,195174037058,Front Load,,None,Residential,5.0,,27.0,,3.1,1.84,105,3.0,4.7,4425,,,,,,,,,No,,,,No,,06/07/2022,06/07/2022,"United States, Canada",ES_1118034_WM6700H*A_06132022032603_80129741,Yes,WM6700H.A
2310481,LG,WM8100H*A,,048231017459;048231017466,Front Load,,"Steam Cycle,Sanitize Option",Residential,5.2,,29.0,,2.92,1.84,120,3.2,4.7,4880,,,,,,,,,No,,,,No,,05/02/2016,02/08/2018,"United States, Canada",ES_1118034_WM8100H*A_02092018060252_70172585,Yes,WM8100H.A
2390058,LG,WM8900H*A,,195174024829,Front Load,,None,Residential,5.2,,29.0,,3.1,1.84,105,2.9,4.7,4423,,,,,,,,,No,,,,No,,12/22/2021,12/20/2021,"United States, Canada",ES_1118034_WM8900H*A_01042022030848_80111020,Yes,WM8900H.A
2390059,LG,WM8980H*A,,195174024867,Front Load,,None,Residential,5.2,,29.0,,3.1,1.84,105,2.9,4.7,4423,,,,,,,,,No,,,,No,,12/22/2021,12/20/2021,"United States, Canada",ES_1118034_WM8980H*A_01042022030848_80111020,Yes,WM8980H.A
2310504,LG,WM9000H*A,,048231015349;048231015356;772454058837,Front Load,,"Steam Cycle,Sanitize Option",Residential,5.2,,29.0,,2.92,1.84,120,3.2,4.7,4880,,,,,,,,,No,,,,No,,06/29/2015,02/09/2018,"United States, Canada",ES_1118034_WM9000H*A_02092018060252_70172585,Yes,WM9000H.A
2310479,LG,WM9500H*A,,048231015400;048231017039,Front Load,,"Steam Cycle,Sanitize Option",Residential,5.8,,30.0,,3.1,1.84,120,2.7,4.7,4588,,,,,,,,,No,,,,No,,06/26/2016,02/08/2018,"United States, Canada",ES_1118034_WM9500H*A_02092018060252_70172585,Yes,WM9500H.A
2364018,LG,WSEX200H*A,,195174000595,Front Load,Laundry Center,None,Residential,5.0,,27.0,,3.1,1.84,105,2.9,4.7,4278,,,,,,,,,No,,,,Yes,ES_1118034_WSEX200H*A_08042020044803_5550000_,08/03/2020,07/30/2020,"United States, Canada",ES_1118034_WSEX200H*A_08042020032635_80051503,No,WSEX200H.A
2364019,LG,WSGX201H*A,,195174000601,Front Load,Laundry Center,None,Residential,5.0,,27.0,,3.1,1.84,105,2.9,4.7,4278,,,,,,,,,No,,,,Yes,ES_1118034_WSGX201H*A    _08042020044803_5550000_,08/03/2020,07/30/2020,"United States, Canada",ES_1118034_WSGX201H*A    _08042020032635_80051503,No,WSGX201H.A
2310494,LG,WT1150C*,,048231017015;772454069109,Top Load,,None,Residential,4.5,,27.0,,2.38,1.29,140,3.7,8.4,4901,,,,,,,,,No,,,,No,,09/30/2016,02/09/2018,"United States, Canada",ES_1118034_WT1150C*_02092018060252_70172585,No,WT1150C.
2310503,LG,WT1501C*,,048231015905;772454065606,Top Load,,None,Residential,4.5,,27.0,,2.38,1.29,140,3.7,8.4,4901,,,,,,,,,No,,,,No,,06/29/2015,02/09/2018,"United States, Canada",ES_1118034_WT1501C*_02092018060252_70172585,No,WT1501C.
2310493,LG,WT1901C*,,048231020596;048231020626;772454068737,Top Load,,None,Residential,5.0,,27.0,,2.38,1.29,130,3.7,8.4,5479,,,,,,,,,No,,,,No,,12/22/2016,02/09/2018,"United States, Canada",ES_1118034_WT1901C*_02092018060252_70172585,No,WT1901C.
2310501,LG,WT5680H*A,,048231013505;048231014144;772454061554;772454061585,Top Load,,"Steam Cycle,Sanitize Option",Residential,5.0,,27.0,,2.38,1.29,135,3.7,8.4,5479,,,,,,,,,No,,,,No,,02/15/2015,02/09/2018,"United States, Canada",ES_1118034_WT5680H*A_02092018060252_70172585,No,WT5680H.A
2386142,LG,WT7010C*,,195174024812,Top Load,,None,Residential,4.5,,27.0,,2.06,1.29,220,4.3,8.4,5708,,,,,,,,,No,,,,No,,10/15/2021,10/15/2021,"United States, Canada",ES_1118034_WT7010C*_10182021122308_80102858,No,WT7010C.
2310477,LG,WT7050C*,,048231024044;048231024259,Top Load,,None,Residential,4.5,,27.0,,2.06,1.29,180,4.3,8.4,5696,,,,,,,,,No,,,,No,,04/16/2017,02/08/2018,"United States, Canada",ES_1118034_WT7050C*_02092018060252_70172585,No,WT7050C.
2341401,LG,WT7060C*,,048231028110;048231028141,Top Load,,None,Residential,4.5,,27.0,,2.06,1.29,220,4.3,8.4,5721,,,,,,,,,No,,,,No,,07/22/2019,07/18/2019,"United States, Canada",ES_1118034_WT7060C*_07182019030854_80011559,No,WT7060C.
2308537,LG,WT7100C*,,048231023986,Top Load,,Delayed Start,Residential,4.5,,27.0,,2.06,1.29,220,4.3,8.4,5721,,,,,,,,,No,,,,No,,11/30/2017,12/18/2017,"United States, Canada",ES_1118034_WT7100C*_12192017024232_70163137,No,WT7100C.
2359624,LG,WT7150C*,,048231028431,Top Load,,None,Residential,5.0,,27.0,,2.06,1.29,220,4.3,8.4,6343,,,,,,,,,No,,,,No,,01/14/2021,01/14/2021,"United States, Canada",ES_1118034_WT7150C*_05082020052748_80042678,No,WT7150C.
2393063,LG,WT7155C*,,195174026700,Top Load,,None,Residential,4.8,,27.0,,2.06,1.29,200,4.3,8.4,6038,,,,,,,,,No,,,,No,,02/16/2022,02/15/2022,"United States, Canada",ES_1118034_WT7155C*_02162022044730_80116696,No,WT7155C.
2310492,LG,WT7200C*,,048231020275;048231024549;772454068416,Top Load,,None,Residential,5.0,,27.0,,2.38,1.29,130,3.7,8.4,5479,,,,,,,,,No,,,,No,,12/05/2016,02/09/2018,"United States, Canada",ES_1118034_WT7200C*_02092018060252_70172585,No,WT7200C.
2320407,LG,WT7250C*,,048231026499,Top Load,,None,Residential,5.0,,27.0,,2.76,1.29,110,3.2,8.4,4720,,,,,,,,,No,,,,No,,05/18/2018,05/16/2018,"United States, Canada",ES_1118034_WT7250C*_05242018111228_70184257,No,WT7250C.
2320408,LG,WT7300C*,,048231026000;048231026017,Top Load,,None,Residential,5.0,,27.0,,2.76,1.29,110,3.2,8.4,4720,,,,,,,,,No,,,,No,,05/18/2018,05/16/2018,"United States, Canada",ES_1118034_WT7300C*_05242018111228_70184257,No,WT7300C.
2362376,LG,WT7305C*,,048231029292;048231029308,Top Load,,None,Residential,4.8,,27.0,,2.06,1.29,220,4.3,8.4,6051,,,,,,,,,No,,,,No,,07/03/2020,07/03/2020,"United States, Canada",ES_1118034_WT7305C*_07032020035929_5550000_,No,WT7305C.
2390418,LG,WT7400C*,,195174026625;195174026663,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,130,3.2,8.4,5183,,,,,,,,,No,,,,No,,01/13/2022,01/11/2022,"United States, Canada",ES_1118034_WT7400C*_01122022104654_80113074,No,WT7400C.
2392634,LG,WT7405C*,,195174026632;195174026670,Top Load,,None,Residential,5.3,,27.0,,2.06,1.29,220,4.3,8.4,6672,,,,,,,,,No,,,,No,,02/01/2022,02/01/2022,"United States, Canada",ES_1118034_WT7405C*_02022022010523_80114768,No,WT7405C.
2396858,LG,WT7480C*,,195174037898,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,130,3.2,8.4,5183,,,,,,,,,No,,,,No,,05/20/2022,05/13/2022,"United States, Canada",ES_1118034_WT7480C*_05252022112444_5550001,No,WT7480C.
2396859,LG,WT7485C*,,195174037904,Top Load,,None,Residential,5.3,,27.0,,2.06,1.29,220,4.3,8.4,6672,,,,,,,,,No,,,,No,,05/20/2022,05/13/2022,"United States, Canada",ES_1118034_WT7485C*_05252022112444_5550001,No,WT7485C.
2310491,LG,WT7500C*,,048231016636;048231020671,Top Load,,"Steam Cycle,Sanitize Option",Residential,5.2,,27.0,,2.38,1.29,130,3.7,8.4,5621,,,,,,,,,No,,,,No,,02/15/2016,02/09/2018,"United States, Canada",ES_1118034_WT7500C*_02092018060252_70172585,No,WT7500C.
2310490,LG,WT7600H*A,,048231016612;048231016629;048231017060;048231025881;772454067082;772454067099;772454067778,Top Load,,"Steam Cycle,Sanitize Option",Residential,5.2,,27.0,,2.38,1.29,130,3.7,8.4,5643,,,,,,,,,No,,,,No,,02/15/2016,02/09/2018,"United States, Canada",ES_1118034_WT7600H*A_02092018060252_70172585,No,WT7600H.A
2310502,LG,WT7700H*A,,048231014908;048231014915;048231018814;772454063688,Top Load,,"Steam Cycle,Sanitize Option",Residential,5.7,,29.0,,2.76,1.29,150,3.2,8.4,5381,,,,,,,,,No,,,,No,,04/21/2015,02/09/2018,"United States, Canada",ES_1118034_WT7700H*A_02092018060252_70172585,No,WT7700H.A
2335213,LG,WT7710H*A,,048231015202;048231015219,Top Load,,"Steam Cycle,Sanitize Option",Residential,5.7,,29.0,,2.76,1.29,150,3.2,8.4,5381,,,,,,,,,No,,,,No,,03/26/2019,03/26/2019,"United States, Canada",ES_1118034_WT7710H*A_03262019040713_70220657,No,WT7710H.A
2334257,LG,WT7800C*,,048231025553;048231026840,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,130,3.2,8.4,5145,,,,,,,,,No,,,,No,,03/06/2019,03/06/2019,"United States, Canada",ES_1118034_WT7800C*_03062019031942_70216927,No,WT7800C.
2384329,LG,WT7800H*A,,772454074592,Top Load,,None,Residential,5.0,,27.0,,2.38,1.29,150,3.7,8.4,5458,,,,,,,,,No,,,,No,,09/15/2021,09/10/2021,"United States, Canada",ES_1118034_WT7800H*A_09162021110927_80099130,No,WT7800H.A
2344732,LG,WT7850H*A,,772454072741;772454072758,Top Load,,None,Residential,5.2,,27.0,,2.38,1.29,130,3.7,8.4,5665,,,,,,,,,No,,,,No,,08/14/2019,08/14/2019,"United States, Canada",ES_1118034_WT7850H*A_08162019030245_80014170,No,WT7850H.A
2354284,LG,WT7880H*A,,048231028516,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,150,3.2,8.4,5145,,,,,,,,,No,,,,No,,01/29/2020,01/29/2020,"United States, Canada",ES_1118034_WT7880H*A_01312020010131_80031163,No,WT7880H.A
2321577,LG,WT7900H*A,,048231015462;048231015479;048231025522;195174026618,Top Load,,None,Residential,5.5,,27.0,,2.76,1.29,150,3.2,8.4,5145,,,,,,,,,No,,,,No,,07/03/2018,06/25/2018,"United States, Canada",ES_1118034_WT7900H*A_06262018105726_70189258,No,WT7900H.A
2406498,Magic Chef,MCSFLW24W1,,665679020010,Front Load,,Other,Residential,2.2,33.25,23.5,23.5,2.07,1.84,110,4.2,4.7,2713,,,,,,,,,No,,,,Yes,ES_390697_MCSDRY24W1_122120221652101_3654342,01/23/2023,01/05/2023,"United States, Canada",ES_390697_MCSFLW24W1_122120221622646_9405323,No,MCSFLW24W1
