Brand_Name_s__s,Individual_Model_Number_m,Screen_Size__diagonal_in_inches__d,Power_Consumed_in_On_Mode__watts__d,Power_Consumed_in_Standby_Passive_Mode__watts__d,Power_Consumed_in_Standby_Active__Low_Mode__watts___if_applicable__d,Power_Consumed_in_Off_Mode__watts___if_applicable__d,Annual_Energy_Consumption__kWh_per_year__d,Link_to_FTC_EnergyGuide_Label_s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,individual_model_number_modified
LG,OLED48C3AUA,47.5,80.0,0.3,0.4,,149.0,http://www.lg.com/global/support/ftclabel,No,OLED48C3AUA
LG,OLED48C3PUA,47.5,80.0,0.3,0.4,,149.0,http://www.lg.com/global/support/ftclabel,No,OLED48C3PUA
LG,55QNED80ARA,54.6,77.3,0.3,0.4,,144.0,http://www.lg.com/global/support/ftclabel,No,55QNED80ARA
LG,OLED77C3AUA,76.7,140.0,0.3,0.4,,258.0,http://www.lg.com/global/support/ftclabel,No,OLED77C3AUA
LG,OLED77C3PUA,76.7,140.0,0.3,0.4,,258.0,http://www.lg.com/global/support/ftclabel,No,OLED77C3PUA
LG,OLED65C3AUA,64.5,115.0,0.3,0.4,,213.0,http://www.lg.com/global/support/ftclabel,No,OLED65C3AUA
LG,OLED65C3PUA,64.5,115.0,0.3,0.4,,213.0,http://www.lg.com/global/support/ftclabel,No,OLED65C3PUA
LG,65UR9000PUA,64.5,86.5,0.3,0.4,,161.0,http://www.lg.com/global/support/ftclabel,No,65UR9000PUA
LG,43UR8000AUB,42.5,56.0,0.3,0.4,,105.0,http://www.lg.com/global/support/ftclabel,No,43UR8000AUB
LG,OLED77G3PUA,76.7,170.0,0.3,0.4,,313.0,http://www.lg.com/global/support/ftclabel,No,OLED77G3PUA
LG,OLED55C3AUA,54.6,95.0,0.3,0.4,,176.0,http://www.lg.com/global/support/ftclabel,No,OLED55C3AUA
LG,75UR8000AUB,74.5,122.0,0.3,0.4,,225.0,http://www.lg.com/global/support/ftclabel,No,75UR8000AUB
LG,70UR8000AUB,69.5,105.0,0.3,0.4,,194.0,http://www.lg.com/global/support/ftclabel,No,70UR8000AUB
LG,65UR8000AUB,64.5,95.0,0.3,0.4,,176.0,http://www.lg.com/global/support/ftclabel,No,65UR8000AUB
LG,75UR9000PUA,74.5,110.0,0.3,0.4,,204.0,http://www.lg.com/global/support/ftclabel,No,75UR9000PUA
LG,OLED77Z3PUA,76.7,265.0,0.3,0.4,,486.0,http://www.lg.com/global/support/ftclabel,No,OLED77Z3PUA
LG,75QNED80URA,74.5,110.0,0.3,0.4,,203.0,http://www.lg.com/global/support/ftclabel,No,75QNED80URA
LG,75QNED80ARA,74.5,110.0,0.3,0.4,,203.0,http://www.lg.com/global/support/ftclabel,No,75QNED80ARA
LG,OLED48A3AUA,47.5,85.0,0.3,0.4,,158.0,http://www.lg.com/global/support/ftclabel,No,OLED48A3AUA
LG,OLED48A3PUA,47.5,85.0,0.3,0.4,,158.0,http://www.lg.com/global/support/ftclabel,No,OLED48A3PUA
LG,OLED42C3AUA,41.6,60.0,0.3,0.4,,112.0,http://www.lg.com/global/support/ftclabel,No,OLED42C3AUA
LG,OLED42C3PUA,41.6,60.0,0.3,0.4,,112.0,http://www.lg.com/global/support/ftclabel,No,OLED42C3PUA
LG,75UR9000PUB,74.5,110.0,0.3,0.4,,204.0,http://www.lg.com/global/support/ftclabel,No,75UR9000PUB
LG,50UR9000PUB,49.5,60.2,0.3,0.4,,113.0,http://www.lg.com/global/support/ftclabel,No,50UR9000PUB
LG,50QNED80URA,49.5,68.0,0.3,0.4,,127.0,http://www.lg.com/global/support/ftclabel,No,50QNED80URA
LG,50QNED80ARA,49.5,68.0,0.3,0.4,,127.0,http://www.lg.com/global/support/ftclabel,No,50QNED80ARA
LG,32LN560HBUA,31.5,30.0,0.3,,,57.0,http://www.lg.com/global/support/ftclabel,No,32LN560HBUA
LG,32LN570HBUA,31.5,30.0,0.3,,,57.0,http://www.lg.com/global/support/ftclabel,No,32LN570HBUA
LG,28LN662VBUC,27.5,25.8,0.3,,,49.0,http://www.lg.com/global/support/ftclabel,No,28LN662VBUC
LG,22LN662V0UC,21.5,22.5,0.3,,,43.0,http://www.lg.com/global/support/ftclabel,No,22LN662V0UC
LG,24LN662VBUC,23.6,21.4,0.3,,,41.0,http://www.lg.com/global/support/ftclabel,No,24LN662VBUC
LG,42LX3QPUA,41.6,71.0,0.3,0.4,,132.0,http://www.lg.com/global/support/ftclabel,No,42LX3QPUA
LG,55LX1QPUA,54.6,95.0,0.3,0.4,,176.0,http://www.lg.com/global/support/ftclabel,No,55LX1QPUA
LG,48LX1QPUA,47.5,80.0,0.3,0.4,,149.0,http://www.lg.com/global/support/ftclabel,No,48LX1QPUA
LG,OLED97G2PUA,96.5,230.0,0.3,0.4,,423.0,http://www.lg.com/global/support/ftclabel,No,OLED97G2PUA
LG,65UP7050ZUA,64.5,155.0,0.3,0.4,,286.0,http://www.lg.com/global/support/ftclabel,No,65UP7050ZUA
LG,55UP7050ZUA,54.6,130.0,0.3,0.4,,240.0,http://www.lg.com/global/support/ftclabel,No,55UP7050ZUA
LG,75UP7300PUC,74.5,110.0,0.3,0.4,,204.0,http://www.lg.com/global/support/ftclabel,No,75UP7300PUC
LG,77AN960H0UD,76.7,115.0,0.3,,,212.0,http://www.lg.com/global/support/ftclabel,No,77AN960H0UD
LG,55UQ7570PUA,54.6,119.0,0.3,0.4,,220.0,http://www.lg.com/global/support/ftclabel,No,55UQ7570PUA
LG,50UQ7570PUA,49.5,115.0,0.3,0.4,,213.0,http://www.lg.com/global/support/ftclabel,No,50UQ7570PUA
LG,27LQ600S-**,27.0,26.6,0.4,0.4,,52.0,http://www.lg.com/global/support/ftclabel,No,27LQ600S-..
LG,55UT343H0UA,54.6,66.5,0.2,,,123.0,http://www.lg.com/global/support/ftclabel,No,55UT343H0UA
LG,50UT343H0UA,49.5,55.0,0.2,,,102.0,http://www.lg.com/global/support/ftclabel,No,50UT343H0UA
LG,OLED65C2SW,64.5,115.0,0.3,0.4,,213.0,http://www.lg.com/global/support/ftclabel,No,OLED65C2SW
LG,86UQ7590PUD,85.6,167.0,0.3,0.4,,308.0,http://www.lg.com/global/support/ftclabel,No,86UQ7590PUD
LG,86QNED85AQA,85.6,170.0,0.3,0.4,,312.0,http://www.lg.com/global/support/ftclabel,No,86QNED85AQA
LG,86QNED85UQA,85.6,170.0,0.3,0.4,,312.0,http://www.lg.com/global/support/ftclabel,No,86QNED85UQA
LG,24LQ510S-**,24.0,24.2,0.4,0.5,,48.0,http://www.lg.com/global/support/ftclabel,No,24LQ510S-..
LG,65QNED85AQA,64.5,108.0,0.3,0.4,,200.0,http://www.lg.com/global/support/ftclabel,No,65QNED85AQA
LG,65QNED85UQA,64.5,108.0,0.3,0.4,,200.0,http://www.lg.com/global/support/ftclabel,No,65QNED85UQA
LG,32LT660VBUA,31.5,26.1,0.3,,,50.0,http://www.lg.com/global/support/ftclabel,No,32LT660VBUA
LG,28LT660VBUD,27.5,31.2,0.4,,,60.0,http://www.lg.com/global/support/ftclabel,No,28LT660VBUD
LG,55UQ7570PUJ,54.6,119.0,0.3,0.4,,220.0,http://www.lg.com/global/support/ftclabel,No,55UQ7570PUJ
LG,50UQ7570PUJ,49.5,115.0,0.3,0.4,,213.0,http://www.lg.com/global/support/ftclabel,No,50UQ7570PUJ
LG,55UR760H9UA,54.6,80.0,0.2,,,147.0,http://www.lg.com/global/support/ftclabel,No,55UR760H9UA
LG,50UR567H9UA,49.5,63.0,0.3,,,117.0,http://www.lg.com/global/support/ftclabel,No,50UR567H9UA
LG,OLED83G2AUA,82.5,185.0,0.3,0.4,,340.0,http://www.lg.com/global/support/ftclabel,No,OLED83G2AUA
LG,OLED83G2PUA,82.5,185.0,0.3,0.4,,340.0,http://www.lg.com/global/support/ftclabel,No,OLED83G2PUA
LG,75QNED85UQA,74.5,136.0,0.3,0.4,,250.0,http://www.lg.com/global/support/ftclabel,No,75QNED85UQA
LG,OLED88Z2PUA,87.6,308.0,0.3,0.4,,565.0,http://www.lg.com/global/support/ftclabel,No,OLED88Z2PUA
LG,OLED77Z2PUA,76.7,260.0,0.3,0.4,,477.0,http://www.lg.com/global/support/ftclabel,No,OLED77Z2PUA
LG,55UT560H9UA,54.6,67.5,0.2,,,125.0,http://www.lg.com/global/support/ftclabel,No,55UT560H9UA
LG,43UT560H9UA,42.5,51.6,0.2,,,96.0,http://www.lg.com/global/support/ftclabel,No,43UT560H9UA
LG,65QNED99UQA,64.5,197.0,0.3,0.4,,361.0,http://www.lg.com/global/support/ftclabel,No,65QNED99UQA
LG,86QNED80AQA,85.6,156.0,0.3,0.4,,287.0,http://www.lg.com/global/support/ftclabel,No,86QNED80AQA
LG,86QNED80UQA,85.6,156.0,0.3,0.4,,287.0,http://www.lg.com/global/support/ftclabel,No,86QNED80UQA
LG,OLED77G2AUA,76.7,160.0,0.3,0.4,,295.0,http://www.lg.com/global/support/ftclabel,No,OLED77G2AUA
LG,OLED77A2PUA,76.7,130.0,0.3,0.4,,240.0,http://www.lg.com/global/support/ftclabel,No,OLED77A2PUA
LG,OLED77A2AUA,76.7,130.0,0.3,0.4,,240.0,http://www.lg.com/global/support/ftclabel,No,OLED77A2AUA
LG,75NANO80AQA,74.5,115.0,0.3,0.4,,213.0,http://www.lg.com/global/support/ftclabel,No,75NANO80AQA
LG,65NANO75UQA,64.5,94.0,0.3,0.4,,174.0,http://www.lg.com/global/support/ftclabel,No,65NANO75UQA
LG,50QNED80AQA,49.5,68.9,0.3,0.4,,129.0,http://www.lg.com/global/support/ftclabel,No,50QNED80AQA
LG,50QNED80UQA,49.5,68.9,0.3,0.4,,129.0,http://www.lg.com/global/support/ftclabel,No,50QNED80UQA
LG,70NANO75UQA,69.5,103.0,0.3,0.4,,191.0,http://www.lg.com/global/support/ftclabel,No,70NANO75UQA
LG,65QNED80AQA,64.5,102.0,0.3,0.4,,189.0,http://www.lg.com/global/support/ftclabel,No,65QNED80AQA
LG,65QNED80UQA,64.5,102.0,0.3,0.4,,189.0,http://www.lg.com/global/support/ftclabel,No,65QNED80UQA
LG,55NANO75UQA,54.6,79.0,0.3,0.4,,147.0,http://www.lg.com/global/support/ftclabel,No,55NANO75UQA
LG,86QNED90UQA,85.6,155.0,0.3,0.4,,286.0,http://www.lg.com/global/support/ftclabel,No,86QNED90UQA
LG,43UQ9000PUD,42.5,54.8,0.3,0.4,,103.0,http://www.lg.com/global/support/ftclabel,No,43UQ9000PUD
LG,75UQ9000PUD,74.5,110.0,0.3,0.4,,204.0,http://www.lg.com/global/support/ftclabel,No,75UQ9000PUD
LG,75UQ7070ZUM,74.5,110.0,0.3,0.4,,204.0,http://www.lg.com/global/support/ftclabel,No,75UQ7070ZUM
LG,75UQ7070ZUD,74.5,110.0,0.3,0.4,,204.0,http://www.lg.com/global/support/ftclabel,No,75UQ7070ZUD
LG,75UQ7590PUK,74.5,110.0,0.3,0.4,,204.0,http://www.lg.com/global/support/ftclabel,No,75UQ7590PUK
LG,70UQ7070ZUM,69.5,97.6,0.3,0.4,,181.0,http://www.lg.com/global/support/ftclabel,No,70UQ7070ZUM
LG,70UQ7070ZUD,69.5,97.6,0.3,0.4,,181.0,http://www.lg.com/global/support/ftclabel,No,70UQ7070ZUD
LG,70UQ7590PUK,69.5,97.6,0.3,0.4,,181.0,http://www.lg.com/global/support/ftclabel,No,70UQ7590PUK
LG,70UQ7590PUB,69.5,97.6,0.3,0.4,,181.0,http://www.lg.com/global/support/ftclabel,No,70UQ7590PUB
LG,65UQ7070ZUE,64.5,86.0,0.3,0.4,,160.0,http://www.lg.com/global/support/ftclabel,No,65UQ7070ZUE
LG,65UQ8000AUK,64.5,86.0,0.3,0.4,,160.0,http://www.lg.com/global/support/ftclabel,No,65UQ8000AUK
LG,65UQ8000AUB,64.5,86.0,0.3,0.4,,160.0,http://www.lg.com/global/support/ftclabel,No,65UQ8000AUB
LG,50UQ9000PUD,49.5,63.8,0.3,0.4,,119.0,http://www.lg.com/global/support/ftclabel,No,50UQ9000PUD
LG,50UQ7070ZUN,49.5,58.0,0.3,0.4,,109.0,http://www.lg.com/global/support/ftclabel,No,50UQ7070ZUN
LG,50UQ7070ZUE,49.5,58.0,0.3,0.4,,109.0,http://www.lg.com/global/support/ftclabel,No,50UQ7070ZUE
LG,50UQ7590PUK,49.5,58.0,0.3,0.4,,109.0,http://www.lg.com/global/support/ftclabel,No,50UQ7590PUK
