ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2321517,Whirlpool,WHAT081-1AW,,,,,,,8000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,566,No,,,,,,,,,06/22/2018,06/22/2018,United States,ES_1055302_WHAT081-1AW_06222018054403_6243217,No,WHAT081-1AW
2321515,Whirlpool,WHAT101-1AW,,,,,,,10000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,708,No,,,,,,,,,06/22/2018,06/22/2018,United States,ES_1055302_WHAT101-1AW_06222018054421_6261334,No,WHAT101-1AW
2333434,Whirlpool,WHAT102-2AW,,,,,,,10000,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",No,No,,,10.6,10,708,No,,,,,,,,,02/10/2019,02/10/2019,United States,ES_1055302_WHAT102-2AW_02132019062426_9066894,No,WHAT102-2AW
2393070,Whirlpool,WHAT102-2BW,,840148715332,,,,,10100,,Through the Wall,,,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",,No,,,10.6,10,715,No,,,,,,,,,02/15/2022,02/17/2022,"United States, Canada",ES_1055302_WHAT102-2BW_021620222317117_4449895,No,WHAT102-2BW
2321514,Whirlpool,WHAT121-1AW,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,No,,,10.5,11,857,No,,,,,,,,,06/22/2018,06/22/2018,United States,ES_1055302_WHAT121-1AW_06222018054438_6278236,No,WHAT121-1AW
2321516,Whirlpool,WHAT122-2AW,,,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,No,,,10.5,11,857,No,,,,,,,,,06/22/2018,06/22/2018,United States,ES_1055302_WHAT122-2AW_06222018054454_6294924,No,WHAT122-2AW
2368986,Whirlpool,WHAW061CW,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,No,,,12.1,10,372,No,,,,,,,,,10/28/2020,10/29/2020,"United States, Canada",ES_1055302_WHAW061CW_10292020095421_5261342,No,WHAW061CW
2286526,Whirlpool,WHAW081BW,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,500,No,,,,,,,,,12/18/2016,12/16/2016,United States,ES_1055302_WHAW081BW_12192016123148_0708086,No,WHAW081BW
2368988,Whirlpool,WHAW081CW,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,500,No,,,,,,,,,10/28/2020,10/29/2020,"United States, Canada",ES_1055302_WHAW081CW_10292020100117_5677207,No,WHAW081CW
2286532,Whirlpool,WHAW101BW,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,625,No,,,,,,,,,12/18/2016,12/16/2016,United States,ES_1055302_WHAW101BW_12192016123159_0719219,No,WHAW101BW
2388176,Whirlpool,WHAW101CW,,840148715295,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,625,No,,,,,,,,,12/01/2021,11/17/2021,"United States, Canada",ES_1055302_WHAW101CW_111720210204558_8646338,No,WHAW101CW
2286531,Whirlpool,WHAW121BW,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,750,No,,,,,,,,,12/18/2016,12/16/2016,United States,ES_1055302_WHAW121BW_12192016123217_0737613,No,WHAW121BW
2388177,Whirlpool,WHAW121CW,,840148715301,,,,,12100,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,756,No,,,,,,,,,12/01/2021,11/17/2021,"United States, Canada",ES_1055302_WHAW121CW_111720210204122_1980888,No,WHAW121CW
2286530,Whirlpool,WHAW151BW,,,,,,,15000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,No,,,11.8,10,953,No,,,,,,,,,12/18/2016,12/16/2016,United States,ES_1055302_WHAW151BW_12192016123230_0750199,No,WHAW151BW
2388180,Whirlpool,WHAW151CW,,840148715318,,,,,15000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,No,,,11.8,10,953,No,,,,,,,,,12/01/2021,11/17/2021,"United States, Canada",ES_1055302_WHAW151CW_111720210204719_4307290,No,WHAW151CW
2286529,Whirlpool,WHAW182BW,,,,,,,18000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,No,,,11.8,10,1144,No,,,,,,,,,12/18/2016,12/16/2016,United States,ES_1055302_WHAW182BW_12192016123242_0762243,No,WHAW182BW
2388182,Whirlpool,WHAW182CW,,840148715325,,,,,18000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,No,,,11.8,10,1144,No,,,,,,,,,12/01/2021,11/17/2021,"United States, Canada",ES_1055302_WHAW182CW_111720210206669_9370241,No,WHAW182CW
2286527,Whirlpool,WHAW242BW,,,,,,,24000,,Window,,,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,No,,,10.3,10,1748,No,,,,,,,,,12/18/2016,12/16/2016,United States,ES_1055302_WHAW242BW_12192016123304_0784869,No,WHAW242BW
2388184,Whirlpool,WHAW242CW,,840148715349,,,,,24700,,Window,,,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,No,,,10.3,10,1798,No,,,,,,,,,12/01/2021,11/17/2021,"United States, Canada",ES_1055302_WHAW242CW_111720210206311_2835481,No,WHAW242CW
2370279,WINIA,WWC8-C06RC40-X,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,No,,,12.1,10,372,No,,,,,,,,,11/25/2020,11/27/2020,United States,ES_1108205_WWC8-C06RC40-X_11272020021391_2051955,No,WWC8-C06RC40-X
2370280,WINIA,WWC8-C08RC40-X,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12.0,10,500,No,,,,,,,,,11/25/2020,11/27/2020,United States,ES_1108205_WWC8-C08RC40-X_112720200213828_3819419,No,WWC8-C08RC40-X
