Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Cycle_Settings_for_Energy_Test_Cycle___Program_Cycle_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Temperature_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Dryness_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Other_Optional_Cycle_Settings_in_the_As_Shipped_Position__If_Applicable__s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CAL2AG11,WED8500D**,8.8,240.0,,Yes,3.93,EcoBoost/Normal,High,Mid-point,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CAL2AG12,WED8500D**,8.8,240.0,,Yes,3.93,EcoBoost/Normal,High,Mid-point,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG3,WED7120H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CCL5AG5,6813*41*,8.8,240.0,,Yes,3.93,Energy Saver / Normal,High,Normal,Energy Saver,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG3,WED8120L**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG10,WED8620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CCL5AG6,6813*41*,8.8,240.0,,Yes,3.93,Energy Saver / Normal,High,Normal,Energy Saver,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CCL5AG6,6913*41*,8.8,240.0,,Yes,3.93,Energy Saver / Normal,High,Normal,Energy Saver,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG10,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG11,MED5630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
