Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
EdgeStar,(13A.) Compact all-refrigerators - automatic defrost,BR7001SS,BR7001SS,6.6,320.0,6.6,No,No,https://res.cloudinary.com/ldi/raw/upload/v1596141630/EdgeStar/BR7001XX_Energy_Guide.pdf
Avallon,(13A.) Compact all-refrigerators - automatic defrost,AFR151SS,AFR151SS,3.4,280.0,3.4,No,No,https://res.cloudinary.com/ldi/raw/upload/v1568639878/Avallon/AFR151SS_OD_Energy_Guide.pdf
Avallon,(13A.) Compact all-refrigerators - automatic defrost,ABR241**,ABR241**,5.7,310.0,5.7,No,No,https://res.cloudinary.com/ldi/raw/upload/v1596141437/Avallon/ABR241SG_Energy_Guide.pdf
Avallon,(13A.) Compact all-refrigerators - automatic defrost,ABR151**,ABR151**,3.4,289.0,3.4,No,No,https://res.cloudinary.com/ldi/raw/upload/v1568639361/Avallon/ABR151SG_Energy_Guide.pdf
EdgeStar,(13A.) Compact all-refrigerators - automatic defrost,CBR1501SSOD,CBR1501SSOD,5.5,308.0,5.5,No,No,https://res.cloudinary.com/ldi/raw/upload/v1586365692/EdgeStar/CBR1501SLD_CBR1501SSOD_Energy_Guide.pdf
EdgeStar,(13A.) Compact all-refrigerators - automatic defrost,KC1000SS,KC1000SS,3.2,287.0,3.2,No,No,https://res.cloudinary.com/ldi/raw/upload/v1565105226/EdgeStar/BR1000SS_KC1000SS_Energy_Guide.pdf
EdgeStar,(13A.) Compact all-refrigerators - automatic defrost,BR1000SS,BR1000SS,3.2,287.0,3.2,No,No,https://res.cloudinary.com/ldi/raw/upload/v1565105226/EdgeStar/BR1000SS_KC1000SS_Energy_Guide.pdf
EdgeStar,(13A.) Compact all-refrigerators - automatic defrost,KC2000SSTWINA,KC2000SSTWINA,4.9,270.0,4.9,No,No,https://res.cloudinary.com/ldi/raw/upload/v1567600906/EdgeStar/KC2000A_KC2000SSA_KC2000TWINA_KC2000SSTWINA_Energy_Guide.pdf
EdgeStar,(13A.) Compact all-refrigerators - automatic defrost,KC2000A,KC2000A,4.9,270.0,4.9,No,No,https://res.cloudinary.com/ldi/raw/upload/v1567600906/EdgeStar/KC2000A_KC2000SSA_KC2000TWINA_KC2000SSTWINA_Energy_Guide.pdf
EdgeStar,(12.) Compact refrigerator-freezers - partial automatic defrost,CRF321SS,CRF321SS,3.8,270.0,3.1,No,No,https://res.cloudinary.com/ldi/raw/upload/v1562029621/EdgeStar/CRF321SS_Energy_Guide.pdf
EdgeStar,(16.) Compact upright freezers with manual defrost,CMF151L-1,CMF151L-1,1.9,215.0,1.1,No,No,https://res.cloudinary.com/ldi/raw/upload/v1562029605/EdgeStar/CMF151L-1_CRF150SS-1_Energy_Guide.pdf
MARVEL,(13A.) Compact all-refrigerators - automatic defrost,M*RE*24**81A,MPRE424-SS81A,5.4,293.0,5.4,No,No,By annual report date
MARVEL,(13A.) Compact all-refrigerators - automatic defrost,M*RE*24**81A,MPRE424-SG81A,5.4,293.0,5.4,No,No,By annual report date
MARVEL,(13A.) Compact all-refrigerators - automatic defrost,M*RE*24**81A,MLRE224-SG81A,5.4,293.0,5.4,No,No,By annual report date
MARVEL,(13A.) Compact all-refrigerators - automatic defrost,M*RE*24**81A,MLRE224-SS81A,5.4,293.0,5.4,No,No,By annual report date
Northland,(13A.) Compact all-refrigerators - automatic defrost,NH*****-**01A,NHWC124-SG01A,5.4,277.0,5.4,No,No,By annual report date
Northland,(13A.) Compact all-refrigerators - automatic defrost,NH*****-**01A,NHWC115-SG01A,2.7,220.0,2.7,No,No,By annual report date
Northland,(13A.) Compact all-refrigerators - automatic defrost,NH*****-**01A,NHBV115-SG01A,2.7,220.0,2.7,No,No,By annual report date
Twin Eagle,(13A.) Compact all-refrigerators - automatic defrost,**KR*24***31A,TOKR224FSS41A,5.7,311.0,5.7,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,**KR*24***31A,MOKR224-SS31A,5.7,311.0,5.7,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,**KR*24***31A,MLKR224-IS01A,5.7,311.0,5.7,No,No,By annual report date
Lynx,(13A.) Compact all-refrigerators - automatic defrost,**KR*24***31A,LOKR224-SS51A,5.7,311.0,5.7,No,No,By annual report date
Lynx,(13A.) Compact all-refrigerators - automatic defrost,**KR*24***31A,LOKR224-SS41A,5.7,311.0,5.7,No,No,By annual report date
Fire Magic,(13A.) Compact all-refrigerators - automatic defrost,**KR*24***31A,GOKR224-DSS41A,5.7,311.0,5.7,No,No,By annual report date
DCS,(13A.) Compact all-refrigerators - automatic defrost,**KR*24***31A,DOKR224-FSS51A,5.7,311.0,5.7,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBD424-SS31A,MPBD424-IS31A,4.9,154.0,4.9,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBD424-SG31A,MPBD424-IG31A,4.9,170.0,4.9,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBD424-SS31A,MLBD224-SS01A,4.9,154.0,4.9,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBD424-SG31A,MLBD224-IG01A,4.9,170.0,4.9,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPWD424-SG31A,MPWD424-SG31A,4.9,129.0,4.9,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPWD424-IS31A,MPWD424-IS31A,4.9,129.0,4.9,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPWD424-IG31A,MPWD424-IG31A,4.9,129.0,4.9,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWD224-SS01A,MLWD224-SS01A,4.9,129.0,4.9,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWD224-IG01A,MLWD224-IG01A,4.9,129.0,4.9,No,No,By annual report date
Viking,(13A.) Compact all-refrigerators - automatic defrost,VBUI5151GSS,VBUI5151GSS,2.8,209.0,2.8,No,No,By annual report date
Lynx,(13A.) Compact all-refrigerators - automatic defrost,LN15WINE*,LN15WINE*,2.8,209.0,2.8,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWC*15-IG*1A,MLWC*15-IG*1A,2.8,209.0,2.8,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWC*15-SG*1A,MLWC*15-SG*1A,2.8,209.0,2.8,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*15-SG01A,MLRE*15-SG01A,2.8,209.0,2.8,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLBV*15-SG*1A,MLBV*15-SG*1A,2.8,209.0,2.8,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLDR*24-SS71A,MLDR*24-SS71A,5.0,217.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLDR*24-IS71A,MLDR*24-IS71A,5.0,217.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-SS21A,MLRE*24-SS21A,5.0,219.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-IS11A,MLRE*24-IS11A,5.0,219.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-SS11A,MLRE*24-SS11A,5.0,219.0,5.0,No,No,By annual report date
Fire Magic,(13A.) Compact all-refrigerators - automatic defrost,3589-DR,3589-DR,5.0,219.0,5.0,No,No,By annual report date
Fire Magic,(13A.) Compact all-refrigerators - automatic defrost,3589-DL,3589-DL,5.0,219.0,5.0,No,No,By annual report date
DCS,(13A.) Compact all-refrigerators - automatic defrost,RF24*E4,RF24*E4,5.0,219.0,5.0,No,No,By annual report date
Vinking,(13A.) Compact all-refrigerators - automatic defrost,VRUO5241DSS,VRUO5241DSS,5.0,219.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWC*24-SS01A,MLWC*24-SS01A,5.0,219.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLBV*24-SS01A,MLBV*24-SS01A,5.0,219.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWC*24-IS01A,MLWC*24-IS01A,5.0,219.0,5.0,No,No,By annual report date
Viking,(13A.) Compact all-refrigerators - automatic defrost,VRUI5241GSS,VRUI5241GSS,5.0,219.0,5.0,No,No,By annual report date
Viking,(13A.) Compact all-refrigerators - automatic defrost,VBUI5241GSS,VBUI5241GSS,5.0,219.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLWC*24-IG01A,MLWC*24-IG01A,5.0,219.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-IG01A,MLRE*24-IG01A,5.0,219.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-BG01A,MLRE*24-BG01A,5.0,219.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MLRE*24-SG01A,MLRE*24-SG01A,5.0,219.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPWC415-SG31A,MPWC415-SG31A,2.6,191.0,2.6,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBV415-SG31A,MPBV415-SG31A,2.6,209.0,2.6,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBV415-IG31A,MPBV415-IG31A,2.6,209.0,2.6,No,No,By annual report date
DCS,(13A.) Compact all-refrigerators - automatic defrost,RF24DE4,RF24DE4,5.0,199.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPDR424-SS71A,MPDR424-SS71A,5.0,199.0,5.0,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPWC424-IS31A,MPWC424-IS31A,5.4,234.0,5.4,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBV424-SS31A,MPBV424-SS31A,5.4,234.0,5.4,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBV424-IS31A,MPBV424-IS31A,5.4,234.0,5.4,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPWC424-SG31A,MPWC424-SG31A,5.2,249.0,5.2,No,No,By annual report date
Marvel,(13A.) Compact all-refrigerators - automatic defrost,MPBV424-SG31A,MPBV424-SG31A,5.4,249.0,5.4,No,No,By annual report date
Magic chef,(16.) Compact upright freezers with manual defrost,MCUF3STE,321755187,5.3,244.0,3.0,No,No,By annual report date
Magic chef,(16.) Compact upright freezers with manual defrost,MCUF3BE,321755151,5.3,244.0,3.0,No,No,By annual report date
Magic chef,(16.) Compact upright freezers with manual defrost,MCUF3WE,321755150,5.3,244.0,3.0,No,No,By annual report date
Magic chef,(11A.) Compact all-refrigerators - manual defrost,HMAR265SE,318796657,2.6,215.0,2.6,No,No,By annual report date
Magic chef,(11A.) Compact all-refrigerators - manual defrost,HMBR265BE1,203532988,2.6,215.0,2.6,No,No,By annual report date
Magic chef,(11A.) Compact all-refrigerators - manual defrost,HMBR265WE1,203405145,2.6,215.0,2.6,No,No,By annual report date
Magic chef,(18.) Compact chest freezers,HMCF5B4,311895691,8.8,218.0,5.0,No,No,By annual report date
Magic chef,(18.) Compact chest freezers,HMCF5W4,311895690,8.8,218.0,5.0,No,No,By annual report date
Magic chef,(12.) Compact refrigerator-freezers - partial automatic defrost,HMCR320WE,305971707,3.9,322.0,3.2,No,No,By annual report date
Magic chef,(12.) Compact refrigerator-freezers - partial automatic defrost,HVDR430ST,300182722,5.3,329.0,4.3,No,No,By annual report date
Magic chef,(11A.) Compact all-refrigerators - manual defrost,HMR440WE,305026421,4.4,228.0,4.4,No,No,By annual report date
Magic chef,(11A.) Compact all-refrigerators - manual defrost,MCR170WE,310499379,1.7,208.0,1.7,No,No,By annual report date
Magic chef,(13A.) Compact all-refrigerators - automatic defrost,MCAR170STE,306192666,1.7,245.0,1.7,No,No,By annual report date
Magic chef,(13A.) Compact all-refrigerators - automatic defrost,MCAR170BE,305216326,1.7,245.0,1.7,No,No,By annual report date
Magic chef,(13A.) Compact all-refrigerators - automatic defrost,HMAR170WE,305026543,1.7,245.0,1.7,No,No,By annual report date
Magic Chef,(18.) Compact chest freezers,HMCF35W5,313922431,6.2,191.0,3.5,No,No,By annual report date
Magic Chef,(10.) Chest freezers and all other freezers except compact freezers,HMCF9W3,313864036,15.3,217.0,8.7,No,No,By annual report date
Magic Chef,(12.) Compact refrigerator-freezers - partial automatic defrost,HMDR310SE,205429696,3.7,320.0,3.1,No,No,By annual report date
Magic Chef,(12.) Compact refrigerator-freezers - partial automatic defrost,HMDR310WE,205429697,3.7,320.0,3.1,No,No,By annual report date
Magic Chef,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HMDR1000BE,302245062,12.2,297.0,10.1,No,No,By annual report date
Magic Chef,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HMDR1000WE,302245066,12.2,297.0,10.1,No,No,By annual report date
Galanz,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,GLR10TWEEFR,314387194,11.7,292.0,10.0,No,No,By annual report date
Galanz,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,GLR10TBEEFR,314320056,11.7,292.0,10.0,No,No,By annual report date
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,GLR40TRDER,308105315,5.0,325.0,4.0,No,No,By annual report date
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,GLR40TBKER,308105317,5.0,325.0,4.0,No,No,By annual report date
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,WHR31TS4E,313862801,3.8,320.0,3.1,No,No,By annual report date
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,GLR31TBKER,307781509,3.8,320.0,3.1,No,No,By annual report date
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,GLR76TWEER,314311874,8.6,347.0,7.6,No,No,By annual report date
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,GLR76TBEER,314311876,8.6,347.0,7.6,No,No,By annual report date
Galanz,(12.) Compact refrigerator-freezers - partial automatic defrost,GLR76TRDER,308494638,8.6,325.0,7.6,No,No,By annual report date
Galanz,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,GLR10TBKEFR,308105338,11.7,295.0,10.0,No,No,By annual report date
Galanz,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,GLR10TRDEFR,308105337,11.7,295.0,10.0,No,No,By annual report date
Galanz,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,GLR12TRDEFR,308725252,14.0,312.0,12.0,No,No,By annual report date
Galanz,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,GLR12TS5F,308964938,14.0,346.0,12.0,No,No,By annual report date
GALANZ,(12.) Compact refrigerator-freezers - partial automatic defrost,GLR31TBEER,308105308,3.8,320.0,3.1,No,No,By annual report date
Thermador,(13A.) Compact all-refrigerators - automatic defrost,PD5180TR,T24UR920DS,5.0,274.0,5.0,No,No,http://www.refappl.com/docs/30130A.pdf
Thermador,(13A.) Compact all-refrigerators - automatic defrost,PR5180TRG,T24UR920LS,5.1,274.0,5.1,No,No,http://www.refappl.com/docs/30120A.pdf
Thermador,(13A.) Compact all-refrigerators - automatic defrost,PR5180TRG,T24UR910LS,5.1,274.0,5.1,No,No,http://www.refappl.com/docs/30120A.pdf
Thermador,(13A.) Compact all-refrigerators - automatic defrost,PR5180TRG,T24UR910RS,5.1,274.0,5.1,No,No,http://www.refappl.com/docs/30120A.pdf
Thermador,(15I.) Compact refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker,PD5180TCIM,T24UC920DS,6.6,499.0,4.7,No,No,http://www.refappl.com/docs/30140B.pdf
MICROFRIDGE,(12.) Compact refrigerator-freezers - partial automatic defrost,PR2970,3.0LMF4RH*,3.6,319.0,3.0,No,No,http://www.refappl.com/docs/16100B.pdf
MICROFRIDGE,(13.) Compact refrigerator-freezers - automatic defrost with top-mounted freezer,PR4880,4.8MF4RW,5.8,346.0,4.8,No,No,http://www.refappl.com/docs/16400B.pdf
MICROFRIDGE,(13.) Compact refrigerator-freezers - automatic defrost with top-mounted freezer,PR4880,4.8LMF4R*,5.8,346.0,4.8,No,No,http://www.refappl.com/docs/16400B.pdf
MICROFRIDGE,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,PR1081,10.3RMF4R,12.1,297.0,10.3,No,No,http://www.refappl.com/docs/24200A.pdf
MICROFRIDGE,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,PR1081,10.3LMF4R,12.1,297.0,10.3,No,No,http://www.refappl.com/docs/24200A.pdf
ABSOCOLD,(13A.) Compact all-refrigerators - automatic defrost,PR1960,ARD204ABS14R/L,2.0,249.0,2.0,No,No,http://www.refappl.com/docs/17500B.pdf
ABSOCOLD,(13A.) Compact all-refrigerators - automatic defrost,PR3650,ARD369A*14R/L,3.6,262.0,3.6,No,No,http://www.refappl.com/docs/17200B.pdf
DANBY,(13A.) Compact all-refrigerators - automatic defrost,PR5181SRR,SRVBC050L,5.0,304.0,5.0,No,No,http://www.refappl.com/docs/25000.pdf
SUMMIT,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,PR1081,FF1119B,12.1,297.0,10.3,No,No,http://www.refappl.com/docs/24100B.pdf
Element,(9.) Upright freezers with automatic defrost without an automatic icemaker,HS-507FWENDT,EUF14CDBW,24.3,434.0,13.8,No,No,https://elementelectronics.com
BEVOi,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-663FWENZ,BVIREF18SS,21.1,398.0,18.0,No,No,https://www.bevoi.com/about/energy-guides
BEVOi,(12.) Compact refrigerator-freezers - partial automatic defrost,HD-273FN,BVIREF7W,8.2,375.0,7.1,No,No,https://www.bevoi.com/about/energy-guides
SMAD,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-663FWENZ,DDT-663WMU,21.1,398.0,18.0,No,No,https://www.smad.com.cn/uploads/20210507/34f97bcb7cd20ec2a57dc2588be77547.jpg
FORNO,(9.) Upright freezers with automatic defrost without an automatic icemaker,HS-507FWEN,FFFFD1933-28RS,24.3,394.0,13.8,No,No,https://fornoappliances.com
AZURE,(13A.) Compact all-refrigerators - automatic defrost,A224BEV-S,A224BEV-S,5.6,309.0,5.6,No,No,https://drive.google.com/file/d/15q699KUjb0iNwJiiLTOHa0IELJGA_vtF/view
AZURE,(13A.) Compact all-refrigerators - automatic defrost,A115R-S,A115R-S,3.0,285.0,3.0,No,No,https://drive.google.com/file/d/18sWLK37qru20cqwa0CtoEenThAdf6rxX/view
AZURE,(13A.) Compact all-refrigerators - automatic defrost,A124R-O,A124R-O,5.1,305.0,5.1,No,No,https://drive.google.com/file/d/1nEczxgizINYro9Ngyy2kHitvFmoL2vgL/view
Coyote,(13A.) Compact all-refrigerators - automatic defrost,C1BIR24,C1BIR24,5.1,252.0,5.1,No,No,https://drive.google.com/file/d/1coXBC9Mz0xuT0R32bzrY66017WBzIV_p/view
Vissani,(18.) Compact chest freezers,DCM5QR*WW,DCM5QRWW,8.7,216.0,4.9,No,No,https://images.thdstatic.com/catalog/pdfImages/f4/f4ade571-04c1-4b34-954d-71217ce7359d.pdf
Vissani,(18.) Compact chest freezers,DCM7QR*WW,317213435,12.2,249.0,6.9,No,No,https://images.thdstatic.com/catalog/pdfImages/7d/7dc4453c-2dd1-4130-bd27-bfbaed6be818.pdf
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULDUN3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URDUN3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULDCC3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URDCC3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULWHM3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URWHM3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URDSP3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URDUJ3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URDUS3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URDIT3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URWH3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10UROR3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URLI3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URSV3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10URBL3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULDMM3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULDGC3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULDAG3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULDSP3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULDIT3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULYW3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULBE3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULPK3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULPG3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULPB3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(12.) Compact refrigerator-freezers - partial automatic defrost,FAB10U,FAB10ULSV3,4.7,299.0,4.3,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FA490U,FA490URT,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FA490U,FA490ULYW,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FA490U,FA490ULOR,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FA490U,FA490UROR,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FA490U,FA490ULWH,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FA490U,FA490URWH,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FA490U,FA490ULX,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FA490U,FA490URAN,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38ULWHM,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38ULYW,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38ULSS,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38URSS,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38ULSV,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38URSV,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38URPG,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38ULPB,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38URPB,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38ULCR,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38URCR,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38ULBL,19.3,417.0,16.2,No,No,By annual report date
SMEG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FAB38U,FAB38URBL,19.3,417.0,16.2,No,No,By annual report date
Smeg,(1) Refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,FAB28U,FAB28URDUN3,10.0,230.0,9.5,No,No,By annual report date
