Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Sub-Zero,(3A-BI.) Built-in All-refrigerators - automatic defrost,DEC2450R/*,DEC2450R/L,13.3,302.0,13.3,No,No,https://haven.subzero.com/AssetLink/6ma74a07tj0axl54y450cal25u81wwg0.pdf
Sub-Zero,(3A-BI.) Built-in All-refrigerators - automatic defrost,DEC2450R/*,DEC2450R/R,13.3,302.0,13.3,No,No,https://haven.subzero.com/AssetLink/6ma74a07tj0axl54y450cal25u81wwg0.pdf
Sub-Zero,(3A-BI.) Built-in All-refrigerators - automatic defrost,DEC3050R**/*,DEC3050RID/L,17.5,332.0,17.5,No,No,https://haven.subzero.com/AssetLink/31oevcloqb484r3lwf60puf2a1l01u73.pdf
Sub-Zero,(3A-BI.) Built-in All-refrigerators - automatic defrost,DEC3050R**/*,DEC3050RID/R,17.5,332.0,17.5,No,No,https://haven.subzero.com/AssetLink/31oevcloqb484r3lwf60puf2a1l01u73.pdf
Sub-Zero,(3A-BI.) Built-in All-refrigerators - automatic defrost,DEC3650R**/*,DEC3650RID/L,21.7,362.0,21.7,No,No,https://haven.subzero.com/AssetLink/70nrtvu866606y1suk743tl22a3li2q4.pdf
Sub-Zero,(3A-BI.) Built-in All-refrigerators - automatic defrost,DEC3650R**/*,DEC3650RID/R,21.7,362.0,21.7,No,No,https://haven.subzero.com/AssetLink/70nrtvu866606y1suk743tl22a3li2q4.pdf
Sub-Zero,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,DET3050CI**/*,DET3050CI/L,19.3,550.0,15.6,No,No,https://haven.subzero.com/AssetLink/kju2k4vrrx48785e46q546bfq6340vbq.pdf
Sub-Zero,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,DET3050CI**/*,DET3050CI/R,19.3,550.0,15.6,No,No,https://haven.subzero.com/AssetLink/kju2k4vrrx48785e46q546bfq6340vbq.pdf
Sub-Zero,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,DET3650CI**/*,DET3650CI/L,24.3,593.0,19.6,No,No,https://haven.subzero.com/AssetLink/v51sc4vn6jm1agj800ljbiv8510k5ssa.pdf
Sub-Zero,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,DET3650CI**/*,DET3650CI/R,24.3,593.0,19.6,No,No,https://haven.subzero.com/AssetLink/v51sc4vn6jm1agj800ljbiv8510k5ssa.pdf
Sub-Zero,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,DET3650CI**/*,DET3650CIID/R,24.3,593.0,19.6,No,No,https://haven.subzero.com/AssetLink/v51sc4vn6jm1agj800ljbiv8510k5ssa.pdf
Blomberg,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BRFB1542SS,BRFB1542SS,16.7,420.0,13.8,No,No,By annual report date
Beko,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BFBF2815SSIM,BFBF2815SSIM,16.7,420.0,13.8,No,No,By annual report date
