Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA850(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA851(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA851(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA852(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA853(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA853(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM514(3B),WTW7000D*+,4.8,2.06,4.3,36.1,No,No,http://www.whirlpool.com/manuals,WTW7000D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM514(3B),WTW7300D*+,4.8,2.06,4.3,36.1,No,No,http://www.whirlpool.com/manuals,WTW7300D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17tAM55(3B),WTW7500G**,4.8,2.06,4.3,32.6,No,No,http://www.whirlpool.com/manuals,WTW7500G..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17tAM56(3B),WTW7500G**,4.8,2.06,4.3,32.6,No,No,http://www.whirlpool.com/manuals,WTW7500G..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17tAM58(3B),WTW7500G**,4.8,2.06,4.3,32.6,No,No,http://www.whirlpool.com/manuals,WTW7500G..
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCM510(3B),2713*41+,4.8,2.06,4.3,36.0,No,No,http://www.kenmore.com/energyguide,2713.41+
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCM59(3B),2613*41+,4.8,2.06,4.3,36.0,No,No,http://www.kenmore.com/energyguide,2613.41+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK515(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK514(3B),WTW8040D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8040D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK514(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK516(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA854(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA854(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB844(3B),MHW5630H**,4.5,2.76,3.2,27.5,No,No,http://www.whirlpool.com/manuals,MHW5630H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA744(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK516(3B),MVWB835D*+,5.3,2.06,4.3,36.5,No,No,http://www.whirlpool.com/manuals,MVWB835D.+
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA855(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAM512(3B),WTW7000D*+,4.8,2.06,4.3,36.1,No,No,http://www.whirlpool.com/manuals,WTW7000D.+
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCK56(3B),2813*41+,5.3,2.06,4.3,36.3,No,No,http://www.kenmore.com/energyguide,2813.41+
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCK56(3B),2913*41+,5.3,2.06,4.3,36.3,No,No,http://www.kenmore.com/energyguide,2913.41+
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V15ECg55(3B),3163*61*,6.2,2.06,4.3,35.0,No,No,http://www.kenmore.com/energyguide,3163.61.
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK517(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA745(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK517(3B),MVWB835D*+,5.3,2.06,4.3,36.5,No,No,http://www.whirlpool.com/manuals,MVWB835D.+
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CBK517(3B),MVWB855D*+,5.3,2.06,4.3,36.5,No,No,http://www.whirlpool.com/manuals,MVWB855D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK511(3B),WTW8000D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8000D.+
