Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
KitchenAid,Standard size dishwasher,KDTM804K***-03,KDPM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDPM604K...
KitchenAid,Standard size dishwasher,KDTM804K***-03,KDPM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDPM704K...
Amana,Standard size dishwasher,ADB1300AF**-05,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1300AF..
Amana,Standard size dishwasher,ADB1300AF**-05,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1400AG..
Whirlpool,Standard size dishwasher,WDT970SAH**-03,WDT970SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT970SAH..
Whirlpool,Standard size dishwasher,WDT970SAH**-04,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT750SAH..
Whirlpool,Standard size dishwasher,WDT970SAH**-04,WDT970SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT970SAH..
KitchenAid,Standard size dishwasher,KDTM804K***-04,KDPM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDPM604K...
Whirlpool,Standard size dishwasher,WDT970SAH**-05,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT750SAH..
KitchenAid,Standard size dishwasher,KDTM804K***-04,KDPM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDPM704K...
KitchenAid,Standard size dishwasher,KDTM804K***-04,KDPM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDPM804K...
Whirlpool,Standard size dishwasher,WDT970SAH**-05,WDTA50SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDTA50SAH..
Whirlpool,Standard size dishwasher,WDT970SAH**-06,WDTA50SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDTA50SAH..
KitchenAid,Standard size dishwasher,KUDL15FX***,KDFE454C***,260.0,2.9,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDFE454C...
Amana,Standard size dishwasher,ADB1300AF**-08,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1300AF..
Amana,Standard size dishwasher,ADB1300AF**-08,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1400AG..
Maytag,Standard size dishwasher,MDB7959SK**,MDB7959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html,MDB7959SK..
Whirlpool,Standard size dishwasher,WDT970SAH**-07,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT750SAH..
Maytag,Standard size dishwasher,MDB7959SK**-01,MDB4949SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html,MDB4949SK..
Whirlpool,Standard size dishwasher,WDT970SAH**-08,WDTA50SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDTA50SAH..
Whirlpool,Standard size dishwasher,WDT970SAH**-08,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT750SAH..
Whirlpool,Standard size dishwasher,WDTA50SAK**,WDT750SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT750SAK..
Amana,Standard size dishwasher,ADB1300AF**-11,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1300AF..
KitchenAid,Standard size dishwasher,JDB9000CW**-06,KDTE104E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE104E...
Amana,Standard size dishwasher,ADB1300AF**-11,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1400AG..
KitchenAid,Standard size dishwasher,JDB9000CW**-06,KDFE204E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDFE204E...
Whirlpool,Standard size dishwasher,WDTA50SAK**-01,WDT750SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT750SAK..
Amana,Standard size dishwasher,ADB1300AF**-13,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1300AF..
Whirlpool,Standard size dishwasher,WDTA50SAK**-01,WDT740SAL**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT740SAL..
KitchenAid,Standard size dishwasher,JDB9000CW**-06,KDTE254E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE254E...
KitchenAid,Standard size dishwasher,JDB9000CW**-07,KDTE104E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE104E...
Whirlpool,Standard size dishwasher,WDTA50SAK**-02,WDTA50SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDTA50SAK..
KitchenAid,Standard size dishwasher,JDB9000CW**-07,KDTE204E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE204E...
Whirlpool,Standard size dishwasher,WDTA50SAK**-02,WDT740SAL**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT740SAL..
KitchenAid,Standard size dishwasher,JDB9000CW**-07,KDTE254E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE254E...
Whirlpool,Standard size dishwasher,WDTA50SAK**-03,WDTA50SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDTA50SAK..
KitchenAid,Standard size dishwasher,JDB9000CW**-08,KDTE104E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDTE104E...
KitchenAid,Standard size dishwasher,JDB9000CW**-08,KDFE204E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDFE204E...
KitchenAid,Standard size dishwasher,JDB9000CW**-08,KDTE204E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDTE204E...
Whirlpool,Standard size dishwasher,WDTA50SAK**-03,WDT740SAL**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDT740SAL..
