ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Width (inches),Depth (inches),Capacity - Maximum Number of Place Settings,Soil-Sensing Capability,Tub Material,Drying Method,Additional Product Features,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2255030,Miele,G 6505 SCi,,4002515546864;4002515546468,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 6505 SCi_12162015020838_70057049,No,G 6505 SCi
2255031,Miele,G 6560 SCVi,,4002515546475,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,United States,ES_0031629_G 6560 SCVi_12162015020838_70057049,No,G 6560 SCVi
2255032,Miele,G 6565 SCVi,,4002515546871;4002515546482,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 6565 SCVi_12162015020838_70057049,No,G 6565 SCVi
2255033,Miele,G 6565 SCVi SF,,4002515546505,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,United States,ES_0031629_G 6565 SCVi SF_12162015020838_70057049,No,G 6565 SCVi SF
2255034,Miele,G 6595 SCVi,,4002515546512,Standard,,,,,,,,260,307.0,15.0,3.2,5.0,36.0,No,,,,,03/01/2015,12/10/2015,United States,ES_0031629_G 6595 SCVi_12162015020838_70057049,No,G 6595 SCVi
2279000,Miele,G 6625 SCU,,4002515723227;4002515716953,Standard,,,,,,,,220,307.0,28.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 6625 SCU_09122016020545_70097737,Yes,G 6625 SCU
2278999,Miele,G 6625 U,,4002515723210;4002515716946,Standard,,,,,,,,220,307.0,28.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 6625 U_09122016020545_70097737,Yes,G 6625 U
2279001,Miele,G 6665 SCVi,,4002515716960;4002515723234,Standard,,,,,,,,220,307.0,28.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 6665 SCVi_09122016020545_70097737,Yes,G 6665 SCVi
2279002,Miele,G 6665 SCVi SF,,4002515716977,Standard,,,,,,,,220,307.0,28.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,United States,ES_0031629_G 6665 SCVi SF_09122016020545_70097737,Yes,G 6665 SCVi SF
2279003,Miele,G 6745 SCU,,4002515723241;4002515716984;4002515716991;4002515717004,Standard,,,,,,,,220,307.0,28.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 6745 SCU_09122016020545_70097737,Yes,G 6745 SCU
2279004,Miele,G 6785 SCVi,,4002515717011;4002515723258,Standard,,,,,,,,220,307.0,28.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 6785 SCVi_09122016020545_70097737,Yes,G 6785 SCVi
2279005,Miele,G 6785 SCVi SF,,4002515717028,Standard,,,,,,,,220,307.0,28.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,United States,ES_0031629_G 6785 SCVi SF_09122016020545_70097737,Yes,G 6785 SCVi SF
2279006,Miele,G 6835 SCi,,4002515723265;4002515717035,Standard,,,,,,,,199,307.0,35.0,3.2,5.0,36.0,No,,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 6835 SCi_09122016020545_70097737,Yes,G 6835 SCi
