Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh56(3B),NTW4516F**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals,NTW4516F..
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh56(3B),NTW4665G**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals,NTW4665G..
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh57(3B),NTW4516F**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals,NTW4516F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA451(3B),WET4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WET4027H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA451(3B),WGT4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WGT4027H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA451(3B),WETLV27H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WETLV27H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA452(3B),WGT4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WGT4027H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA452(3B),WETLV27H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WETLV27H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA453(3B),WET4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WET4027H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA453(3B),WGT4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WGT4027H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA453(3B),WGTLV27H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WGTLV27H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA454(3B),WGTLV27H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WGTLV27H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA455(3B),WET4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WET4027H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA455(3B),WGT4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WGT4027H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA455(3B),WETLV27H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WETLV27H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA456(3B),WET4027H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WET4027H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17mA456(3B),WETLV27H**,3.5,1.57,6.5,44.8,No,No,http://www.whirlpool.com/manuals,WETLV27H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18yAC50(3B),WFC8090G**,2.8,1.84,4.7,28.4,No,No,http://www.whirlpool.com/manuals,WFC8090G..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H186AA50(3B),WFW8620H**,5.0,1.84,4.7,26.9,No,No,http://www.whirlpool.com/manuals,WFW8620H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA750(3B),WFW862CH**,4.3,1.84,4.7,27.0,No,No,http://www.whirlpool.com/manuals,WFW862CH..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wAy50(3B),WTW4850H**,3.9,1.57,6.5,40.4,No,No,http://www.whirlpool.com/manuals,WTW4850H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wAy50(3B),WTW4950H**,3.9,1.57,6.5,40.4,No,No,http://www.whirlpool.com/manuals,WTW4950H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wAy52(3B),WTW4850H**,3.9,1.57,6.5,40.4,No,No,http://www.whirlpool.com/manuals,WTW4850H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wAy53(3B),WTW4950H**,3.9,1.57,6.5,40.4,No,No,http://www.whirlpool.com/manuals,WTW4950H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wAy54(3B),WTW4850H**,3.9,1.57,6.5,40.4,No,No,http://www.whirlpool.com/manuals,WTW4850H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wAy55(3B),WTW4850H**,3.9,1.57,6.5,40.4,No,No,http://www.whirlpool.com/manuals,WTW4850H..
