Brand_Name_s__s,Individual_Model_Number_m,Screen_Size__diagonal_in_inches__d,Power_Consumed_in_On_Mode__watts__d,Power_Consumed_in_Standby_Passive_Mode__watts__d,Power_Consumed_in_Standby_Active__Low_Mode__watts___if_applicable__d,Power_Consumed_in_Off_Mode__watts___if_applicable__d,Annual_Energy_Consumption__kWh_per_year__d,Link_to_FTC_EnergyGuide_Label_s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s
Samsung,UN43TU7000B,43.0,60.0,0.5,1.5,,120.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un43tu7000bxza-energylabel.pdf,No
Samsung,QN85QN850AF,85.0,225.0,0.5,1.5,,421.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn85qn850afxza-energylabel.pdf,No
Samsung,QN55Q7FNAF,55.0,80.0,0.5,1.5,,156.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn55q7fnafxza-energylabel.pdf,No
Samsung,QN55Q7CNAF,55.0,80.0,0.5,1.5,,156.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn55q7cnafxza-energylabel.pdf,No
Samsung,UN75NU8000F,75.0,115.0,0.3,1.5,,220.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un75nu8000fxza-energylabel.pdf,No
Samsung,QN65Q6FNAF,65.0,85.0,0.5,1.5,,166.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn65q6fnafxza-energylabel-v1.pdf,No
Samsung,UN48J5200AF,48.0,41.0,0.3,,,76.9,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un48j5200afxza-energylabel-v1.pdf,No
Samsung,UN49NU8000F,49.0,60.0,0.3,1.5,,120.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un49nu8000fxza-energylabel-v1.pdf,No
Samsung,UN49NU800DF,49.0,60.0,0.3,1.5,,120.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un49nu800dfxza-energylabel.pdf,No
Samsung,UN50NU7100F,50.0,60.0,0.3,1.5,,120.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un50nu7100fxza-energylabel.pdf,No
Samsung,UN50NU710DF,50.0,60.0,0.3,1.5,,120.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un50nu710dfxza-energylabel.pdf,No
Samsung,UN75NU710DF,75.0,105.0,0.3,1.5,,202.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un75nu710dfxza-energylabel.pdf,No
Samsung,UN75NU7200F,75.0,75.0,0.3,1.5,,205.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un75nu7200fxza-energylabel-v1.pdf,No
Samsung,QN49Q6FNAV,49.0,65.0,0.5,1.5,,129.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn49q6fnavxza-energylabel.pdf,No
Samsung,DM82D,82.0,138.0,0.4,,,255.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh82dmdplba-go-energylabel.pdf,No
Samsung,DM75E,75.0,110.0,0.4,,,204.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh75dmeplga-go-energylabel.pdf,No
Samsung,PM55H,55.0,55.0,0.3,,,103.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh55pmhpbga-go-energylabel.pdf,No
Samsung,DM55E,55.0,65.0,0.4,,,121.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh55dmeplga-go-energylabel.pdf,No
Samsung,DC55E,55.0,55.0,0.4,,,103.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh55dceplga-go-energylabel.pdf,No
Samsung,PM49H,49.0,47.0,0.3,,,87.9,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh49pmhpbga-go-energylabel.pdf,No
Samsung,DC49J,49.0,42.0,0.5,,,80.1,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh49dcjplga-go-energylabel.pdf,No
Samsung,DB49J,49.0,42.0,0.5,,,80.1,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh49dbjplga-go-energylabel.pdf,No
Samsung,DC43J,43.0,38.0,0.5,,,72.8,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh43dcjplga-go-energylabel.pdf,No
Samsung,DM40E,40.0,44.0,0.4,,,83.1,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh40dmeplga-go-energylabel.pdf,No
Samsung,DC40E,40.0,36.0,0.4,,,68.5,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh40dceplga-go-energylabel.pdf,No
Samsung,HG43NJ477MF,43.0,40.0,0.5,0.5,,76.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg43nj477mfxza-energylabel.pdf,No
Samsung,HG40NJ478MF,40.0,36.0,0.5,0.5,,69.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg40nj478mfxza-energylabel.pdf,No
Samsung,HG49NE470HF,49.0,48.0,0.5,0.5,,91.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg49ne470hfxza-energylabel.pdf,No
Samsung,HG40NJ477MF,40.0,36.0,0.5,0.5,,69.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg40nj477mfxza-energylabel.pdf,No
Samsung,HG49NJ477MF,9.0,48.0,0.5,0.5,,91.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg49nj477mfxza-energylabel.pdf,No
Samsung,HG43NJ478MF,43.0,40.0,0.5,0.5,,76.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg43nj478mfxza-energylabel.pdf,No
Samsung,HG43NJ470MF,43.0,40.0,0.5,0.5,,76.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg43nj470mfxza-energylabel.pdf,No
Samsung,UN43NU6950F,43.0,43.0,0.5,1.5,,82.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un43nu6950fxza-energylabel.pdf,No
Samsung,UN32J4000EF,32.0,28.0,0.5,,,55.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un32j4000efxza-energylabel.pdf,No
Samsung,HG43NE460SF,43.0,39.0,1.0,,,78.1,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg43ne460sfxza-energylabel.pdf,No
Samsung,HG32NE470FF,32.0,26.2,0.2,,,49.2,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg32ne470ffxza-energylabel.pdf,No
Samsung,HG43NE470SF,43.0,39.0,1.0,,,78.1,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg43ne470sfxza-energylabel.pdf,No
Samsung,HG28NE470AF,28.0,20.0,1.0,,,43.4,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg28ne470afxza-energylabel.pdf,No
Samsung,UN43M5300AF,43.0,44.3,0.3,,,82.9,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un43m5300afxza-energylabel.pdf,No
Samsung,UN43J5202AF,43.0,30.0,0.14,,,55.7,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un43j5202afxza-energylabel.pdf,No
Samsung,UN28M4500AF,28.0,32.8,0.4,,,62.6,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un28m4500afxza-energylabel.pdf,No
Samsung,UN24M4500AF,24.0,19.6,0.3,,,37.9,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un24m4500afxza-energylabel.pdf,No
Samsung,QN88Q9FAMF,88.0,190.0,0.4,,,350.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn88q9famfxza-energylabel.pdf,No
Samsung,UN43N5300AF,43.0,34.0,0.5,,,66.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un43n5300afxza-energylabel.pdf,No
Samsung,UN65KS850DF,65.0,70.0,0.3,,,130.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un65ks850dfxza-energylabel.pdf,No
Samsung,UN32N5300AF,32.0,27.0,0.4,,,53.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un32n5300afxza-energylabel.pdf,No
Samsung,UN32J4001AF,31.5,23.6,0.25,,,52.5,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un32j4001afxza-energylabel.pdf,No
Samsung,HG49NF693GF,49.0,45.0,0.5,,,86.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg49nf693gfxza-energylabel.pdf,No
Samsung,HG43NF693GF,43.0,39.0,0.5,,,75.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg43nf693gfxza-energylabel.pdf,No
Samsung,HG40NF693GF,40.0,35.0,0.5,,,67.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg40nf693gfxza-energylabel.pdf,No
Samsung,HG32NF693GF,32.0,28.0,0.5,,,55.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg32nf693gfxza-energylabel.pdf,No
Samsung,HG32NF690GF,32.0,28.0,0.5,,,55.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg32nf690gfxza-energylabel.pdf,No
Samsung,HG40NF690GF,40.0,35.0,0.5,,,67.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg40nf690gfxza-energylabel.pdf,No
Samsung,HG43NF690GF,43.0,39.0,0.5,,,75.0,http://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg43nf690gfxza-energylabel.pdf,No
Samsung,HG65NF690UF,65.0,70.0,0.5,,,131.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg65nf690ufxza-energylabel-v1.pdf,No
Samsung,HG75NF690UF,75.0,115.0,0.5,,,213.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg75nf690ufxza-energylabel-v1.pdf,No
Samsung,HG43NF690UF,43.0,48.0,0.5,,,91.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg43nf690ufxza-energylabel-v1.pdf,No
Samsung,UN55NU6900F,55.0,65.0,0.3,1.5,,129.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un55nu6900fxza-energylabel-v1.pdf,No
Samsung,UN50NU6900F,50.0,60.0,0.3,1.5,,120.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un50nu6900fxza-energylabel-v1.pdf,No
Samsung,HG50NJ678UF,50.0,60.0,0.3,1.5,,120.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg50nj678ufxza-energylabel-v1.pdf,No
Samsung,HG43NJ678UF,43.0,50.0,0.3,1.5,,102.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg43nj678ufxza-energylabel-v1.pdf,No
Samsung,QN43Q60AAF,43.0,51.0,0.5,1.5,,104.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn43q60aafxza-energylabel.pdf,No
Samsung,QN65Q6DAAF,65.0,79.0,0.5,1.5,,155.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn65q6daafxza-energylabel.pdf,No
Samsung,QN65Q62AAF,65.0,79.0,0.5,1.5,,155.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn65q62aafxza-energylabel.pdf,No
Samsung,QN55Q60AAF,55.0,59.0,0.5,1.5,,118.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn55q60aafxza-energylabel.pdf,No
Samsung,BS43T,43.0,58.0,0.5,1.5,,116.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-lh43bstebgfxza-energylabel.pdf,No
Samsung,UN75TU6900F,75.0,94.0,0.5,1.5,,182.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un75tu6900fxza-energylabel.pdf,No
Samsung,UN70TU6900F,70.0,94.0,0.5,1.5,,182.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un70tu6900fxza-energylabel.pdf,No
Samsung,UN65TU6900F,65.0,73.0,0.5,1.5,,144.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un65tu6900fxza-energylabel.pdf,No
Samsung,UN65TU6980F,65.0,73.0,0.5,1.5,,144.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un65tu6980fxza-energylabel.pdf,No
Samsung,UN65TU6080F,65.0,73.0,0.5,1.5,,144.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-un65tu6080fxza-energylabel.pdf,No
Samsung,HG65NT678UF,65.0,80.0,0.5,1.5,,156.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-hg65nt678ufxza-energylabel.pdf,No
Samsung,QN50Q8DTAF,50.0,90.0,0.5,1.5,,175.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn50q8dtafxza-energylabel.pdf,No
Samsung,QN50Q80TAF,50.0,90.0,0.5,1.5,,175.0,https://images.samsung.com/is/content/samsung/p5/common/energylabel/common-energylabel-qn50q80tafxza-energylabel.pdf,No
