Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Impecca,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",ITAC12-KSA21,ITAC12-KSA21,12000.0,1140.0,10.5,No,No,https://impecca.boxcn.net/s/wvj1ziy9lftzxmxrtz470m6stfpeb9j1,ITAC12-KSA21
Impecca,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",IWA08-KS30,IWA08-KS30,8000.0,670.0,12.0,No,No,https://impecca.box.com/s/f31wml3gcusqlu1meeb7ubw4au51e00r,IWA08-KS30
Impecca,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",IWA12-KS30,IWA12-KS30,12000.0,1000.0,12.0,No,No,https://impecca.box.com/s/ni3ob9jrf63kbnfj6wgogelgn5stqv3m,IWA12-KS30
Impecca,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",IWA25-KS30,IWA25-KS30,25000.0,2410.0,10.3,No,No,https://impecca.box.com/s/h7i0y489i76w1jxkbxy23wr3qiyttasm,IWA25-KS30
Impecca,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ITAC08-KS21-2,ITAC08-KS21-2,8300.0,760.0,10.6,No,No,https://impecca.box.com,ITAC08-KS21-2
Impecca,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",ITAC-12KSA21-2,ITAC-12KSA21-2,12000.0,1110.0,10.5,No,No,https://impecca.box.com,ITAC-12KSA21-2
Lubeck,"(11) With reverse cycle, with louvered sides, and less than 20,000 Btu/h",57H-ID0-B12HRFN8BCL0,57H-ID0-B12HRFN8BCL0,12000.0,1190.0,13.3,No,No,https://icuracao.com/[window-ac-12k-inverter-cooling-and-heating.html],57H-ID0-B12HRFN8BCL0
Ocean Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",OBZ-10ESN3,OBZ-10ESN3,10000.0,830.0,12.0,No,No,http://jcwarranty.com/energy.html,OBZ-10ESN3
Ocean Breeze,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",OBZ-05ESN3,OBZ-05ESN3,5000.0,410.0,12.1,No,No,http://jcwarranty.com/energy.html,OBZ-05ESN3
Sea Breeze+,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WAU312YREX,WAU312YREX,10000.0,870.0,15.0,No,No,https://irpsales.com/?page_id=4651,WAU312YREX
Sea Breeze,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",WA310YREX,WA310YREX,10000.0,810.0,12.0,No,No,https://irpsales.com/?page_id=4651,WA310YREX
