Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Whirlpool,Standard size dishwasher,WDF520PAD**-08,WDT720PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-09,WDF320PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-10,WDF320PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-10,WDF520PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-10,WDF540PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-11,WDF520PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-11,WDF540PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-11,WDT720PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF520PAD**-12,WDF320PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-12,WDF520PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
