ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2381705,MRCOOL,MWUC10T115,,810063868635,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",Yes,No,,,15,38,500,No,,,,,,,,,07/06/2021,07/06/2021,"United States, Canada",ES_1138537_MWUC10T115_07072021061748_80090089,No
2381706,MRCOOL,MWUC12T115,,810063868642,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",Yes,No,,,15,38,600,No,,,,,,,,,07/06/2021,07/06/2021,"United States, Canada",ES_1138537_MWUC12T115 _07072021061748_80090089,No
2362504,NEPO,WS3-06E-201,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,01/17/2020,06/18/2020,United States,ES_1145032_WS3-06E-201_06242020092453_9177667,No
2364709,NEPO,WS3-06EW-201,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,08/06/2020,08/18/2020,United States,ES_1145032_WS3-06EW-201_08172020083132_7461027,No
2361779,NEPO,WS3-08E-201,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,500,No,,,,,,,,,01/17/2020,06/18/2020,United States,ES_1145032_WS3-08E-201_05252020102718_7933008,No
2369549,Noma,043-0758-6,,819130028668,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),12,10,625,No,,,,,,,,,11/15/2021,11/26/2021,Canada,ES_1025242_043-0758-6_11162020055443_6083628,No
2369550,Noma,043-0759-4,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,750,No,,,,,,,,,11/12/2020,11/16/2020,Canada,ES_1025242_043-0759-4_11162020055708_6228675,No
2329702,Noma,043-5232-6,,,,,,,5000,,Window,,,No,None,"1. Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",No,No,,,12.1,10,310,No,,,,,,,,,11/01/2018,11/08/2018,Canada,ES_1129433_043-5232-6_11072018110307_70204436,No
2329701,Noma,043-5238-4,,,,,,,6000,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",No,No,,,12.1,10,372,No,,,,,,,,,11/01/2018,11/08/2018,Canada,ES_1129433_043-5238-4_11072018110307_70204436,No
2283685,Noma,043-5240-6,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,500,No,,,,,,,,,11/15/2015,11/20/2015,Canada,ES_1025242_043-5240-6_11102016074055_3655588,No
