ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2235168,DCS,RF24T*1,,,Compact Refrigerator,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,No,No,Yes,33.8,23.9,5.7,5.7,267,312,14,,,No,,No,,,03/14/2015,03/16/2015,"United States, Canada",ES_1100125_RF24T*1_03192015020551_70027389,No
2245081,DCS,RS36(X),",RS36A80 - DCS,; RS36(X),RS36(X),",,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,No,72,35,16.8,20.7,561,615,10,,,No,,,,,09/15/2015,07/31/2015,"United States, Canada",ES_31708_RS36(X)_08052015164529_3129572,No
2470811,Frestec,FR 1002 SLB,",FR 1002 BKB,; ,FR 1002 WHB,",737547694187;737547694194;737547694200,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,59.8,23.6,10,12.1,297,331,10,,,No,,,,,04/23/2023,04/25/2023,United States,ES_1146193_FR 1002 SLB_04232023133559_8505670,Yes
2408105,Frestec,FR 1202 BK,",FR 1202 SL,; ,FR 1202 WH,",760354510135;760354510142;760354510159,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,59.9,23.7,12.1,14.7,316,352,10,,,No,,,,,02/10/2023,02/14/2023,United States,ES_1146193_FR 1202 BK_02092023105442_9606897,Yes
2464545,Frestec,FR 1462 WH,",FR 1462 BK,; ,FR 1462 SL,",760354510166;760354510173;760354510180,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66,27.9,14.6,17,333,371,10,,,No,,,,,04/20/2023,04/21/2023,United States,ES_1146193_FR 1462 WH_04202023131519_2097131,Yes
2470812,Frestec,FR 1802 BK,",FR 1802 SL,; ,FR 1802 WH,",760354510197;760354510203;760354510210,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,No,No,No,66.1,29.7,18.1,21.8,367,410,10,,,No,,,,,04/23/2023,04/25/2023,United States,ES_1146193_FR 1802 BK_04232023152659_1283838,Yes
2406385,Frestec,FR 742 BX,",FR 742 BK,; ,FR 742 SL,; ,FR 742 WH,",737547694187;760354510074;760354510081;760354510098,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,57.1,21.3,7.4,8.5,336,386,13,,,No,,,,,09/20/2022,12/29/2022,United States,ES_1146193_FR 742 BX_12132022135340_1344110,No
2389766,Frestec,FTC16RE,,760354509467;760354509511;760354509696,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,19.8,17.8,1.6,1.6,200,232,14,,,No,,,,,12/21/2021,12/24/2021,United States,ES_1146193_FTC16RE_12212021151304_8476220,No
2384725,Frestec,FTC17R,,760354509320,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,19.8,17.8,1.7,1.7,206,232,11,,,No,,,,,09/15/2021,09/28/2021,United States,ES_1146193_FTC17R_09242021110639_433771,No
2389765,Frestec,FTC24RE,,760354509726,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,27.2,17.8,2.4,2.4,210,238,12,,,No,,,,,12/21/2021,12/24/2021,United States,ES_1146193_FTC24RE_12212021151750_7182428,No
2384726,Frestec,FTC25R,,760354509351,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,27.6,17.8,2.5,2.5,212,239,11,,,No,,,,,09/15/2021,09/28/2021,United States,ES_1146193_FTC25R_09242021112108_7969934,No
2384729,Frestec,FTC30RF,",FTC30RE,",760354509337;760354509481;760354509535;760354509719,Compact Refrigerator,11 - Compact Refrigerator and Refrigerator-Freezer other than All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.5,17.8,3,3.7,253,286,12,,,No,,,,,09/15/2021,09/28/2021,United States,ES_1146193_FTC30RF_09242021142109_1096612,No
2384727,Frestec,FTC31R,,760354509344,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,32.5,17.8,3,3,216,243,11,,,No,,,,,09/15/2021,09/28/2021,United States,ES_1146193_FTC31R_09242021140116_9272119,No
2389764,Frestec,FTC31RE,,760354509474;760354509528;760354509702,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,33.3,17.8,3.1,3.1,215,243,12,,,No,,,,,12/21/2021,12/24/2021,United States,ES_1146193_FTC31RE_12212021152147_1524774,No
2384728,Frestec;Upstreman,FTC45R,",CR45,; ,FR 450 BK,; ,FR 450 SL,; ,FR 450 WH,; ,FR45,; ,SR45,",652726292872;652726292933;652726293053;760354509283;760354509986;760354509993;760354510005,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,32.5,20.6,4.5,4.5,226,254,11,,,No,,,,,09/15/2021,09/28/2021,United States,ES_1146193_FTC45R_09242021140703_7843133,No
2375672,fridgemaster,FMD440M6RVE,,,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,No,No,No,46.5,18.9,4.2,5,328,365,10,,,No,,,,,04/01/2021,04/01/2021,"United States, Canada",ES_1110877_FMD440M6RVE_04012021055045_80075668,No
2358785,fridgemaster,FRR44D6A*E,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,32.3,20.4,4.2,4.2,226,252,10,,,No,,,,,04/20/2020,02/27/2014,"United States, Canada",ES_1110877_FRR44D6A*E_04212020123334_9631158,No
2331902,FRIGIAIRE,EFR331,"Refrigerator,,; Refrigerator,EFR331-BLACK,; Refrigerator,EFR331-BLACK-COM,; Refrigerator,EFR331-WHITE-COM,; Refrigerator,EFR372,; Refrigerator,EFR372-BLACK-COM,; Refrigerator,EFR372-BLUE-COM,; Refrigerator,EFR372-PINK-COM,; Refrigerator,EFR372-WHITE-COM,; Refrigerator,EFR376,; Refrigerator,EFR376-B-BLACK,; Refrigerator,EFR376-B-BLUE-COM,; Refrigerator,EFR376-B-RED-COM,; Refrigerator,EFR376-BLACK,; Refrigerator,EFR376-BLACK-COM,; Refrigerator,EFR376-BLUE-COM,; Refrigerator,EFR376-PINK-COM,; Refrigerator,EFR376-RED-COM,; Refrigerator,EFR376-WHITE-COM,; Refrigerator,RFR320,; Refrigerator,RFR320-B-BLACK-COM,; Refrigerator,RFR320-B-LIME-COM,; Refrigerator,RFR320-B-ORANGE-COM,; Refrigerator,RFR320-B-WHITE-COM,; Refrigerator,RFR321,; Refrigerator,RFR321-B-STAINLESS-COM,; Refrigerator,RFR321-D-PURPLE,; Refrigerator,RFR321-STAINLESS,; Refrigerator,RFR322,; Refrigerator,RFR322-E-COM,; Refrigerator,RFR376,; Refrigerator,RFR376-B-BLUE,; Refrigerator,RFR376-B-RED,",,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,32.6,18.5,3.2,3.2,197,244,19,,,No,,,,,09/13/2018,12/20/2018,United States,ES_1120898_EFR331_12212018104712_7137187,Yes
2302068,Frigidaire,DGHX2655T*,,,Side-by-Side,7 - Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,Automatic,No,No,Yes,Yes,No,69.9,35.6,25.6,32.4,646,709,10,,,No,,,,,08/14/2017,08/09/2017,"United States, Canada",ES_1021080_DGHX2655T*_08142017030042_70151713,No
2404479,Frigidaire,EFR107-B-BLACK-COM,"Refrigerator,EFR115-B-BLUE-COM,",58465806743,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR107-B-BLACK-COM_11142022122539_3559283,No
2372976,Frigidaire,EFR107-B-WHITE,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,158,232,32,,,No,,,,,01/04/2021,01/20/2021,United States,ES_1120898_EFR107-B-WHITE_01292021132410_9603196,Yes
2372975,Frigidaire,EFR107-WHITE,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,158,232,32,,,No,,,,,01/04/2021,01/20/2021,United States,ES_1120898_EFR107-WHITE_01292021132410_2647291,Yes
2404496,Frigidaire,EFR107-WHITE,"Refrigerator,EFR176-BLACK_AMZ,",58465818869,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR107-WHITE_11142022122539_4362267,No
2372820,Frigidaire,EFR115,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,No,19.8,17.8,1.7,1.7,202,232,13,,,No,,,,,11/16/2020,01/29/2021,United States,ES_1120898_EFR115_012820212030250_5245596,No
2372970,Frigidaire,EFR115-B-BLACK,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,158,232,32,,,No,,,,,01/04/2021,01/20/2021,United States,ES_1120898_EFR115-B-BLACK_01292021132410_5007790,Yes
2404489,Frigidaire,EFR115-B-BLACK,"Refrigerator,EFR115-B-PURPLE-COM,",58465807269,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR115-B-BLACK_11142022122539_7286157,No
2404480,Frigidaire,EFR115-B-BLUE-COM,"Refrigerator,EFR176-B-MOONBM-COM,",58465807283,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR115-B-BLUE-COM_11142022122539_8261124,No
2404490,Frigidaire,EFR115-B-PURPLE-COM,"Refrigerator,EFR115-C-RED-COM,",58465807290,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,206,232,11,R-600a,R-600a (GWP:3 | Lower GWP),No,,,,,09/29/2022,11/10/2022,United States,ES_1120898_EFR115-B-PURPLE-COM_11142022122539_8365781,No
2372974,Frigidaire,EFR115-B-RED,,,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,Yes,No,No,No,Yes,19,19,1.6,1.6,158,232,32,,,No,,,,,01/04/2021,01/20/2021,United States,ES_1120898_EFR115-B-RED_01292021132410_5767359,Yes
